year,soit_VERB au_ADP,soit_VERB faux_ADJ
1800,3.1347320104124776e-06,1.0061326349841693e-07
1801,2.5478652787569445e-06,5.714838380299625e-08
1802,2.7928245174280164e-06,4.699464284385613e-08
1803,3.032777378564333e-06,7.606323038089613e-08
1804,3.0304892404409145e-06,4.69651695311768e-08
1805,2.9338498526154666e-06,5.401467717547348e-08
1806,2.9652376269950764e-06,6.627838899930794e-08
1807,3.254069753211297e-06,1.5658253005312872e-07
1808,2.6943619784169925e-06,1.0197332755979005e-07
1809,3.0745405459331465e-06,1.0843346842648316e-07
1810,3.0023825181579866e-06,9.126494404654295e-08
1811,3.028548626105021e-06,6.769107585569145e-08
1812,2.77656375047286e-06,5.867858021701977e-08
1813,3.315730121133953e-06,7.189353823378042e-08
1814,2.6935556434182217e-06,4.090680150170556e-08
1815,2.503023448063857e-06,7.821948599939788e-08
1816,2.6281627469870728e-06,1.622322720606917e-08
1817,3.0359032292537336e-06,1.1520863552050287e-07
1818,2.722796800247451e-06,1.263644833215949e-07
1819,2.804099367481605e-06,1.1386155307491208e-07
1820,3.0413791911598764e-06,9.493184904840746e-08
1821,3.1073549018323376e-06,1.0847637099686835e-07
1822,3.0377616297982968e-06,1.513867999847207e-07
1823,2.7108210141069122e-06,7.313188632451784e-08
1824,2.8867574606294966e-06,1.1115868403521745e-07
1825,2.831830374638855e-06,6.956300069305144e-08
1826,2.5657658118127813e-06,4.492072136486058e-08
1827,2.9937702947790967e-06,1.4010255711127684e-07
1828,2.7837934668539788e-06,1.0639869429951432e-07
1829,2.7374151365666677e-06,1.5088789950823411e-07
1830,2.9097898661678556e-06,1.1063045946002603e-07
1831,2.8812549248691255e-06,7.171954763407484e-08
1832,2.8453526224048176e-06,6.900284432731496e-08
1833,2.847255989202324e-06,6.139323005527331e-08
1834,3.009452880231578e-06,9.987947890977011e-08
1835,3.075907898164587e-06,9.605121675804185e-08
1836,3.242089735788767e-06,6.58633538819231e-08
1837,3.0566014013189147e-06,1.1619678019769708e-07
1838,2.8808706784566596e-06,5.112851297894849e-08
1839,2.9168434556581246e-06,1.097661623816748e-07
1840,2.8536205407547754e-06,1.0127804728199408e-07
1841,2.98362894479709e-06,7.447836480878323e-08
1842,3.064335408531349e-06,8.318248490013502e-08
1843,3.2824705851197677e-06,1.4708209050695586e-07
1844,3.1608625183920935e-06,8.397498874046505e-08
1845,2.962542997142492e-06,6.752075876192976e-08
1846,3.334724026249347e-06,9.777016884982004e-08
1847,3.143710097575081e-06,6.47186837454683e-08
1848,3.024198783840859e-06,6.275273278788518e-08
1849,3.0903281391658766e-06,5.614208120618969e-08
1850,2.9966629009337e-06,5.4311968256115506e-08
1851,3.1647395886125196e-06,7.223371767395292e-08
1852,2.8945885808262517e-06,5.5339636872986375e-08
1853,3.0122424892198296e-06,7.882950114890264e-08
1854,3.20780332963011e-06,5.507404310378661e-08
1855,3.28074845157289e-06,5.890700194299825e-08
1856,3.0623075062408134e-06,6.678573782892272e-08
1857,3.0836494016028837e-06,7.175818694804548e-08
1858,3.1804001139335014e-06,8.857553268626361e-08
1859,3.208578400304418e-06,5.754155907311542e-08
1860,3.0232299805810214e-06,4.989130530930197e-08
1861,3.3525786129473545e-06,5.75347591791342e-08
1862,3.690743001882879e-06,5.421583537668084e-08
1863,3.1770782200624126e-06,7.392038980924553e-08
1864,2.9746493295235155e-06,5.657778956447146e-08
1865,3.186062912163834e-06,1.0307989128932604e-07
1866,3.3261330738554307e-06,9.050040006286508e-08
1867,3.3683364932812765e-06,8.20125123368598e-08
1868,3.0454323018958007e-06,6.076044911651479e-08
1869,3.1098249042571524e-06,8.204312251791634e-08
1870,3.027577800907011e-06,8.715754518107133e-08
1871,3.46462795519642e-06,4.354682658913589e-08
1872,3.2843100843393813e-06,4.656451224605007e-08
1873,3.22166770416743e-06,5.7465641134513135e-08
1874,3.099029695974309e-06,4.899179373296647e-08
1875,3.370551530323951e-06,1.0184318455230823e-07
1876,3.3851636267456797e-06,1.1245587216990316e-07
1877,3.29032208057356e-06,3.7727378554563984e-08
1878,3.056382752220088e-06,4.650098262004576e-08
1879,3.4126691765834494e-06,7.636656818021947e-08
1880,3.2808029359898683e-06,6.738738278500023e-08
1881,3.368418347804436e-06,4.392679642251096e-08
1882,3.5692830238076567e-06,4.2594464844114555e-08
1883,3.206432555913352e-06,6.445725375670008e-08
1884,3.3536621586449655e-06,6.46966284989503e-08
1885,3.3923381401734787e-06,3.222817923642651e-08
1886,3.3558011764966977e-06,5.6145136539953455e-08
1887,3.3232226854806868e-06,5.6148753202478474e-08
1888,3.3953992755186846e-06,4.2482117379449846e-08
1889,3.4163791227115325e-06,5.200063668553412e-08
1890,3.4653042391141753e-06,4.8502460714416884e-08
1891,3.518569478444533e-06,4.971891698346553e-08
1892,3.483412328364466e-06,5.578975859066304e-08
1893,3.6186855894015935e-06,6.158416709922676e-08
1894,3.6114121257924126e-06,3.969969597505951e-08
1895,3.446860631584059e-06,4.393588426410133e-08
1896,3.6007259396342306e-06,5.779088496637996e-08
1897,3.584594210792602e-06,7.92433070273546e-08
1898,3.7198025069073992e-06,5.6017714911149596e-08
1899,3.7349847730183683e-06,5.03009616181771e-08
1900,3.444782976202987e-06,4.775768758236154e-08
1901,3.7014217610931155e-06,4.918090112937534e-08
1902,4.206149128549441e-06,2.7006560543441083e-08
1903,3.6030268688591605e-06,6.264255603127822e-08
1904,3.7203155471843274e-06,1.827372564378038e-08
1905,3.75651642059438e-06,3.4577084306874895e-08
1906,3.6657458224453876e-06,6.224463078297049e-08
1907,3.7481042483022975e-06,7.86855025580735e-08
1908,3.6913999394982966e-06,4.5675918158849527e-08
1909,3.7665233634243123e-06,5.996071905656208e-08
1910,3.7211320744745535e-06,4.275320719671072e-08
