year,grand_ADJ art_NOUN,grand_ADJ phare_NOUN
1800,2.1443201436710524e-06,3.144164484325529e-09
1801,2.7169294298801105e-06,2.1430643926123594e-08
1802,1.6067691888110858e-06,2.6854081625060644e-08
1803,1.7475039264525094e-06,2.145373123596528e-08
1804,2.311180542946545e-06,2.4718509461507665e-09
1805,2.3141024030337576e-06,0.0
1806,2.077683348034043e-06,0.0
1807,1.6028356792929799e-06,8.540865792383556e-09
1808,2.3476526123111796e-06,4.5321479902327155e-09
1809,1.6016526762641092e-06,2.0331274441787173e-08
1810,1.8931625049845024e-06,9.360507036149102e-09
1811,1.4616257146826683e-06,0.0
1812,1.5363119851841134e-06,8.00162425207418e-09
1813,1.6477999906783225e-06,2.8757416448144113e-09
1814,1.3939779819338582e-06,0.0
1815,1.3540062582251267e-06,0.0
1816,1.29090537015486e-06,3.0128852301913867e-08
1817,2.4333931382125584e-06,3.113746815941454e-09
1818,1.6475066737520194e-06,0.0
1819,2.1312811533391596e-06,4.140420006848444e-09
1820,1.5782419655607782e-06,1.1866481131050932e-09
1821,2.1083862353776794e-06,8.875339574387908e-09
1822,1.7725288472547618e-06,7.017931125119503e-09
1823,1.3578811604020302e-06,2.3718449426723964e-08
1824,1.4905369578599448e-06,1.9368560089105813e-08
1825,1.6113960668029392e-06,6.163809906922779e-09
1826,1.3837342959233112e-06,1.4092774947016551e-08
1827,1.3374263740928427e-06,4.608636583469661e-09
1828,1.0841660108562579e-06,4.586150570418113e-09
1829,1.7712181269446958e-06,1.5431716349212365e-08
1830,1.3755749250776717e-06,7.305784865963005e-09
1831,1.0851479146367637e-06,2.3386808933878456e-08
1832,1.4355297253132449e-06,1.0823975493678972e-08
1833,1.2406066011161343e-06,1.1583628278799551e-08
1834,1.0650700232872623e-06,1.213489042584115e-08
1835,8.531163331326752e-07,7.563087933704082e-09
1836,7.701979296004247e-07,1.5457725766054864e-08
1837,9.810625795081407e-07,1.3915782304252389e-08
1838,1.0276199149394927e-06,3.787297142565649e-09
1839,8.564557334445055e-07,2.5169310857720006e-08
1840,1.098771315266589e-06,2.2930879917115732e-08
1841,9.7849163527286e-07,2.439808444165692e-08
1842,1.1296718156472707e-06,1.0062397581833693e-08
1843,1.0526114970765832e-06,2.1264879246363222e-08
1844,1.0949679982164007e-06,6.5862733600319245e-09
1845,8.822340512582016e-07,8.92836493626703e-09
1846,1.0145851290221941e-06,1.8734404250153602e-08
1847,9.1469074448014e-07,1.240441438454809e-08
1848,6.556855789430216e-07,8.84974404868899e-09
1849,8.924077159466748e-07,1.75967720394965e-08
1850,8.099272195138951e-07,1.0862393651223101e-08
1851,8.203685837315788e-07,1.0319102017319892e-08
1852,8.672046449831328e-07,1.6927417689771573e-08
1853,1.0014929292534447e-06,1.6721408258035808e-08
1854,1.2313724249146674e-06,1.0391328519876453e-08
1855,1.1754865951729698e-06,3.92713346286655e-08
1856,1.044756734458474e-06,1.6049286344355096e-08
1857,1.082230612015067e-06,4.7350639909016223e-08
1858,1.2204828485629093e-06,8.808616946964776e-09
1859,1.5164491704577898e-06,1.782260738991681e-08
1860,1.1360570930096792e-06,1.1900677776566226e-08
1861,1.3935672475984262e-06,8.960331143725853e-09
1862,1.461568566396565e-06,2.0330938710344526e-08
1863,1.390002991819017e-06,1.9479021062807078e-08
1864,1.7107589163067871e-06,1.821996598039277e-08
1865,1.353217737865009e-06,1.835669216632141e-08
1866,1.1623948781291915e-06,1.702964524952222e-08
1867,1.8013636200464589e-06,6.017486242626546e-08
1868,1.7195701657035656e-06,4.643481688049178e-08
1869,1.5822602552617582e-06,2.197583626184496e-08
1870,1.53385802237338e-06,4.300536460277726e-08
1871,8.114579264084654e-07,1.9118119309879944e-08
1872,1.4628513453907033e-06,2.539882526519932e-08
1873,1.341463593984571e-06,3.29230228635069e-08
1874,1.4351010939606113e-06,2.3300975371398636e-08
1875,1.5007566254165994e-06,1.4875970677508121e-08
1876,1.6451206201750779e-06,1.2092029377797076e-08
1877,1.887605875605658e-06,1.1132669008873108e-08
1878,1.6704119223387437e-06,2.717589886458427e-08
1879,1.626913315178058e-06,2.3215436684154156e-08
1880,1.66799826573083e-06,2.1178893305773272e-08
1881,1.579273009255644e-06,5.7174562084760794e-08
1882,1.7210826248614808e-06,2.2628309892525067e-08
1883,1.6405004408248658e-06,3.5388296293348276e-08
1884,1.5976106162440828e-06,2.6406786979293884e-08
1885,1.5901383179084405e-06,2.707167023885404e-08
1886,1.3758785435413756e-06,3.678474397306175e-08
1887,1.2731403158383614e-06,2.8727268286399266e-08
1888,1.3334312649604385e-06,2.726464365387926e-08
1889,1.2392440247310788e-06,2.0048437021635834e-08
1890,1.1856884798433498e-06,2.4906667839275087e-08
1891,1.247434870954578e-06,3.505821000171494e-08
1892,1.1496452154702297e-06,2.5074049503359674e-08
1893,1.0851130154421185e-06,4.187723323667569e-08
1894,1.1846893750444565e-06,4.663139030469665e-08
1895,1.2994188871573442e-06,2.8287487463529715e-08
1896,1.1552279453042047e-06,4.186890562030143e-08
1897,1.0622098791657208e-06,1.5149454912766203e-08
1898,1.0032263690895604e-06,1.4145887128336199e-08
