g,n,p,R,t,z,substitution
,1,,,,,z
1,16,,,3,13,Z
1,24,,1,4,85,g
,18,,2,29,112,n
3,44,2,4,35,93,S
,29,3,1,50,246,l
2,57,5,7,23,140,b
1,51,2,5,44,192,v
2,57,3,7,223,147,d
1,67,2,4,29,285,f
2,77,5,9,82,313,k
1,41,1,2,15,103,t
,90,1,8,73,231,m
3,123,4,17,106,349,p
5,141,13,12,426,353,R
2,68,5,5,222,229,s
