year,ton_DET heureux_ADJ
1800,7.231578180721954e-08
1801,1.857322420306673e-07
1802,9.398928568771225e-08
1803,9.166594239218284e-08
1804,6.179627298763535e-08
1805,7.675770063997334e-08
1806,5.763338428721454e-08
1807,6.832692145408714e-08
1808,4.078933102391602e-08
1809,8.132509776714869e-08
1810,1.0062544930633521e-07
1811,1.1532553401139012e-07
1812,8.801787032552966e-08
1813,1.00650957790549e-07
1814,7.552024783308298e-08
1815,4.8550024445148665e-08
1816,2.5493642752394408e-08
1817,8.407116336428544e-08
1818,4.530047270634441e-08
1819,8.79839276990424e-08
1820,1.3765117845565555e-07
1821,7.001656854299654e-08
1822,7.017931125119503e-08
1823,7.115534761403808e-08
1824,5.894779064874456e-08
1825,7.396572332396545e-08
1826,5.725189822225474e-08
1827,3.041700225026034e-08
1828,3.8523666034961934e-08
1829,3.943661008865007e-08
1830,6.366470017837855e-08
1831,4.365537620287796e-08
1832,9.065079353831607e-08
1833,4.2859426230279496e-08
1834,3.3604311111545826e-08
1835,5.672315950278062e-08
1836,5.8470526198561856e-08
1837,2.7135774516295896e-08
1838,3.3454458758797045e-08
1839,2.7266752522514537e-08
1840,2.8026629905752998e-08
1841,4.044945711711989e-08
1842,4.762868144325694e-08
1843,2.4218335781256428e-08
1844,2.9089374464774664e-08
1845,3.459741293454499e-08
1846,2.1661654470150893e-08
1847,1.9954928376364478e-08
1848,1.448139919091318e-08
1849,2.76520690789539e-08
1850,3.055048125588655e-08
1851,1.8703373294570724e-08
1852,3.059956199535918e-08
1853,1.3138249599364826e-08
1854,1.1950028522278444e-08
1855,2.4942604426314574e-08
1856,2.2779633290781476e-08
1857,2.0502337605421417e-08
1858,2.0064072125958177e-08
1859,2.9025388315062628e-08
1860,1.9681891672007623e-08
1861,2.5466203645851948e-08
1862,2.0782737308877586e-08
1863,3.2465035104678464e-08
1864,3.4522040670559306e-08
1865,2.7299696947480356e-08
1866,1.6056522000873485e-08
1867,1.9896527092555516e-08
1868,1.679557115608077e-08
1869,3.1742874995188686e-08
1870,2.1789386295267832e-08
1871,1.805600113868877e-08
1872,1.69325495846806e-08
1873,2.394401849015182e-08
1874,2.1508592240593316e-08
1875,2.574687130163511e-08
1876,3.3253082953876856e-08
1877,3.401648918099909e-08
1878,1.932508458812876e-08
1879,1.4662380198871006e-08
1880,2.9522092770406516e-08
1881,3.067903492359747e-08
1882,1.6638463051776853e-08
1883,2.0221884888815822e-08
1884,9.242375753615306e-09
1885,5.80107206715752e-09
1886,4.5174246565693466e-09
1887,1.0446279397058333e-08
1888,7.60873763994141e-09
1889,1.0024218788373673e-08
1890,5.898947996740844e-09
1891,5.736798147637501e-09
1892,3.1342561879199593e-09
1893,1.23168328869383e-08
1894,8.822155450616265e-09
1895,1.5648397910794642e-08
1896,1.8870493112554954e-08
1897,1.1653427112179315e-09
1898,5.092519295146758e-09
1899,1.3818945987509323e-08
1900,1.1939421895590385e-08
1901,7.265360757457984e-09
1902,6.38336894454028e-09
1903,1.1880484818149739e-08
1904,4.299700151477737e-09
1905,5.676835002077496e-09
1906,1.1317205839134203e-08
1907,1.1828539925318182e-08
1908,8.349361202419914e-09
1909,7.701377313651392e-09
1910,8.550641084070776e-09
1911,1.4897047151407605e-08
1912,1.5628263128064646e-08
1913,1.378777370053541e-08
1914,1.7411533548283842e-08
1915,0.0
1916,1.2086208478478966e-08
1917,1.4256351654751143e-08
1918,1.1486376294556067e-08
