year,en_ADP oies_NOUN,en_ADP pois_NOUN
1800,9.432493897065797e-09,3.7415558296061135e-07
1801,0.0,4.1432577546629545e-07
1802,6.713520406265161e-09,5.818384352096473e-08
1803,1.950339267864365e-08,1.5017611820766774e-07
1804,1.9774807569206132e-08,1.6314216111368296e-07
1805,2.842877711017877e-09,1.194008623084386e-07
1806,0.0,1.4120178093435243e-07
1807,1.9928686256776018e-08,7.402083213037258e-08
1808,2.039466551195801e-08,2.1301095420867e-07
1809,2.4849335034105025e-08,2.597885213617701e-07
1810,2.106114038724627e-08,3.510190182964834e-08
1811,2.5070768572277302e-08,7.771937760026049e-08
1812,5.3344164641089264e-09,7.734903562095496e-08
1813,1.1502966579257645e-08,4.3136125782439194e-08
1814,0.0,3.1466772298927026e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,5.0987285504788815e-08
1817,0.0,7.005930058312515e-08
1818,2.384235475716423e-09,2.384235431307502e-08
1819,1.035105001712111e-09,1.7596784918083586e-08
1820,1.3053129244156025e-08,2.4919611263385377e-08
1821,1.1833785507064931e-08,6.7058117281249e-08
1822,3.0076847679083585e-09,4.0102463572111446e-08
1823,2.668325471688604e-08,1.5021683774651962e-07
1824,0.0,3.115811608722652e-08
1825,3.522177216552791e-09,4.6668848341369085e-08
1826,0.0,2.994714676241017e-08
1827,1.8434546111834038e-09,7.281645508783186e-08
1828,4.586150570418113e-09,3.3020285172824515e-08
1829,5.143905745796928e-09,4.372319911682965e-08
1830,8.349468672008697e-09,3.235419177016752e-08
1831,3.1182412207897414e-09,4.05371340939098e-08
1832,0.0,5.682586967648007e-08
1833,2.548398292390175e-08,4.749287596528262e-08
1834,2.42697808516823e-08,5.41402800369184e-08
1835,5.294161553592858e-09,3.403389570166837e-08
1836,6.720750067579218e-10,3.091544903410792e-08
1837,0.0,6.54041727443655e-08
1838,1.8936485712828244e-09,3.4085674949224654e-08
1839,1.2584655095793096e-08,4.544458853672495e-08
1840,1.4650283985950807e-08,3.4396317238893914e-08
1841,5.778493683550323e-09,3.2102741354123054e-08
1842,1.341653010911159e-08,4.494537719779146e-08
1843,4.7255288571079745e-09,2.421833494858916e-08
1844,9.330554162634286e-09,3.896878386644431e-08
1845,3.9061593959388574e-09,2.1204865419122143e-08
1846,9.367202347121406e-09,4.6836009293116376e-08
1847,9.168480197274675e-09,2.588747349818732e-08
1848,1.287235473768078e-08,4.0226107111962506e-08
1849,1.1731180693530519e-08,1.927265347312357e-08
1850,6.1100964288129944e-09,2.0366988984221734e-08
1851,6.449438760824933e-10,3.805169002113473e-08
1852,5.208436348880241e-09,4.6224872818356744e-08
1853,2.9859659189668264e-09,2.866527260003693e-08
1854,5.195664343204953e-09,3.169355233811899e-08
1855,4.776243400783642e-09,3.02495415382964e-08
1856,3.106313539724681e-09,2.950997818329526e-08
1857,9.763018171682347e-10,3.270611115269162e-08
1858,1.468102750479261e-09,2.3979012331309946e-08
1859,3.5645213447565993e-09,2.546086697030603e-08
1860,5.95033897154984e-09,2.1055045706930287e-08
1861,8.017138342086838e-09,4.6688040100661965e-08
1862,9.035972525772706e-10,2.3493528955587095e-08
1863,4.9946209945694875e-09,6.942522645658755e-08
1864,9.589455896019672e-10,4.746780746245349e-08
1865,3.2947911621228343e-09,2.3063537857304084e-08
1866,6.811858188626729e-09,1.6786365242271728e-07
1867,4.85281148598915e-10,2.8631587767335986e-08
1868,5.433861360870651e-09,3.556709415875048e-08
1869,1.953407657850903e-09,4.346332216353943e-08
1870,1.1468097582678638e-09,6.307453759291093e-08
1871,1.0621177271019633e-09,5.947859293975455e-08
1872,1.2094678591978436e-09,3.688877092677956e-08
1873,2.9930022349411445e-09,3.831043010604773e-08
1874,4.182226565063729e-09,2.5093358058114745e-08
