year,aucun_DET aimant_NOUN,aucun_DET paiement_NOUN
1800,8.489244152087849e-08,2.07514860406377e-07
1801,3.333655484993869e-08,1.3572740198419808e-07
1802,0.0,2.1259481286506343e-07
1803,2.5354410126965377e-08,1.3457341196954076e-07
1804,0.0,3.0650950755273243e-07
1805,0.0,1.7910129201936797e-07
1806,5.187004603612877e-08,2.7664023605211696e-07
1807,0.0,5.266866764941369e-07
1808,2.2660739951163578e-09,2.0847880310981282e-07
1809,0.0,1.8975857019043474e-07
1810,0.0,3.416585059312638e-07
1811,0.0,2.532147398426332e-07
1812,4.5342538612658245e-08,2.187110808016257e-07
1813,5.176335093892703e-08,1.9267469486550226e-07
1814,0.0,1.6992056295350721e-07
1815,0.0,1.3755839756157684e-07
1816,0.0,4.032630727124342e-07
1817,0.0,1.821541868451959e-07
1818,0.0,3.4571413110029425e-07
1819,0.0,2.525656164209522e-07
1820,1.542642635854463e-08,2.385162680695885e-07
1821,4.536284592404627e-08,3.116230367083972e-07
1822,4.6117833107928163e-08,2.095353721642823e-07
1823,2.470671811583003e-08,2.401492942283312e-07
1824,1.51580028528997e-08,2.560018401709385e-07
1825,2.641632912414593e-09,2.5095512690143096e-07
1826,9.688782998118484e-09,2.668819192308547e-07
1827,6.452091305675367e-09,2.7375300248877465e-07
1828,3.668920500743411e-09,2.659967226481541e-07
1829,1.714635211591542e-09,2.6319650103800996e-07
1830,8.349468672008697e-09,2.035183035431487e-07
1831,1.091384405071949e-08,1.7773975713453183e-07
1832,6.764984572527055e-09,2.2189149284645993e-07
1833,1.9692167896323554e-08,2.490480142114393e-07
1834,3.733812370398937e-09,3.649801527672025e-07
1835,3.025235173481633e-09,2.790779376482533e-07
1836,5.376600054063374e-09,2.3657039882607478e-07
1837,6.957890930081589e-10,1.97604095752979e-07
1838,4.418513555037862e-09,2.575362039181073e-07
1839,2.7965900706306e-09,2.8874792867839005e-07
1840,1.9109065441114126e-09,2.0255609278763131e-07
1841,7.704658244733764e-09,1.8105946475444057e-07
1842,5.366612043644636e-09,2.1399365124352698e-07
1843,4.7255288571079745e-09,1.3585895786150104e-07
1844,1.6465684371524958e-09,1.3392089925901018e-07
1845,1.674068439427856e-09,1.4173779483428461e-07
1846,3.5127007969038004e-09,1.235299773583165e-07
1847,0.0,1.8714486405002617e-07
1848,8.045221711050488e-10,1.1987380421629723e-07
1849,0.0,1.0139092232464009e-07
1850,1.3577992064028876e-09,8.89358462430323e-08
1851,1.9348316282474798e-09,1.2124944959168715e-07
1852,1.3021090872200602e-09,1.0156450969134312e-07
