year,en_ADP eaux_NOUN,en_ADP pot_NOUN
1800,2.358123420975744e-07,1.6978488304175698e-07
1801,2.524053570596152e-07,6.667310969987739e-08
1802,2.5735161557349784e-07,1.888737074295932e-06
1803,1.1331471370112922e-06,2.1258696847326064e-07
1804,4.696516728852629e-07,3.8808059343864443e-07
1805,5.34461003454112e-07,3.041879210741172e-07
1806,2.7087691023552907e-07,2.3341519295172475e-07
1807,3.074711401040986e-07,1.1103124819555887e-07
1808,2.5153420679657756e-07,2.4700207745809166e-07
1809,2.710836657371374e-07,1.1611416539381025e-06
1810,3.1825722945910684e-07,7.020380365929668e-08
1811,3.4096243783920954e-07,4.342256943346001e-06
1812,2.667208347517658e-07,6.401299401659344e-08
1813,2.0992914051554123e-07,9.777521370324394e-08
1814,2.580275122454623e-07,1.3530711839848664e-07
1815,2.5623624266835066e-07,1.2676950689183286e-07
1816,2.062667476820934e-07,1.0429217667251578e-07
1817,2.2107602470899934e-07,3.954458520638582e-07
1818,1.9908365556098317e-07,1.6332012364728143e-07
1819,3.3226870055358404e-07,2.639517617808451e-07
1820,2.1003671690777992e-07,3.3226146456399874e-07
1821,2.031466594942799e-07,2.9387234690148034e-07
1822,1.5439448475262907e-07,3.248299549341027e-07
1823,1.2649839309375466e-07,2.4113757035593153e-07
1824,1.9621192581809055e-07,2.054751462310378e-07
1825,1.787504968486786e-07,3.407706401503674e-07
1826,2.3164999207736514e-07,2.2988838566107006e-07
1827,2.0185828181196186e-07,2.479446550296416e-07
1828,1.751909479708047e-07,2.2105245989223476e-07
1829,2.1518671777798204e-07,1.8346597130403097e-07
1830,1.8890672803806297e-07,1.3776623575267877e-07
1831,2.7908258548592357e-07,2.3698633810909087e-07
1832,3.368962495642336e-07,1.0823975316043288e-07
1833,2.536814502906992e-07,2.1429713115139748e-07
1834,1.7455573142477476e-07,2.1656111925949517e-07
1835,2.2008586597621616e-07,1.9966552144978778e-07
1836,1.854926970912274e-07,2.607650912977988e-07
1837,1.8507989274496595e-07,1.5376939188627148e-07
1838,2.057764847407384e-07,2.7016054104933573e-07
1839,2.551888466095775e-07,1.1885507689157748e-07
