year,rien_PRON osé_VERB,rien_PRON posé_VERB
1800,7.860410988769218e-08,0.0
1801,2.1430643926123594e-08,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,3.315576790896557e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,9.665784261869703e-08,0.0
1806,1.4408345627714425e-08,5.76333825108577e-09
1807,4.839823830593559e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,2.574139479349924e-08,0.0
1811,7.521229861140455e-09,0.0
1812,3.467370746079723e-08,2.6672082320544632e-09
1813,3.738464116054274e-08,0.0
1814,6.608021863030444e-08,0.0
1815,6.203614333344376e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,7.940054302935096e-08,0.0
1818,4.887682791832049e-08,0.0
1819,4.243930362690662e-08,0.0
1820,7.119888323359191e-08,1.1866481131050932e-09
1821,3.747365440176509e-08,0.0
1822,7.920236555492011e-08,1.0025615893027862e-09
1823,4.4472091786929013e-08,0.0
1824,3.2842340402794434e-08,0.0
1825,6.780191341704267e-08,0.0
1826,1.76159691278599e-08,8.807984341885344e-10
1827,2.6730091917670507e-08,0.0
1828,2.109629271274116e-08,0.0
1829,2.5719527840806222e-08,0.0
1830,5.218418053232199e-08,0.0
1831,2.9623292263636358e-08,0.0
1832,5.141388470519814e-08,2.705993873419743e-09
1833,4.170106393530659e-08,0.0
1834,5.3206825612051034e-08,9.334530925997342e-10
1835,7.033671778344797e-08,0.0
1836,4.973355061110851e-08,0.0
1837,5.427154903259179e-08,4.87052354003481e-09
1838,5.112851297894849e-08,6.312161904276081e-09
1839,4.194885150354821e-08,0.0
1840,3.694419348221345e-08,4.458782232319436e-09
1841,3.980740004294603e-08,4.494383976094696e-09
1842,4.293289634915709e-08,1.7441490030023488e-08
1843,3.5441466650354414e-08,5.906911071384968e-10
1844,4.555505839221041e-08,3.2931368743049916e-09
1845,5.524425716885162e-08,4.464182357111213e-09
1846,4.27378594736183e-08,1.7563503984519002e-09
1847,7.442648808364538e-08,5.393223645455691e-10
1848,3.057184372323718e-08,8.045221711050488e-10
1849,4.357295679824347e-08,8.379414939696517e-10
1850,6.11009625117731e-08,0.0
1851,5.224045551699419e-08,2.579775504329973e-09
1852,3.580800012059626e-08,6.510545436100301e-10
1853,4.001194398028929e-08,0.0
1854,3.688921879074769e-08,1.0391328908454511e-09
1855,6.899018245576372e-08,5.306937111981824e-09
1856,6.264399132760445e-08,1.346069211649592e-08
1857,8.249750038658021e-08,4.881509085841174e-10
1858,4.893675864536817e-08,9.787352039936081e-10
1859,6.823512421760825e-08,1.5276520048956854e-09
1860,7.277722602339054e-08,0.0
1861,4.1500481273715195e-08,3.772770984511453e-09
1862,7.138418567365079e-08,1.8071945051545413e-09
1863,4.994620894649415e-08,7.491931519609807e-09
1864,4.698833322436258e-08,2.3973640850272204e-09
