year,on_PRON erre_VERB,on_PRON perd_VERB
1800,6.602745239447927e-08,1.936805318791812e-06
1801,5.2386017301842e-08,2.581201925977439e-06
1802,8.056224487518193e-08,2.078953485806778e-06
1803,2.3404069793286908e-08,1.8762263493954379e-06
1804,5.6852572427601444e-08,2.051636329269968e-06
1805,7.391481915419718e-08,1.9502140844451787e-06
1806,2.881669125542885e-08,1.9335999468239606e-06
1807,1.0249038240317532e-07,1.4889575083998352e-06
1808,5.211970233176544e-08,1.6497019146299863e-06
1809,6.777091243748146e-08,1.777857050910825e-06
1810,2.574139479349924e-08,2.2441816156515415e-06
1811,6.518399686683551e-08,1.6421352597717487e-06
1812,2.400487364440096e-08,1.3176008621940127e-06
1813,5.4639092583741444e-08,1.437870835729882e-06
1814,1.8880063290538374e-08,1.3530712053011484e-06
1815,2.6972236000233352e-08,9.736977091279186e-07
1816,8.111613958305952e-08,1.5597474600781425e-06
1817,4.203558034987509e-08,1.64872896846191e-06
1818,4.768471084659609e-08,1.6427382831807336e-06
1819,1.75967855842174e-08,1.398426846321854e-06
1820,2.610625848831205e-08,1.5343360075803503e-06
1821,4.437669787193954e-08,1.46541712808812e-06
1822,4.6117833107928163e-08,1.5389320395797768e-06
1823,3.953074634299725e-08,1.507109715248589e-06
1824,3.2842341290972854e-08,1.5604322243234492e-06
1825,3.6982861217893515e-08,1.4599424957850715e-06
1826,2.554315514657901e-08,1.462125410967019e-06
1827,2.2121456222379265e-08,1.2968702804982968e-06
1828,3.485474486808471e-08,1.3602522557221164e-06
1829,2.4862210068476998e-08,1.3922837922564213e-06
1830,2.5048406016026092e-08,1.6041416301959543e-06
1831,1.7150327380477393e-08,1.488960208462231e-06
1832,2.4353944638733083e-08,1.4937086660893328e-06
1833,2.7800709290204395e-08,1.5475727934699535e-06
1834,3.453776553641319e-08,1.4123145035682683e-06
1835,2.117664621437143e-08,1.5496766962996844e-06
1836,3.024337402735e-08,1.301137245945938e-06
1837,3.061471864906906e-08,1.3101709015472807e-06
1838,2.9667161394186792e-08,1.3110360725931969e-06
1839,1.8177836236255018e-08,1.2151184023423411e-06
1840,2.675269317187201e-08,1.2363565389250653e-06
1841,1.540931604537832e-08,1.063242820009691e-06
1842,4.628703065279183e-08,1.1786421509896172e-06
1843,3.5441465817687146e-08,1.1955587666534484e-06
1844,2.0856532612079093e-08,1.1976040212857697e-06
1845,4.185171054160719e-08,1.2823364130554182e-06
1846,2.1661654248106288e-08,1.2440814742831208e-06
1847,1.1325769655456952e-08,1.0489819999293104e-06
1848,1.3676877186341585e-08,1.1609254357836107e-06
1849,3.770736700658972e-08,1.099379261404465e-06
1850,1.5614691761811628e-08,1.1731384716995308e-06
1851,4.3211238143214814e-08,1.178312430738515e-06
1852,1.7578472233381603e-08,1.2168209053697865e-06
1853,1.911018188138769e-08,1.225440414032164e-06
1854,2.1302224872954412e-08,1.4942730786060565e-06
1855,1.963566731433275e-08,1.4413641764576823e-06
1856,4.0899793773974125e-08,1.2942973341978359e-06
1857,2.9777205645675764e-08,1.2740738242200678e-06
1858,3.572383455718864e-08,1.3325480381354282e-06
1859,3.3608344329749684e-08,1.0169070137067138e-06
1860,3.249800606397457e-08,1.1749631170232533e-06
1861,4.527325270231586e-08,1.1969116400223356e-06
1862,2.6656119311851967e-08,1.3255771307285613e-06
1863,2.946826249683454e-08,1.2032041496468082e-06
1864,2.1576275877066564e-08,1.1095000473915206e-06
1865,1.835669261041062e-08,1.1771817582939548e-06
1866,1.65430835696867e-08,1.2207822521759226e-06
1867,2.0867089389753346e-08,1.1986444548028885e-06
1868,2.7663294210888978e-08,1.25867993006068e-06
1869,1.269715022012008e-08,1.290714152446526e-06
1870,4.30053663791341e-08,1.22765982268902e-06
1871,7.434824089713743e-09,1.167267356549928e-06
1872,1.4513614310374123e-08,1.298968427931868e-06
1873,1.616221201317103e-08,1.2947727441314782e-06
1874,8.961913655625153e-09,1.176997969309923e-06
1875,2.5174719198162165e-08,1.2741841288743672e-06
1876,5.441413186701993e-08,1.2418514074852283e-06
1877,2.535774568102056e-08,1.2468589289937881e-06
1878,2.0532902045289347e-08,1.170979274434103e-06
1879,2.443730151568957e-08,1.154051517460175e-06
1880,2.5029599504122757e-08,1.1077202515252793e-06
1881,3.137628423743877e-08,1.035417341199718e-06
1882,2.0631693686823382e-08,1.2844893859664808e-06
1883,2.8437026067251736e-08,1.2960964284047805e-06
1884,2.8387296957532726e-08,1.1348317201509417e-06
1885,2.0626034213933053e-08,1.2092012724451706e-06
1886,1.2261580972783293e-08,1.1590421280516239e-06
1887,2.7421483750345033e-08,1.0544213395746738e-06
1888,2.0289966373709944e-08,1.0347883403483138e-06
1889,2.6940087494153886e-08,1.1496526184373579e-06
1890,2.7528423984790606e-08,1.1398078214597263e-06
1891,3.314594465564369e-08,1.169669346268165e-06
1892,2.382034658410248e-08,1.1546600120482253e-06
1893,3.387129021703572e-08,9.674872245568622e-07
1894,2.709661939270802e-08,1.0889059609553442e-06
1895,2.7083765452573516e-08,1.088767305645888e-06
1896,3.36130654421396e-08,1.0278521642703708e-06
1897,3.1464253869017966e-08,1.0523044693400152e-06
1898,3.960848360406999e-08,1.0637707106297967e-06
1899,2.266307141951529e-08,1.1978261795775325e-06
1900,5.0353215819143315e-08,1.0382106552242476e-06
1901,3.800342485149599e-08,1.0640959118290994e-06
1902,2.455142000812316e-08,1.0267403354191629e-06
