year,ancien_ADJ air_NOUN,ancien_ADJ père_NOUN
1800,6.288328968651058e-09,9.432493897065797e-09
1801,2.1430643926123594e-08,0.0
1802,4.475680270843441e-09,2.2378401354217203e-08
1803,0.0,1.5602713565598947e-08
1804,1.9774807569206132e-08,1.730295684509997e-08
1805,2.842877711017877e-09,8.528633133053631e-09
1806,2.881669125542885e-08,2.0171682990621775e-08
1807,8.540865792383556e-09,4.555128185756985e-08
1808,1.1330369531492579e-08,2.4926813946279935e-08
1809,9.036122072814123e-09,1.3554183553310395e-08
1810,4.680253518074551e-09,7.0203800106583e-08
1811,7.521229861140455e-09,5.264861258069686e-08
1812,0.0,0.0
1813,4.026038169513413e-08,2.5881675469463516e-08
1814,0.0,2.8320093825584536e-08
1815,0.0,7.552225822493597e-08
1816,6.952811659743929e-09,1.0892738622203524e-07
1817,0.0,4.0478710161551135e-08
1818,1.1921177378582115e-09,4.172412104708201e-08
1819,6.210630232317271e-09,3.2088255608186955e-08
1820,1.779972080839798e-08,2.610625760013363e-08
1821,1.2819934447350079e-08,6.705812083396268e-08
1822,9.023054303725075e-09,8.020492714422289e-08
1823,3.9530747564242574e-09,1.087095569118901e-07
1824,5.052667617633233e-09,8.084268365848857e-08
1825,5.283265824829186e-09,3.3460684001340724e-08
1826,4.403992170942672e-09,1.4973573048138178e-08
1827,2.7651818612639545e-09,3.410391080649333e-08
1828,1.7427371545863934e-08,5.96199587477031e-08
1829,5.143905579263475e-09,3.8579290873030914e-08
1830,1.7742621594152297e-08,5.0096812032052185e-08
1831,4.677361609140007e-09,9.35472388441383e-09
1832,1.7588960066206027e-08,3.788391467196561e-08
1833,3.0117434435261714e-08,6.48683204929057e-08
1834,6.534171426153534e-09,2.8937045648547155e-08
1835,2.571449897459388e-08,7.865611451052246e-08
1836,1.6129800606279332e-08,5.847052442220502e-08
1837,1.0436836284100082e-08,7.792837664055696e-08
1838,7.574594285131298e-09,2.4617430760542902e-08
1839,3.495737654901632e-08,3.216078514611809e-08
1840,6.369688498875092e-09,3.694419525857029e-08
1841,1.3483152372373297e-08,7.383630773460936e-08
1842,3.3541325272778977e-09,6.372851757419085e-08
1843,5.906911071384968e-10,7.856191786004274e-08
1844,1.3172546831086152e-08,5.598332553091723e-08
1845,3.348136878855712e-09,8.705155440935641e-08
1846,8.781751770214896e-09,5.0348711866377016e-08
1847,1.7797638030003782e-08,3.128069714364301e-08
1848,1.6090443422100975e-09,4.263967401385571e-08
1849,1.6758828991214614e-08,1.6758830323482243e-08
1850,1.2899092460827433e-08,3.4623879763273635e-08
1851,1.096404567135778e-08,3.8696632564949596e-08
