year,en_ADP oie_NOUN,en_ADP poids_NOUN
1800,3.144164484325529e-09,2.053139432689477e-06
1801,1.666827853519237e-08,2.4692863478392724e-06
1802,2.0140561218795483e-08,9.7569829904387e-07
1803,9.751696339321825e-09,1.8957297767130399e-06
1804,1.2359254952798437e-08,1.0307618367733085e-06
1805,3.695740957709859e-08,8.869778298503661e-07
1806,1.4408345627714425e-08,1.9019016042065573e-06
1807,0.0,2.408524096608744e-06
1808,1.0877154998922833e-07,1.3800390203932977e-06
1809,0.0,3.6415572060022328e-06
1810,2.3401266702194334e-08,2.5226565867342288e-06
1811,1.504245972228091e-08,3.0811973736888376e-06
1812,2.6672082320544632e-09,3.363349493579193e-06
1813,5.751483289628823e-09,3.148937139485497e-06
1814,1.1642705288750221e-07,3.7948926205899625e-06
1815,0.0,1.6129396305242238e-06
1816,2.3176038865813098e-09,2.542411561279323e-06
1817,4.670620334934483e-09,2.022378669863656e-06
1818,4.768470951432846e-09,1.8775854648822587e-06
1819,4.140420006848444e-09,1.668589288073008e-06
1820,2.3732962262101864e-09,1.8784639905788936e-06
1821,1.577838126820552e-08,1.3973728982819011e-06
1822,1.0025615893027862e-09,1.534921779011711e-06
1823,1.9765373782121287e-09,1.7403411547434189e-06
1824,1.9368560089105813e-08,2.4025435010344154e-06
1825,7.924898959288385e-09,1.9099005541534098e-06
1826,3.5231937367541377e-09,1.1247795868030153e-06
1827,1.8434546111834038e-09,2.0010699675054866e-06
1828,7.337841001486822e-09,1.884907934623925e-06
1829,9.430493719264632e-09,2.1304343000849713e-06
1830,2.0873671680021744e-09,2.7354947107482985e-06
1831,1.5591206103948707e-09,2.0720712292643384e-06
1832,2.0294953273491956e-08,2.392098518488872e-06
1833,2.3167257001688313e-09,1.9031901885568914e-06
1834,3.733812370398937e-09,1.3292372553763698e-06
1835,7.563087933704082e-09,1.576903812861019e-06
1836,2.016224964762614e-09,1.4886461263685646e-06
1837,1.3915781860163179e-09,1.5857033817123778e-06
1838,4.418513332993257e-09,1.4587406020893923e-06
1839,2.0974426639952526e-09,2.0303242909136543e-06
1840,5.732719632334238e-09,1.6522972519084078e-06
1841,2.3113974734201292e-08,1.627609059084989e-06
1842,1.341653010911159e-09,1.3336030999511195e-06
1843,1.7720733214154905e-09,1.8754442550061867e-06
1844,3.2931368743049916e-09,1.5724728523736076e-06
1845,3.9061593959388574e-09,1.7438212118747742e-06
1846,2.9272506640865004e-09,1.6550674928339504e-06
1847,7.011190739092399e-09,1.5171138514347149e-06
1848,4.82713291560799e-09,1.4127409304620642e-06
1849,1.9272654583346593e-08,1.3733860875220216e-06
1850,6.788996032014438e-09,1.4867900901549547e-06
1851,1.0964046337491595e-08,2.390162002541274e-06
1852,5.208436348880241e-09,1.6875334054589075e-06
1853,1.791579506971175e-08,2.080023762118799e-06
1854,7.79349651480743e-09,1.5472688250639521e-06
1855,1.0083180512765466e-08,1.5018632524288478e-06
