year,on_PRON ose_VERB,on_PRON pose_VERB
1800,1.1979266645312237e-06,1.405441565793808e-06
1801,1.4072789156216459e-06,2.3573707323976123e-06
1802,1.056260543919052e-06,2.121472448379791e-06
1803,9.517655712443229e-07,1.8937793981876894e-06
1804,1.3372713283388293e-06,1.381764661800844e-06
1805,1.657397746157585e-06,1.8222845596937987e-06
1806,9.855308178430278e-07,1.7664631570823985e-06
1807,8.426987392340379e-07,1.3181401641304547e-06
1808,8.815027570108214e-07,9.177599622489652e-07
1809,1.0933707557114758e-06,1.8840314339740871e-06
1810,1.2730289142837137e-06,1.7901969613376423e-06
1811,9.577033068808305e-07,1.6797415014480066e-06
1812,1.2375845699352794e-06,3.8327781339830835e-06
1813,1.0755274075791021e-06,1.975634461359732e-06
1814,1.1737105580778007e-06,1.8345128154351187e-06
1815,1.270392289143274e-06,1.0492199464806617e-06
1816,1.0800034289104588e-06,2.6745149170892546e-06
1817,1.3373542913086567e-06,1.2143612195814057e-06
1818,1.4531915439874865e-06,1.1360882155031504e-06
1819,2.342442513736387e-06,1.484340600654832e-06
1820,1.4856834980037092e-06,1.1308756313610502e-06
1821,1.8815719613485271e-06,1.1449188122014675e-06
1822,1.4547168092349239e-06,1.0707357489536662e-06
1823,1.0633771125867497e-06,1.4221186432905597e-06
1824,9.92007073818968e-07,1.3726413783388125e-06
1825,1.1975402287589532e-06,1.4520175284360448e-06
1826,1.0965940475671232e-06,1.5123308685360826e-06
1827,1.162298119083971e-06,1.6830740037221403e-06
1828,1.149289303725709e-06,1.7005446864004625e-06
1829,1.138517774279535e-06,1.6023266198317287e-06
1830,1.3661818485388721e-06,1.8285336409462616e-06
1831,1.4780463288843748e-06,1.6401948244038067e-06
1832,1.3570559929121373e-06,2.068732328552869e-06
1833,8.664553945436637e-07,1.7294357803621097e-06
1834,9.586563152197414e-07,1.6802155471395963e-06
1835,8.788308036855597e-07,1.4869030877662226e-06
1836,9.382167007743192e-07,1.3454941552026867e-06
1837,8.015490564616812e-07,1.5342149026764673e-06
1838,7.13905521365632e-07,1.1879488823751672e-06
1839,7.159270580814336e-07,1.7961100127195095e-06
1840,8.312443924296531e-07,1.762492900070356e-06
1841,8.301769085505839e-07,1.7200649722326489e-06
1842,7.654130200762665e-07,1.2557872253182722e-06
1843,8.281489130013142e-07,1.7011903992170119e-06
1844,9.264691342991682e-07,1.7859778154161177e-06
1845,7.644912045634555e-07,1.5652539673283172e-06
1846,7.850886376559174e-07,1.4776761645407532e-06
1847,9.36263603534826e-07,1.6141918877110584e-06
1848,7.0958856923653e-07,1.4095228380028857e-06
1849,8.429691362721314e-07,1.3859552154826815e-06
1850,7.99064842738062e-07,1.5635057337703984e-06
1851,8.848629988733592e-07,1.4343551413276145e-06
1852,7.350405937245341e-07,1.3034111816523364e-06
1853,8.79068373649261e-07,1.5891310880533638e-06
1854,9.014477768687357e-07,1.592990685139739e-06
1855,8.867892091757312e-07,1.467898755436181e-06
1856,8.630374210838454e-07,1.575418707489007e-06
1857,8.29856531936457e-07,1.3472965463279252e-06
1858,8.157757847016001e-07,1.484251981764828e-06
1859,7.836854933884752e-07,1.636115300129859e-06
1860,9.076555897991057e-07,1.2042571171377858e-06
