year,en_ADP artisan_NOUN,en_ADP partisans_NOUN
1800,0.0,9.432493897065797e-09
1801,2.3811825844433088e-09,2.3811825844433088e-09
1802,1.1189200677108602e-08,0.0
1803,0.0,1.1702034896643454e-08
1804,0.0,7.4155526164076946e-09
1805,0.0,5.685755422035754e-09
1806,0.0,6.339671898558663e-08
1807,8.540865792383556e-09,2.8469550272802735e-08
1808,2.039466551195801e-08,3.172503681980743e-08
1809,6.7770917766551975e-09,4.292158095609011e-08
1810,4.680253518074551e-09,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.0130190847567064e-08
1814,0.0,1.258670891957081e-07
1815,1.6183340889597275e-08,4.8550024445148665e-08
1816,2.3176038865813098e-09,1.8540831092650478e-08
1817,0.0,9.808302792180257e-08
1818,9.536941902865692e-09,5.2453181353939726e-08
1819,1.035105001712111e-09,2.3807414706311647e-08
1820,2.3732962262101864e-09,3.797273961936298e-08
1821,0.0,9.2697987952306e-08
1822,2.0051231786055723e-09,8.521773509073682e-08
1823,1.7788837070042973e-08,1.1365089847004128e-07
1824,2.5263338088166165e-09,7.579001248814166e-08
1825,2.641632912414593e-09,1.47050897680856e-07
1826,3.5231937367541377e-09,9.072223861039674e-08
1827,2.1199728195142598e-08,3.7790819362726324e-08
1828,0.0,7.613009955775851e-08
1829,1.714635211591542e-09,3.772197487705853e-08
1830,4.174734336004349e-09,6.992679857376061e-08
1831,0.0,8.886987501455224e-08
1832,1.3529969367098715e-09,5.547287429408243e-08
1833,0.0,5.90765054653275e-08
1834,6.534171426153534e-09,4.29388435918554e-08
1835,2.2689263801112247e-09,4.235329242874286e-08
1836,1.3441500135158435e-09,3.763620171071125e-08
1837,0.0,3.6876823372722356e-08
1838,6.312161904276081e-10,5.5547026533986354e-08
1839,5.5931801412612e-09,3.775396706373613e-08
1840,1.2739377330817092e-09,7.45253601053264e-08
1841,5.1364388298225094e-09,3.659712533021775e-08
1842,0.0,8.586579269831418e-08
1843,1.7130041385371442e-08,4.784597962270709e-08
1844,8.781698035420504e-09,3.951764071530306e-08
1845,7.254296274794569e-09,2.0646844234306627e-08
1846,9.367202125076801e-09,5.854501239355159e-08
1847,8.089835468183537e-09,8.143767615820252e-08
1848,5.63165514222419e-09,5.712107409294731e-08
1849,8.379414939696517e-10,2.5976186535103807e-08
1850,8.82569484161877e-09,6.245876704724651e-08
1851,1.2898877521649865e-09,7.029888138276874e-08
1852,9.114764054629632e-09,2.4740073101270355e-08
1853,2.9859659189668264e-09,6.151089593231518e-08
1854,8.313063126763609e-09,2.338049043260071e-08
1855,7.429711956774554e-09,4.404757802944914e-08
1856,8.28350277259915e-09,4.0899795550330964e-08
1857,3.4170564155999728e-09,8.64027143165913e-08
1858,1.957470352476065e-09,5.2851699905431815e-08
1859,5.092173349652285e-10,3.8700516569178944e-08
1860,2.746310290291376e-09,4.3483247225140076e-08
1861,5.187560159214399e-09,5.989274143303192e-08
1862,4.066187830886747e-09,4.066187742068905e-08
1863,9.989241656072068e-10,4.5950510951797696e-08
1864,6.233146443435089e-09,2.0137857603685916e-08
1865,4.706844247692743e-09,5.742350239756888e-08
1866,6.811858188626729e-09,5.011581194480641e-08
1867,2.91168689159349e-09,2.9602150064533816e-08
1868,7.409810987013543e-09,7.508608490525148e-08
1869,5.371870948067681e-09,5.1276952461876135e-08
