year,prochain_ADJ port_NOUN
1800,1.5720821977538435e-08
1801,1.1905912700171939e-08
1802,3.1329761895904085e-08
1803,3.705644502360883e-08
1804,3.460591457837836e-08
1805,0.0
1806,4.3225035994964855e-08
1807,1.9928686256776018e-08
1808,4.5321479902327155e-09
1809,0.0
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,1.3336041604361526e-08
1813,0.0
1814,9.440030979135372e-09
1815,0.0
1816,2.3176038865813098e-09
1817,1.0898113522728181e-08
1818,0.0
1819,0.0
1820,0.0
1821,3.94459531705138e-09
1822,6.015369535816717e-09
1823,1.4824030003524058e-08
1824,8.421112696055388e-10
1825,4.4027217427355936e-09
1826,5.108631029315802e-08
1827,8.295545583791863e-09
1828,9.172301251858528e-10
1829,2.571952872898464e-09
1830,1.0436835395921662e-08
1831,1.2472964883158966e-08
1832,0.0
1833,2.3167257001688313e-09
1834,7.467624740797874e-09
1835,1.2100940693926532e-08
1836,1.4113575197427508e-08
1837,1.1828414692161004e-08
1838,3.787297142565649e-09
1839,2.7965900706306e-09
1840,1.3376346252869098e-08
1841,0.0
1842,0.0
1843,0.0
1844,3.2931368743049916e-09
1845,8.928364714222425e-09
1846,1.8734404250153602e-08
1847,8.629157832729106e-09
1848,1.6090443422100975e-09
1849,2.513824481908955e-09
1850,6.788996032014438e-10
1851,3.2247193804124663e-09
1852,2.6042181744401205e-09
1853,3.5831591027601917e-09
1854,6.754363734984281e-09
1855,1.5920811335945473e-09
1856,1.5531567143511893e-09
1857,8.298565390418844e-09
1858,7.34051397444091e-09
1859,4.073738679721828e-09
1860,1.0985241161165504e-08
1861,1.1789909493131745e-08
1862,1.355395884417021e-08
1863,1.9978483312144135e-09
1864,1.0548401263577034e-08
1865,2.3534221238463715e-09
1866,1.1190909532388105e-08
1867,8.73506067478047e-09
1868,1.975949626142892e-09
1869,5.371870948067681e-09
1870,1.1468097582678638e-09
1871,2.2304472935275044e-08
1872,1.7537283625301825e-08
1873,8.380406590902112e-09
1874,6.572069999322139e-09
1875,3.432916173551348e-09
1876,3.02300739996042e-09
1877,3.0924081073635534e-09
1878,1.8117265465633636e-09
1879,9.774920428640144e-09
1880,1.0268554007097919e-08
1881,6.9725074602899895e-09
1882,1.0648616211028639e-08
1883,1.2638677659992936e-08
1884,3.9610181801208455e-09
1885,9.023890079618013e-09
1886,1.097088819790315e-08
1887,7.1818169189441505e-09
1888,1.3949351895803375e-08
1889,8.14467782106476e-09
1890,9.831579994568074e-09
1891,8.92390783491237e-09
1892,8.149066310636499e-09
1893,2.7097032173628577e-08
1894,2.457600345451283e-08
1895,1.745398137131815e-08
1896,1.47425724961181e-08
1897,1.4566784223291052e-08
1898,6.7900258748920805e-09
1899,1.492446166651007e-08
1900,7.26747462209687e-09
1901,9.500856101851696e-09
1902,7.365425602756659e-09
1903,1.0260418292773466e-08
1904,2.364835083312755e-08
1905,1.0837593933388234e-08
1906,1.5432553013283723e-08
1907,1.902852098112362e-08
1908,1.1296195090437777e-08
1909,1.1552065082298668e-08
1910,9.619471441624228e-09
1911,1.0640748726586935e-08
1912,1.719108944087111e-08
1913,1.6439267724877027e-08
1914,2.276892807628883e-08
1915,3.2986132936230206e-08
1916,1.0987461607214755e-08
1917,3.3995917192441993e-08
1918,2.6418664589300533e-08
1919,2.025726608678724e-08
1920,8.329454459499175e-09
1921,6.058197943303867e-09
1922,9.591316185719734e-09
1923,1.1677542488541803e-08
1924,1.5469948877466777e-08
1925,9.898360353588487e-09
1926,2.229227646921572e-08
1927,2.3413372574054847e-08
1928,1.2568645679778001e-08
1929,1.7824650200282122e-08
1930,1.575540586884472e-08
1931,1.1405356659111021e-08
1932,6.575722188983946e-09
1933,2.2941325283909464e-08
1934,2.2765002327673756e-08
1935,9.574627313213568e-09
1936,1.2124714565686645e-09
1937,1.6368453259474336e-08
1938,9.075650453382877e-09
1939,1.2235240376412548e-08
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,8.709705845433291e-09
1944,6.4263723231761105e-09
1945,2.178504043826024e-09
1946,9.744772988540262e-09
1947,3.5762612871081956e-09
1948,5.435944139264848e-09
1949,1.0798709482173763e-08
1950,1.808011518278363e-08
1951,1.5992101864981123e-08
1952,6.326882129314981e-09
1953,8.619061908632375e-09
1954,2.6385848173049453e-08
1955,6.569925492527773e-09
1956,9.593255967388359e-09
1957,4.417518795207798e-09
1958,4.1361216673863055e-09
1959,2.5577467255288866e-08
1960,4.844583401109048e-09
1961,1.181187059273725e-08
1962,3.805173953708163e-09
1963,6.466053470433053e-09
1964,1.2776333768727e-08
1965,7.1136563306595235e-09
1966,3.3234448526542337e-09
1967,4.437302081328198e-09
1968,3.1439910674890825e-09
1969,1.2716921737876419e-08
1970,1.0577067222072856e-08
1971,3.083038491169532e-09
1972,7.69522046084603e-09
1973,5.513203671370093e-09
1974,8.438357568252286e-09
1975,2.8557400888473694e-09
1976,5.713526984862938e-09
1977,4.7014254711541525e-09
1978,5.940591130126904e-09
1979,1.1703946256602649e-08
1980,5.116635559687666e-09
1981,4.427884725544118e-09
1982,9.311253101884631e-09
1983,8.209910973278056e-09
1984,5.799008384599347e-09
1985,9.624892882698077e-09
1986,1.1389522214244607e-08
1987,7.332980445085013e-09
1988,1.139345240375178e-08
1989,9.878619700032232e-09
1990,7.083246433836621e-09
1991,1.1136783939491579e-08
1992,6.060938417817852e-09
1993,7.754890063438324e-09
1994,2.637463358823311e-09
1995,6.506940763983948e-09
1996,1.0676184380997711e-08
1997,5.274384040632185e-09
1998,8.582632382569955e-09
1999,9.140402212892695e-09
2000,7.95245647111642e-09
2001,1.5334240544007116e-08
2002,4.81934359086722e-09
2003,7.500461585152607e-09
2004,7.928623979580607e-09
2005,1.1259373877692269e-08
2006,1.0294725072412803e-08
2007,8.38840730210677e-09
2008,4.6831836186811415e-09
2009,9.53638501499654e-09
2010,1.1809482280966677e-08
2011,1.5678285336662157e-08
2012,9.872333173177594e-09
2013,1.3945625099154313e-08
2014,1.4941571535587173e-08
2015,1.2634480128781433e-08
2016,1.4706514228635115e-08
2017,1.685459594114036e-08
2018,2.116802733098666e-08
2019,1.836711227554133e-08
