year,en_ADP air_NOUN,en_ADP père_NOUN
1800,9.023752340908686e-07,2.986956193495871e-07
1801,4.4528114284680953e-07,3.3098437057788033e-07
1802,2.506380951672327e-07,4.050490645113314e-07
1803,4.5442902552039754e-07,3.237563073188454e-07
1804,3.8808059343864443e-07,4.2515835252388e-07
1805,2.7575912708854844e-07,6.083758437025466e-07
1806,3.7749865100522584e-07,4.6683040633155315e-07
1807,2.0498076924724273e-07,3.9003285223770945e-07
1808,2.062127402169267e-07,5.778488532115489e-07
1809,2.4397530085096264e-07,4.631012551215008e-07
1810,1.7550951270095538e-07,5.218482623803311e-07
1811,2.0808736911348547e-07,4.688233423699728e-07
1812,1.3869483117545656e-07,3.467370834897565e-07
1813,2.0992913585260453e-07,3.2208307665371194e-07
1814,1.3530711839848664e-07,5.538151817141568e-07
1815,2.8320846801044297e-07,4.153724413313853e-07
1816,1.7150268938337376e-07,3.82404653720414e-07
1817,1.3077736582545185e-07,5.340075572846104e-07
1818,2.2888661255215936e-07,5.114185293031426e-07
1819,1.3870406800897683e-07,6.158874890083155e-07
1820,1.8511710120350244e-07,5.648445196015928e-07
1821,8.776724769177235e-08,6.281768043514546e-07
1822,1.0426640528748976e-07,6.727188548438789e-07
1823,9.586206450862278e-08,5.76160635645806e-07
1824,1.4905369027928828e-07,5.280037731481002e-07
1825,1.1270966804310945e-07,4.4819705014020883e-07
1826,9.776862741617265e-08,4.536111886110916e-07
1827,1.6222400611720644e-07,4.359770038320221e-07
1828,1.4033620721054518e-07,4.2009138667697954e-07
1829,1.3717081515096652e-07,4.86956423628726e-07
1830,1.8786305133744463e-07,4.5713339935637975e-07
1831,1.7306238930814288e-07,2.9311466454018387e-07
1832,1.1094574858816486e-07,4.018400878713635e-07
1833,1.4247862734073635e-07,3.7762630111792816e-07
1834,1.474855890748472e-07,2.940377348270573e-07
1835,1.1722786297241328e-07,4.205076820085196e-07
1836,1.9624590608113834e-07,2.6681377685022767e-07
1837,9.253994626146067e-08,3.0266824779801027e-07
1838,1.7484688585867048e-07,2.411245896283276e-07
1839,1.3143973565110656e-07,3.0622662294810254e-07
1840,1.1720227499623093e-07,2.8599903290071893e-07
1841,1.4703056194775854e-07,2.4398084219612315e-07
1842,1.1739464067517247e-07,2.461933403807848e-07
1843,1.9729083622355148e-07,2.882572576190512e-07
1844,1.5203314940315238e-07,3.4797478687398353e-07
1845,1.9419193170167048e-07,3.242112449619583e-07
1846,1.0362467706137579e-07,2.5759805044600625e-07
1847,9.977463566457345e-08,2.518635486836729e-07
1848,7.562508130831702e-08,2.16416468024061e-07
1849,4.776266493422554e-08,2.622756896109024e-07
1850,1.0726613819400654e-07,3.0686261087709e-07
1851,9.28719168236114e-08,2.5475283260689707e-07
1852,1.295598495154593e-07,3.2682938311268117e-07
1853,1.8632426690423642e-07,3.7563452215394477e-07
1854,1.5327209934579145e-07,5.01901193272758e-07
1855,1.645150575768639e-07,3.640558894346668e-07
1856,1.0457922500206607e-07,3.0493643343731947e-07
1857,1.649950125415245e-07,3.656250182615395e-07
1858,1.1793758891709416e-07,2.9606739238019486e-07
1859,9.522363986214089e-08,3.029843247404074e-07
1860,2.2016254042078742e-07,2.9568608661545426e-07
1861,1.787350306092783e-07,2.3626978551405386e-07
1862,2.466820419877447e-07,3.298130000217725e-07
1863,1.4883970733681195e-07,3.5711537993421416e-07
1864,9.829192038068868e-08,2.9151944680450015e-07
1865,8.425251213362017e-08,2.890002352984311e-07
1866,1.7954111974916032e-07,2.9582926153182143e-07
1867,1.465549051005155e-07,2.4312585722441327e-07
1868,1.1262912769094413e-07,2.1340255407231723e-07
1869,1.3771524309813543e-07,2.583381704113208e-07
1870,1.2614906896857292e-07,2.2362789842134134e-07
1871,1.115223595693493e-07,1.433858960453449e-07
1872,1.5420715726577328e-07,2.2193734583453306e-07
1873,7.302925214558442e-08,2.4063738091051334e-07
1874,1.69081439682639e-07,1.6549667081200425e-07
1875,1.0241533254795598e-07,1.7393441975599444e-07
1876,1.6566080840441089e-07,1.7593903045565185e-07
1877,1.0699732011509866e-07,2.430632712879799e-07
1878,1.6547102504871347e-07,2.1801109895136506e-07
1879,6.659164597522249e-08,2.3826368833468337e-07
1880,1.1167052460514526e-07,1.7777434435650719e-07
1881,1.1713813058422673e-07,1.805879501493024e-07
1882,1.0715170062347568e-07,2.5290463057103807e-07
1883,1.131161653233903e-07,1.870524322100664e-07
1884,1.7296446674919252e-07,2.0465260686108877e-07
1885,1.4180398011376383e-07,1.443822364999292e-07
1886,1.0906354014350583e-07,2.032841099897098e-07
1887,8.161155939934162e-08,1.68446258719257e-07
1888,1.0715638998348709e-07,1.8514595145902035e-07
1889,8.645888804892365e-08,1.5098979994077055e-07
1890,1.7238036653655087e-07,1.743466784276393e-07
1891,2.42220368873447e-07,1.3194634895796753e-07
1892,1.1847488301519604e-07,1.3978783042212228e-07
