year,en_ADP ère_NOUN,en_ADP ere_NOUN,en_ADP paire_NOUN
1800,1.8864987794131594e-08,1.0690159246706799e-07,3.144164484325529e-09
1801,3.333655484993869e-08,7.1435474868764e-08,0.0
1802,2.2378401354217203e-09,2.2378401354217203e-09,0.0
1803,1.950339267864365e-08,5.0708818033484704e-08,1.3652374786232713e-08
1804,4.943701892301533e-09,4.943701892301533e-09,2.4718509461507665e-09
1805,5.685755422035754e-09,2.842877711017877e-09,0.0
1806,0.0,3.1698359492793315e-08,2.0171682990621775e-08
1807,2.8469551160981155e-09,0.0,2.8469551160981155e-09
1808,1.1330369531492579e-08,6.118399653587403e-08,0.0
1809,9.036122072814123e-09,9.036122072814123e-09,2.259030518203531e-09
1810,4.212228077449254e-08,7.020380277111826e-09,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09,2.5070767684098882e-09
1812,8.00162425207418e-09,1.8670457180292033e-08,0.0
1813,0.0,0.0,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,3.506390644503199e-08,5.394447111228828e-09
1816,0.0,1.4832664874120383e-07,6.952811659743929e-09
1817,1.556873407970727e-09,6.227493631882908e-09,1.0898113522728181e-08
1818,7.152706427149269e-09,2.384235475716423e-09,1.1921177378582115e-09
1819,1.7596784473994376e-08,3.933399084221634e-08,0.0
1820,1.1866481131050932e-09,2.3732962262101864e-08,2.3732962262101864e-09
1821,7.88919063410276e-09,1.7750678149575094e-08,1.97229765852569e-09
1822,5.012807946513931e-09,1.2030739071633434e-08,2.0051231786055723e-09
1823,2.8659792761231984e-08,1.4824030780680175e-08,1.9765373782121287e-09
1824,1.0105335235266466e-08,0.0,1.6842225392110777e-09
1825,1.584979791857677e-08,0.0,1.7610886082763955e-09
1826,2.642395191543301e-09,1.1450379977517855e-08,1.3211976401805714e-08
1827,1.8434546111834038e-09,2.21214555007343e-08,9.217273055917019e-10
1828,8.255071293206129e-09,4.5861504760491556e-08,2.7516904310687096e-09
1829,1.0287811491593857e-08,2.8291481157793896e-08,4.286588028978855e-09
1830,4.174734336004349e-09,1.0436835840010872e-09,3.1310507520032616e-09
1831,0.0,9.35472388441383e-09,0.0
1832,5.411987746839486e-09,2.705993873419743e-09,0.0
1833,8.108539617524002e-09,2.3167257001688313e-09,6.950177322551099e-09
1834,1.213489042584115e-08,9.334530703952737e-09,2.8003592777992026e-09
