year,on_PRON unit_VERB,on_PRON punit_VERB
1800,6.319770591289853e-07,2.7354229814591235e-07
1801,6.11963926644421e-07,3.4050909647476146e-07
1802,2.551137754380761e-07,4.095247447821748e-07
1803,3.257066580886203e-07,3.764154712371237e-07
1804,3.5594653979842406e-07,4.869546472718866e-07
1805,3.4114533775664313e-07,5.628897881138073e-07
1806,1.988351714388159e-07,3.1122026911134526e-07
1807,2.3345031729959942e-07,3.7295113486379705e-07
1808,2.0621273222332093e-07,4.55480858363444e-07
1809,2.3042111862991987e-07,3.9307131771693093e-07
1810,1.965706459827743e-07,3.7442028144596406e-07
1811,1.6295999216708879e-07,6.267692072015052e-07
1812,4.720958699522271e-07,4.267533171287141e-07
1813,2.731954538148784e-07,4.5149144511924533e-07
1814,1.6048053197437184e-07,3.7760126048169695e-07
1815,1.6722786266853973e-07,2.2386955933484387e-07
1816,5.376841087922912e-07,5.121904678162537e-07
1817,2.2418976897142784e-07,4.79517005658181e-07
1818,9.536941725230008e-08,4.303544969275208e-07
1819,1.5630085314910502e-07,5.434301328932634e-07
1820,2.480094511980724e-07,4.449930486316589e-07
1821,1.9525746530746346e-07,4.94060557798548e-07
1822,1.8948414037822658e-07,4.6017575527912413e-07
1823,1.3045146474155445e-07,4.427443656140895e-07
1824,2.3494904155541008e-07,3.503182952613315e-07
1825,2.4303023238303467e-07,4.922242737848137e-07
1826,1.4445094365100886e-07,4.906047266217684e-07
1827,1.4931983027821616e-07,5.31836668926644e-07
1828,1.5409466413984774e-07,4.0633293707514895e-07
1829,1.8689523528792051e-07,4.2951613465902483e-07
1830,1.5237780459642636e-07,3.433719086842757e-07
1831,1.4499821610058916e-07,4.6773618578299647e-07
1832,1.853605802182301e-07,4.234880321973833e-07
1833,1.7143770847383166e-07,3.3129176557622486e-07
1834,1.3441724711071856e-07,4.1258628158402644e-07
1835,1.1647155417904287e-07,4.0538150614111146e-07
1836,1.6801875624139484e-07,4.187027329294324e-07
1837,9.88020483205787e-08,4.0007873991498855e-07
1838,1.3634269713236336e-07,3.3138849531155756e-07
1839,1.4262609937532034e-07,2.4190503822296705e-07
1840,1.2038711361128662e-07,3.2294321528070213e-07
1841,9.823439128808786e-08,2.1765659141692595e-07
1842,1.5361927729884428e-07,2.0929786614942714e-07
1843,1.754352538796411e-07,3.8217714859456464e-07
1844,1.5367971073487752e-07,3.112014255179929e-07
1845,1.3392546982515796e-07,2.661768760958694e-07
1846,1.182609263850054e-07,2.616962042623072e-07
1847,1.0678583173273637e-07,2.6696456245645095e-07
1848,1.0941501216166216e-07,2.2043907321744882e-07
1849,7.373885146932935e-08,2.0697154923254857e-07
1850,8.961475117530426e-08,2.2132127242002753e-07
1851,1.296337170941797e-07,3.695528292269046e-07
1852,1.8034210746975532e-07,2.734429145334616e-07
1853,1.3317407976387585e-07,2.6515377271607576e-07
1854,1.0806982153610534e-07,2.2705054192329044e-07
1855,1.1144567935161831e-07,2.6959240884139035e-07
1856,1.221816683383281e-07,2.1899510471712347e-07
1857,8.200934953350725e-08,2.4505175844069527e-07
1858,1.1695885748785884e-07,2.485987486977592e-07
1859,9.216833696257254e-08,2.571547597085555e-07
1860,1.1442959468865865e-07,2.627303530289282e-07
1861,8.67737313114958e-08,2.221218977638273e-07
1862,6.460720491929806e-08,2.4035687218315616e-07
1863,8.990317201806874e-08,2.7570306926349986e-07
1864,6.329040935781904e-08,2.0041962756067733e-07
1865,4.142022991260319e-08,2.4663864195417773e-07
1866,5.838735361862746e-08,1.4596838582292548e-07
1867,7.376273636339192e-08,1.708189696358886e-07
1868,8.051994893065739e-08,2.3019812900315628e-07
1869,9.474026985145656e-08,2.5589640983980644e-07
1870,6.594155976813454e-08,2.2878854366581436e-07
1871,5.2043770182308435e-08,1.8693271286451818e-07
1872,9.796689548480231e-08,2.3221782896598597e-07
1873,7.961385684041034e-08,1.3348789806855166e-07
1874,5.914862999389925e-08,1.8162811699085069e-07
1875,7.209124319729199e-08,1.8308886762241627e-07
1876,4.5949712479398386e-08,1.898448651616036e-07
1877,9.586464955191332e-08,1.8121511047297645e-07
1878,4.2273619049737476e-08,1.8660784206758763e-07
1879,8.430868625453058e-08,2.7369776844921034e-07
1880,5.326812235750822e-08,2.477288703062186e-07
1881,6.6936072684598e-08,1.5478967085869044e-07
1882,6.855046663645226e-08,1.836886287520656e-07
1883,4.61311753241489e-08,1.64302811356265e-07
1884,3.828984418419168e-08,1.2213139299888098e-07
1885,6.058897428218302e-08,1.2311163821721038e-07
1886,5.6145135207685826e-08,1.5681917275855994e-07
1887,3.721486918628614e-08,1.2339667598837423e-07
1888,5.009085479734665e-08,1.2491011069926117e-07
1889,4.072338799510078e-08,1.215436533641423e-07
1890,6.09557933017868e-08,1.5992703517042628e-07
1891,7.266611135037238e-08,1.2939667115574593e-07
1892,4.576014056567601e-08,1.5922022100767208e-07
1893,6.712674194275792e-08,1.539604177480669e-07
1894,3.1507696673926944e-08,1.3485293948178878e-07
1895,6.199173085974508e-08,1.3782627572567208e-07
1896,4.1279201390409526e-08,1.6393740054354566e-07
1897,4.136966635925887e-08,1.1711694369864745e-07
1898,4.866185276952706e-08,1.2731298326684737e-07
1899,5.3617508655179336e-08,1.5919426488153476e-07
1900,4.775768713827233e-08,1.297763301266741e-07
1901,6.259387497209445e-08,1.4474833598399073e-07
1902,5.106695333267908e-08,7.660042999901862e-08
1903,4.860198243861191e-08,1.0638433955989512e-07
1904,4.3534464921890503e-08,9.190609162601504e-08
1905,6.812201913675153e-08,9.80544232476177e-08
1906,4.0124638500671495e-08,1.1728741000638365e-07
1907,6.068555258309516e-08,1.4708532347640357e-07
1908,5.353414112008181e-08,8.496703074456491e-08
1909,5.005894987419879e-08,8.856583821881259e-08
1910,4.916618578931775e-08,1.303972751998117e-07
1911,2.9262057221757232e-08,1.02151185288335e-07
1912,4.375913764675943e-08,7.970414195312969e-08
1913,4.030272293675807e-08,1.0181740073278434e-07
1914,4.2859159776753586e-08,1.0781757531219682e-07
1915,4.594497204912784e-08,8.364341219646576e-08
1916,2.5271162051865304e-08,9.229467945459646e-08
1917,7.347504471511002e-08,1.1405081412618756e-07
1918,4.5945506066402686e-08,8.729645806226927e-08
1919,4.603924241841639e-08,9.852397475640373e-08
1920,3.483226640454973e-08,9.389567523498954e-08
1921,4.8465583546430935e-08,9.163024472513825e-08
1922,4.13164379930997e-08,8.115728888924423e-08
1923,4.0340602858179864e-08,6.900366322781792e-08
1924,6.187979817440237e-08,6.574728583785827e-08
1925,3.40943513421621e-08,1.0778214587503498e-07
1926,3.789686964239536e-08,9.028372005559504e-08
1927,3.5677520049404166e-08,9.253856880775402e-08
1928,4.4561558887323827e-08,8.341010016010841e-08
1929,5.681607206931005e-08,6.350031611646045e-08
1930,5.461873842094178e-08,1.0293531182981042e-07
1931,2.9653926425510235e-08,1.437074903520852e-07
1932,6.685317366361687e-08,1.0301964437076094e-07
1933,5.505917677339767e-08,9.97947591230286e-08
1934,3.5944740517379614e-08,7.42857970692512e-08
1935,2.6330224223158893e-08,8.138433216231533e-08
1936,3.3949201672101026e-08,7.274828517367382e-08
1937,5.036447325856841e-08,7.302848636925319e-08
1938,4.019216381934143e-08,6.741911562357927e-08
1939,5.8117392676138024e-08,5.352917487044806e-08
1940,4.310830958864642e-08,4.3108311142958655e-08
1941,3.8369533328364014e-08,1.1215709960765707e-07
1942,4.551317789314169e-08,8.495793002438745e-08
1943,5.2258234184421326e-08,4.645176421291808e-08
1944,8.675602636287749e-08,8.996921074810871e-08
1945,1.9606536838523425e-08,5.446260153973981e-08
1946,1.8097434661967782e-08,9.883984208869379e-08
1947,4.172304990390785e-08,6.675687647117456e-08
1948,3.370285250881011e-08,7.7190401626126e-08
1949,2.84693233432165e-08,1.0504198755256766e-07
1950,3.509669355139522e-08,1.3081494287803253e-07
1951,2.8785785310958545e-08,7.676209357043717e-08
1952,2.1089607393776078e-08,5.2724018928529404e-08
1953,2.8011951092032916e-08,6.787511175332384e-08
1954,2.2476833949625075e-08,6.058972523703687e-08
1955,1.3139850985055546e-08,6.100645144613281e-08
1956,2.2674968569447174e-08,7.674604418639319e-08
1957,3.0922632010543794e-08,4.1524676142046246e-08
1958,1.5717262602521487e-08,5.046068629610545e-08
1959,1.705164498488898e-08,6.510628125511175e-08
1960,3.0451666521713605e-08,7.059249806928847e-08
1961,2.6403004893538196e-08,7.851419780990909e-08
1962,2.473363069910306e-08,8.688480601648507e-08
1963,4.396916031268461e-08,9.181795590507136e-08
1964,2.7377857980681597e-08,9.795189193084752e-08
1965,3.6115486157228816e-08,9.302473458205895e-08
1966,1.8832854498107565e-08,9.084082552845985e-08
1967,2.662381159979077e-08,1.2276535699129454e-07
1968,2.6948494324940953e-08,8.89300348916322e-08
1969,3.270065551674861e-08,9.628526775884438e-08
1970,2.4373243423525537e-08,8.553628561003279e-08
1971,1.7470551227916076e-08,7.861748496651444e-08
1972,2.975485102751918e-08,8.31083823982226e-08
1973,2.6463377933438892e-08,6.119656070779911e-08
1974,1.350137179834121e-08,5.5693158085290406e-08
1975,1.7134440088995007e-08,6.739546698497634e-08
1976,1.6569227545559784e-08,5.770662081516775e-08
1977,2.5857840313392444e-08,6.6995314185192e-08
1978,1.544553729360132e-08,7.247521516262623e-08
1979,2.8674669527717356e-08,8.660920869374422e-08
1980,2.0466543182440233e-08,7.106438459913988e-08
1981,1.2651099501326257e-08,5.8195054108978184e-08
1982,1.9864006439718196e-08,5.4005271366008856e-08
1983,1.0104505676622466e-08,5.683784287668914e-08
1984,2.9574943383181562e-08,6.610869895951055e-08
1985,1.564045071233977e-08,7.098358523194293e-08
1986,9.591176963752446e-09,5.8146508941092634e-08
1987,1.5277041853778428e-08,6.783006867294716e-08
1988,1.679035038781862e-08,8.095347503456196e-08
1989,1.5915554207879268e-08,5.81740948746301e-08
1990,1.2531897519707513e-08,7.737084217751544e-08
1991,2.1687421192240208e-08,6.740685076778163e-08
1992,1.046889430700304e-08,6.39153521220237e-08
1993,1.3294098266669607e-08,6.259304363709361e-08
1994,6.85740436656701e-09,9.336620188094003e-08
1995,9.21816623034033e-09,7.04918612370875e-08
1996,1.014237493990322e-08,5.711758532811473e-08
1997,1.5343662673750202e-08,6.185413781167881e-08
