year,en_ADP arts_NOUN,en_ADP part_NOUN
1800,5.345079756580162e-08,1.1570525657589315e-06
1801,6.42919282256571e-08,1.164398327091476e-06
1802,9.398928568771225e-08,1.2710931969195371e-06
1803,7.80135707145746e-08,1.084388600247621e-06
1804,6.921182560404304e-08,9.294159326600493e-07
1805,2.558589917711629e-08,9.665784546086797e-07
1806,4.8988375134229045e-08,6.454938556998968e-07
1807,4.27043254092041e-08,6.747283691765915e-07
1808,4.5321479902327155e-09,6.911525929353957e-07
1809,1.581321384946932e-08,9.804192586670979e-07
1810,5.616304221689461e-08,1.226226459039026e-06
1811,3.7606150637969904e-08,1.0178731599808089e-06
1812,5.06769564090348e-08,1.226915742336132e-06
1813,4.3136123117903935e-08,1.1416694860599819e-06
1814,9.440030979135372e-09,8.024026669772866e-07
1815,2.6972236000233352e-08,7.71405950672488e-07
1816,8.57513455798653e-08,9.038654980031424e-07
1817,2.1796228488746294e-08,9.668183338362724e-07
1818,4.4108355412575406e-08,1.3327876331459265e-06
1819,9.212434237682032e-08,9.243487397725403e-07
1820,3.44127952800477e-08,1.217500994243892e-06
1821,7.001656854299654e-08,1.1419602969908738e-06
1822,3.308453244699194e-08,1.0617127372825053e-06
1823,6.32491954366543e-08,1.2274297205294715e-06
1824,3.1158117863583357e-08,1.2025349178657052e-06
1825,4.3146671568905504e-08,1.230120346917829e-06
1826,8.807984186454121e-08,1.1054020205847337e-06
1827,3.686909327837995e-08,1.008369622468308e-06
1828,3.3937512911030865e-08,1.0951728199870558e-06
1829,3.686465693819585e-08,1.0536433592278627e-06
1830,3.131050774207722e-08,1.193974071611592e-06
1831,3.741889442743229e-08,1.0913844334936584e-06
1832,5.276688019861808e-08,1.1202814675925765e-06
1833,4.51761508202253e-08,1.3205336699684267e-06
1834,2.4269779741459274e-08,1.2116221341784694e-06
1835,3.932805725526123e-08,1.3273219110487844e-06
1836,6.922372786100084e-08,1.1015309837603127e-06
1837,3.89641890974346e-08,1.3964487379780621e-06
1838,4.102905393210676e-08,1.30093656025565e-06
1839,2.8665047335785232e-08,1.6395009652114823e-06
1840,5.8601136720959346e-08,1.1873099765580264e-06
1841,3.2102741354123054e-08,1.2385238505885354e-06
1842,4.9641161403712886e-08,1.0994846206813236e-06
1843,4.075768533784441e-08,1.0579277613942395e-06
1844,5.1592476069117765e-08,1.186626946036995e-06
1845,1.3392547348889394e-08,1.079216076504963e-06
1846,3.981060747726417e-08,9.78872662926733e-07
1847,1.5101026207275936e-08,1.0069148856928223e-06
1848,2.735375304041554e-08,1.159316411758482e-06
1849,3.26797175986826e-08,9.058147725227172e-07
1850,3.6660578572877967e-08,9.776154001883697e-07
1851,2.3217978650791338e-08,1.0099821565745515e-06
1852,4.9480144648228475e-08,9.381695917909383e-07
1853,2.926246556178569e-08,1.13586145289446e-06
1854,4.0006617019194834e-08,1.0786199027279508e-06
1855,1.0083180512765466e-08,1.0767774938358343e-06
1856,2.0708756043319454e-08,1.0809970945047098e-06
1857,1.3668224996266076e-08,1.3004340644329204e-06
1858,4.8447393652395476e-08,1.31248395973671e-06
1859,3.5645212559387573e-08,1.165089315691148e-06
1860,3.249800525906288e-08,1.0074381862068549e-06
1861,3.301174633651982e-08,1.1318312544972287e-06
1862,5.0149648683772696e-08,1.3386793398240115e-06
1863,3.9457503930862003e-08,1.210196614920278e-06
1864,1.726102105692462e-08,1.2403961591189727e-06
1865,3.4830647810402127e-08,1.09763607269997e-06
1866,2.7733993435141713e-08,1.3025245380049455e-06
1867,1.5043715606566366e-08,1.2520254131231923e-06
1868,1.778354707937524e-08,1.3436457493298803e-06
1869,1.12320943657096e-08,1.1525105492182774e-06
1870,2.5803219116937726e-08,1.1491033546917606e-06
1871,1.1683294776076991e-08,1.375442479911726e-06
1872,1.8746751706544273e-08,1.2663128927670186e-06
1873,5.566984079274917e-08,1.1906163308594842e-06
1874,2.031367180022059e-08,1.1841675586765632e-06
1875,1.3731665304828056e-08,1.2060979770467384e-06
1876,6.16693476285235e-08,1.1209311878701556e-06
