year,en_ADP iles_NOUN,en_ADP piles_NOUN
1800,3.144164484325529e-08,1.2262241000371432e-07
1801,7.143547975374531e-09,8.096020565062645e-08
1802,8.951360541686881e-09,1.0517848636482086e-07
1803,9.751695895232615e-09,8.776526527753958e-08
1804,1.9774807569206132e-08,4.449331569844617e-08
1805,2.2743021688143017e-08,6.822906328807221e-08
1806,8.645007376628655e-09,1.2103009794373065e-07
1807,8.540865792383556e-09,1.0818429529990681e-07
1808,2.4926814390369145e-08,5.6651849433819734e-08
1809,2.25903047379461e-08,1.2424668227595248e-07
1810,1.8721014072298203e-08,9.360506680877734e-08
1811,7.521230305229665e-09,7.019814773912003e-08
1812,8.00162469616339e-09,6.934741492159446e-08
1813,8.627224934443234e-09,9.489947672136623e-08
1814,3.1466771410748606e-09,1.2586708564299443e-08
1815,0.0,2.1577788444915313e-08
1816,2.3176038865813098e-09,6.257530316133852e-08
1817,2.3353101674672416e-08,4.981994905506326e-08
1818,2.0266001987678806e-08,3.457141417584353e-08
1819,8.280840235741493e-09,5.072014630513877e-08
1820,3.5599443393152796e-09,6.882559233645225e-08
1821,3.94459531705138e-09,3.648750634965836e-08
1822,1.4035862250239006e-08,4.6117833107928163e-08
1823,6.917880712720148e-09,3.261286707356703e-08
1824,1.6000114122505238e-08,3.2842340402794434e-08
1825,2.641632912414593e-09,4.6668848341369085e-08
1826,8.807984452907647e-09,5.460950447400137e-08
1827,5.530363889061363e-09,8.940754980812926e-08
1828,2.7516904310687096e-09,5.4116576109208836e-08
1829,2.5719527840806222e-08,2.5719527840806222e-08
1830,9.39315203396518e-09,8.140732177253085e-08
1831,4.677361609140007e-09,6.236482619215167e-08
1832,8.117981509236927e-09,6.629684889958298e-08
1833,1.3900354645102198e-08,7.29768601104297e-08
1834,6.534171870242744e-09,4.387229424196448e-08
1835,1.1344631900556124e-08,4.61348363955949e-08
1836,1.0753199664037538e-08,8.333729795140243e-08
1837,6.262101726051128e-09,6.262101948095733e-08
1838,1.3255539776935166e-08,6.122797202579022e-08
1839,1.1885507911202353e-08,8.809258389419483e-08
1840,1.4013315285943406e-08,9.363442643461894e-08
1841,7.704658244733764e-09,8.860357070261671e-08
1842,4.695785538189057e-09,7.848669980603518e-08
1843,4.13483786099178e-09,6.911086103400521e-08
1844,4.9397050894128824e-09,8.123070927013032e-08
1845,5.580227946389016e-09,4.8547981634783355e-08
1846,1.1709002656346001e-08,6.849766265304424e-08
1847,6.47186837454683e-09,6.633665350364026e-08
1848,1.126331028444838e-08,3.218088551193432e-08
1849,1.0893238977516262e-08,4.357295679824347e-08
1850,8.146795238417326e-09,4.6844071732721204e-08
1851,7.739326290945314e-09,6.965393595237401e-08
