year,en_ADP oies_NOUN,en_ADP poids_NOUN
1800,9.432493897065797e-09,2.053139432689477e-06
1801,0.0,2.4692863478392724e-06
1802,6.713520406265161e-09,9.7569829904387e-07
1803,1.950339267864365e-08,1.8957297767130399e-06
1804,1.9774807569206132e-08,1.0307618367733085e-06
1805,2.842877711017877e-09,8.869778298503661e-07
1806,0.0,1.9019016042065573e-06
1807,1.9928686256776018e-08,2.408524096608744e-06
1808,2.039466551195801e-08,1.3800390203932977e-06
1809,2.4849335034105025e-08,3.6415572060022328e-06
1810,2.106114038724627e-08,2.5226565867342288e-06
1811,2.5070768572277302e-08,3.0811973736888376e-06
1812,5.3344164641089264e-09,3.363349493579193e-06
1813,1.1502966579257645e-08,3.148937139485497e-06
1814,0.0,3.7948926205899625e-06
1815,2.697223555614414e-09,1.6129396305242238e-06
1816,4.6352077731626196e-09,2.542411561279323e-06
1817,0.0,2.022378669863656e-06
1818,2.384235475716423e-09,1.8775854648822587e-06
1819,1.035105001712111e-09,1.668589288073008e-06
1820,1.3053129244156025e-08,1.8784639905788936e-06
1821,1.1833785507064931e-08,1.3973728982819011e-06
1822,3.0076847679083585e-09,1.534921779011711e-06
1823,2.668325471688604e-08,1.7403411547434189e-06
1824,0.0,2.4025435010344154e-06
1825,3.522177216552791e-09,1.9099005541534098e-06
1826,0.0,1.1247795868030153e-06
1827,1.8434546111834038e-09,2.0010699675054866e-06
1828,4.586150570418113e-09,1.884907934623925e-06
1829,5.143905745796928e-09,2.1304343000849713e-06
1830,8.349468672008697e-09,2.7354947107482985e-06
1831,3.1182412207897414e-09,2.0720712292643384e-06
1832,0.0,2.392098518488872e-06
1833,2.548398292390175e-08,1.9031901885568914e-06
1834,2.42697808516823e-08,1.3292372553763698e-06
1835,5.294161553592858e-09,1.576903812861019e-06
1836,6.720750067579218e-10,1.4886461263685646e-06
1837,0.0,1.5857033817123778e-06
1838,1.8936485712828244e-09,1.4587406020893923e-06
1839,1.2584655095793096e-08,2.0303242909136543e-06
1840,1.4650283985950807e-08,1.6522972519084078e-06
