year,ancien_ADJ or_NOUN,ancien_ADJ port_NOUN
1800,1.2576657937302116e-08,2.2323567216986362e-07
1801,0.0,1.7620751657787537e-07
1802,0.0,3.3567602031325805e-07
1803,0.0,2.086863009065354e-07
1804,0.0,1.9774808057704263e-07
1805,0.0,1.1087222828720655e-07
1806,2.881669125542885e-09,2.362968700708734e-07
1807,2.2775640928784924e-08,2.5337901243815963e-07
1808,0.0,1.744876905185322e-07
1809,0.0,1.4683698568163095e-07
1810,4.680253518074551e-09,1.1700633839595298e-07
1811,0.0,1.0279014617253779e-07
1812,2.6672082320544632e-09,8.535066342574282e-08
1813,0.0,3.6809493031420004e-07
1814,0.0,1.1642705111114537e-07
1815,0.0,1.9150287755564932e-07
1816,2.3176038865813098e-09,8.806894413737609e-08
1817,0.0,3.736496234640896e-08
1818,4.768470951432846e-09,1.0848271370100804e-07
1819,2.070210003424222e-09,5.6930773539853874e-08
1820,1.1866481131050932e-08,1.044250339532482e-07
1821,9.86148829262845e-10,1.4397773329122288e-07
1822,1.0025615893027862e-09,1.674277854135653e-07
1823,1.9765373782121287e-09,1.5416991117067624e-07
1824,2.5263338088166165e-09,1.0189546095773494e-07
1825,3.522177216552791e-09,1.0566531316591465e-07
1826,6.1655889282974385e-09,1.5237813044688409e-07
1827,4.6086365279585095e-09,1.1429418539377068e-07
1828,9.172301251858528e-10,1.1465376320574094e-07
1829,1.714635211591542e-09,2.640538188103392e-07
1830,0.0,2.1082408929729013e-07
1831,1.5591206103948707e-09,2.026856793513332e-07
1832,1.3529969367098715e-09,1.2988770947686135e-07
1833,8.108540172635514e-09,2.3978110508249273e-07
1834,1.9602515166639023e-08,1.7362228055262108e-07
1835,7.563087933704082e-10,1.9285873520402674e-07
1836,3.36037508930076e-09,1.6062592145260624e-07
1837,4.174734336004349e-09,1.788177941275393e-07
1838,3.1560809521380406e-09,1.4076121601647174e-07
1839,1.3982950353153e-09,2.0554936785988076e-07
1840,1.2739377330817092e-09,1.2102408497582928e-07
1841,6.420548537278137e-09,2.497593372119411e-07
1842,1.341653010911159e-09,1.4758182587115698e-07
1843,0.0,1.4471931530923854e-07
1844,8.232841963717874e-09,1.739873882744547e-07
1845,3.348136878855712e-09,1.2611314997856837e-07
1846,5.854501328173001e-10,1.3582442925930138e-07
1847,0.0,1.2728008336182484e-07
1848,8.045221711050488e-10,1.2148285066793107e-07
1849,5.865590679832167e-09,1.0390474702859365e-07
1850,6.788996032014438e-10,1.1269733768415335e-07
1851,1.9348316282474798e-09,1.0319102261568958e-07
1852,1.6927418133860783e-08,1.536488714037887e-07
1853,2.388772735173461e-09,1.821439166160843e-07
1854,2.5978321716024766e-09,1.8236781668123925e-07
1855,1.0613874223963649e-09,1.385110621754393e-07
1856,0.0,1.2114622793824026e-07
1857,4.881509085841174e-10,1.8256844569464192e-07
1858,4.893676019968041e-10,1.4289534439049234e-07
1859,5.092173349652285e-10,1.252674683982491e-07
1860,3.661747127736703e-09,1.4830076167093864e-07
1861,9.431927461278633e-10,2.1834911401175106e-07
1862,1.3553959066214816e-09,1.920144190314943e-07
1863,9.989241656072068e-10,1.9528967465376468e-07
1864,0.0,2.2535220867148098e-07
1865,4.706844358715045e-10,1.6191544927046664e-07
1866,1.9462452205409875e-09,2.1554665902145942e-07
1867,5.338092634588065e-09,1.8925964440086318e-07
1868,4.93987406535723e-10,1.541240719493686e-07
1869,9.767038289254515e-10,2.8666258455878335e-07
1870,2.2936195165357276e-09,2.4197685455362716e-07
1871,4.248470908407853e-09,1.040875372559924e-07
1872,1.8142017887967654e-09,8.46627475903361e-08
1873,0.0,2.538065838608716e-07
1874,1.1949218281515073e-09,1.625093645207798e-07
1875,1.7164581422868253e-09,1.8652177896649746e-07
1876,1.813804439976252e-09,2.9625473318972695e-07
1877,6.184815992682502e-09,2.9377876464842245e-07
1878,5.435179861734696e-09,2.7357071141764777e-07
1879,6.10932526790009e-10,2.2421223055957284e-07
1880,6.417846254436199e-10,2.419528035702001e-07
1881,1.3945015142624584e-09,3.1167109959540085e-07
1882,2.6621540527571597e-09,1.7370554528106652e-07
1883,1.8958017378167824e-09,1.4028932110443648e-07
