year,en_ADP otages_NOUN,en_ADP potage_NOUN
1800,1.1947824418712116e-07,3.144164395507687e-08
1801,1.0715321963061797e-07,2.3811825400343878e-08
1802,1.656001700212073e-07,7.384872446891677e-08
1803,1.2482171030114841e-07,3.705644502360883e-08
1804,5.19088700912107e-08,2.2246658204494452e-07
1805,9.097208675257207e-08,2.103729457303416e-07
1806,9.797675204481493e-08,6.627838899930794e-08
1807,6.263301344233696e-08,2.2775640928784924e-08
1808,8.837688625362716e-08,5.211970233176544e-08
1809,4.51806094758922e-08,1.1746958961111886e-07
1810,1.6380887757350138e-08,2.8081521108447305e-08
1811,8.022645658911642e-08,2.757784400841956e-08
1812,1.1468995353425271e-07,2.1337665856435706e-08
1813,2.0130190847567064e-08,2.8757416448144113e-09
1814,2.234140765722259e-07,2.2026739543434815e-08
1815,8.90083740046066e-08,6.47333635583891e-08
1816,5.5622493277951435e-08,3.9399267848239106e-08
1817,7.7843672841027e-08,3.7364962679475866e-08
1818,5.48374146092101e-08,3.337929754820834e-08
1819,1.3145833577254962e-07,6.624672010957511e-08
1820,1.495176604748849e-07,3.441279616822612e-08
1821,1.0551792684054817e-07,1.1833785507064931e-08
1822,1.0326384369818697e-07,1.303330066093622e-08
1823,9.882686669016039e-08,1.581229902569703e-08
1824,1.5242214601585147e-07,2.7789671008804362e-08
1825,2.764909083907696e-07,3.3460683113162304e-08
1826,1.418085417981274e-07,3.170874407487645e-08
1827,7.558163872545265e-08,3.6869092667757286e-08
1828,1.6968756710866728e-07,2.935136400594729e-08
1829,6.344150449422159e-08,1.1145129263923081e-08
1830,6.157733167810875e-08,8.349468672008697e-09
1831,6.080570358335535e-08,1.091384405071949e-08
1832,7.441482807735156e-08,2.0294953273491956e-08
1833,1.459537202208594e-07,3.70676112027013e-08
1834,7.000897994657862e-08,1.4001796166951408e-08
1835,1.4899282518854307e-07,2.4958190181223472e-08
1836,2.0699910407984135e-07,2.2178475944656384e-08
1837,1.551609614125482e-07,2.0873672568200163e-08
1838,1.9062728995322686e-07,4.1660268124132926e-08
1839,1.6919369727474987e-07,3.4957377437194737e-08
1840,2.6625298232829664e-07,2.6115722917552375e-08
1841,8.66774030328088e-08,2.1829865914924085e-08
1842,1.5630257621523924e-07,2.0795621225033756e-08
1843,8.505951853976512e-08,1.594865928211675e-08
1844,1.7728052625898272e-07,1.756339607084101e-08
1845,1.244390830379416e-07,1.1160455670733427e-08
1846,1.0245377524142896e-07,3.922516000898213e-08
1847,1.1595430748911895e-07,1.7258315665458213e-08
1848,1.0056527344204369e-07,4.34441957963827e-08
1849,4.776266493422554e-08,1.8434713311421547e-08
1850,7.060555873295016e-08,3.937617609750532e-08
1851,1.238292242078387e-07,3.8696633453128015e-08
1852,7.682443481371592e-08,1.4974254725075298e-08
1853,6.808001984381917e-08,2.269334054005867e-08
1854,1.278133510140833e-07,2.338049043260071e-08
1855,2.0590915994489478e-07,3.767925349507095e-08
1856,1.346069211649592e-07,2.3815070804289462e-08
1857,1.2984814645733422e-07,1.4156376515472857e-08
1858,1.2625683609712723e-07,1.2234189661342043e-08
