year,mon_DET pâté_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,1.4831105232815389e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,1.581321384946932e-08
1810,4.680253518074551e-09
1811,5.0141535368197765e-09
1812,1.3336041604361526e-08
1813,1.7254450312975678e-08
1814,0.0
1815,0.0
1816,0.0
1817,9.341240669868967e-09
1818,1.3113295338484932e-08
1819,0.0
1820,3.5599443393152796e-09
1821,2.7612166775270452e-08
1822,0.0
1823,3.9530747564242574e-09
1824,2.105278085196005e-08
1825,3.522177216552791e-09
1826,8.807984341885344e-10
1827,8.295545583791863e-09
1828,7.337841001486822e-09
1829,3.429270423183084e-09
1830,6.262101504006523e-09
1831,1.870944643656003e-08
1832,5.411987746839486e-09
1833,0.0
1834,1.213489042584115e-08
1835,3.781543966852041e-09
1836,1.3441500135158435e-09
1837,7.653680356156656e-09
1838,6.312161904276081e-09
1839,7.690622361167243e-09
1840,3.1848443882154243e-09
1841,6.420548537278137e-10
1842,3.3541325272778977e-09
1843,1.1813822142769936e-09
1844,5.488561161115513e-09
1845,1.1160455892778032e-09
1846,2.9272506640865004e-09
1847,0.0
1848,2.413566457803995e-09
1849,4.1897072478036534e-09
1850,1.3577992064028876e-09
1851,6.449438760824933e-10
1852,6.510545436100301e-10
1853,7.763511389313749e-09
1854,1.0391328908454511e-09
1855,2.1227748447927297e-09
1856,5.177189232874468e-10
1857,9.763018171682347e-10
1858,4.893676019968041e-10
1859,1.018434669930457e-09
1860,1.373155145145688e-09
1861,4.715963619617014e-09
1862,1.8071945051545413e-09
1863,1.9978483867255648e-09
1864,3.3563094525845827e-09
1865,4.23615986733239e-09
1866,7.784980660119345e-09
1867,3.396968040192405e-09
1868,2.9639244392143382e-09
1869,4.395167341186834e-09
1870,5.734048791339319e-09
1871,1.6993883633631413e-08
1872,6.047339518033823e-09
1873,2.9930022904522957e-09
1874,3.584765484454522e-09
1875,5.721527140956084e-10
1876,3.627608879952504e-09
1877,2.4739263970730008e-09
1878,1.0266450800600069e-08
1879,4.887460103297769e-09
1880,7.059631101924424e-09
1881,1.3945014920579979e-08
1882,1.0648616211028639e-08
1883,6.319338941018771e-10
1884,6.601696966868076e-10
1885,5.156508553483263e-09
1886,0.0
1887,2.6115698492645834e-09
1888,4.4384300679212174e-09
1889,5.01210956072029e-09
1890,2.6217545912032847e-09
1891,4.46195413950079e-09
1892,3.1342561879199593e-09
1893,3.695050043717174e-09
1894,8.822155450616265e-09
1895,3.611168697403855e-09
1896,4.1279202278587945e-09
1897,3.4960281336537946e-09
1898,2.8291773368493978e-09
1899,2.7637891975018647e-09
1900,5.19105292084987e-09
1901,3.353243460679778e-09
1902,4.419255628107521e-09
1903,1.6200660812870638e-09
1904,2.1498500757388683e-09
1905,0.0
1906,2.572092316910357e-09
1907,5.142843373384665e-10
1908,1.964555629285769e-09
1909,6.60118004702781e-09
