year,en_ADP alliés_NOUN,en_ADP palier_NOUN
1800,1.5720821977538435e-08,0.0
1801,6.191074675143682e-08,0.0
1802,4.699464284385613e-08,0.0
1803,2.145373123596528e-08,0.0
1804,3.213406074564773e-08,0.0
1805,5.685755510853596e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,4.758755522971114e-08,0.0
1809,4.0662548883574345e-08,0.0
1810,3.2761775514700275e-08,0.0
1811,1.0028307428910921e-07,0.0
1812,2.1337665856435706e-08,0.0
1813,3.163315653864629e-08,0.0
1814,1.6992056828257773e-07,0.0
1815,5.3944472000466703e-08,0.0
1816,3.244645441213834e-08,0.0
1817,9.341240314597599e-08,0.0
1818,5.6029534789558966e-08,0.0
1819,3.3123360054787554e-08,0.0
1820,7.594547923872597e-08,0.0
1821,3.550135829755163e-08,0.0
1822,3.308453244699194e-08,0.0
1823,5.237824041159911e-08,0.0
1824,5.810567671460376e-08,0.0
1825,5.6354835464844655e-08,0.0
1826,4.1397527184017235e-08,0.0
1827,6.267745789045875e-08,0.0
1828,5.595103758082587e-08,0.0
1829,6.086955295359076e-08,0.0
1830,4.174734158368665e-08,0.0
1831,3.1182413096075834e-08,0.0
1832,3.3824925083081325e-08,0.0
1833,7.41352224054026e-08,1.1583628500844156e-09
1834,6.627517024071494e-08,0.0
1835,5.899208588289184e-08,0.0
1836,2.755507466645213e-08,0.0
1837,7.792837664055696e-08,0.0
1838,5.112851297894849e-08,0.0
1839,6.152497888933794e-08,0.0
1840,8.853866972913238e-08,0.0
1841,4.3017674755674307e-08,0.0
1842,7.177843741601464e-08,6.708265054555795e-10
1843,4.3120451209688326e-08,0.0
1844,3.512679214168202e-08,1.097712254427563e-09
1845,2.4553003186156275e-08,2.2320911785556063e-09
1846,2.6930706553685013e-08,0.0
1847,4.314578916364553e-08,2.1572894581822766e-09
1848,1.689496542667257e-08,7.24069959545659e-09
1849,8.379414850878675e-08,0.0
1850,3.326607966869233e-08,0.0
1851,3.224719336003545e-08,6.449438760824933e-10
1852,6.119912399071836e-08,3.906327261660181e-09
1853,4.598387448595531e-08,0.0
1854,5.975014261139222e-08,0.0
1855,5.73149208094037e-08,5.306937111981824e-10
1856,7.351608388717068e-08,0.0
1857,4.490988203542656e-08,0.0
1858,7.242640265303635e-08,7.829881631948865e-09
1859,6.416138376152958e-08,7.129042689513199e-09
1860,4.897586691754441e-08,8.696649622663699e-09
1861,4.527325359049428e-08,9.431927239234028e-09
1862,5.511943257374696e-08,4.066187830886747e-09
1863,3.7459656709870615e-08,1.4983863039219614e-09
1864,4.2193605054308136e-08,1.2466292886870178e-08
1865,4.471502279557171e-08,1.8827376990770972e-08
1866,5.20620595523269e-08,2.432806400776144e-09
1867,4.4160586298858107e-08,1.4073153309368536e-08
1868,5.285665238830006e-08,4.00129813726835e-08
1869,4.688178378842167e-08,3.4184632902167778e-09
1870,3.899153000475053e-08,2.5803219561026935e-08
1871,2.973929724703339e-08,1.4869648401472091e-08
1872,3.930770375859538e-08,1.3908880158730597e-08
1873,5.806424496768159e-08,2.6937019892425695e-08
1874,5.138164027584935e-08,1.4339061493728877e-08
1875,3.318485752856759e-08,1.2587359599081083e-08
1876,3.023007266733657e-08,3.264847947548333e-08
1877,3.030559980743419e-08,1.9172929910382663e-08
1878,2.6571990829893366e-08,1.872117572077059e-08
1879,6.964630472339195e-08,3.665595116331133e-08
1880,3.144744553651435e-08,4.6850275881027414e-08
1881,2.649552932609822e-08,7.181682804002776e-08
1882,3.660461800336634e-08,5.856738738430067e-08
1883,5.181857787306399e-08,6.256145468341856e-08
1884,3.895001299270007e-08,7.129832546581838e-08
1885,4.963139588198828e-08,5.5432465728699754e-08
1886,3.484870347847391e-08,4.5174246565693466e-08
1887,3.7867764035581786e-08,3.7867764035581786e-08
1888,4.12139939953704e-08,4.248211893376208e-08
1889,4.9494580878217675e-08,3.696430539434914e-08
1890,3.342736931699619e-08,1.2387790199186455e-07
1891,4.6531805963923034e-08,7.457837369884146e-08
1892,4.387958796314706e-08,4.952124754709075e-08
1893,4.495644034818724e-08,5.9120800699474785e-08
1894,2.898708117982096e-08,1.1153724788215413e-07
1895,6.259359253135699e-08,8.426060560395854e-08
