year,son_DET allié_NOUN,son_DET palier_NOUN
1800,1.4117298405835754e-06,6.288328968651058e-09
1801,1.7763621826816234e-06,2.3811825844433088e-09
1802,1.1636768419975851e-06,0.0
1803,1.3145286921201205e-06,3.900678446910888e-09
1804,6.871745767966786e-07,0.0
1805,1.4697677916952756e-06,1.421438877713399e-08
1806,1.5388113610015353e-06,0.0
1807,1.4149367473237362e-06,1.1387820464392462e-08
1808,1.765271644860178e-06,3.3991110370834576e-08
1809,1.3102376945628436e-06,2.259030518203531e-09
1810,8.40105485622189e-07,0.0
1811,1.5243027107203488e-06,1.7549536934780008e-08
1812,1.048212883603128e-06,5.3344164641089264e-09
1813,1.2221902538911422e-06,5.751483289628823e-09
1814,1.9257664369831673e-06,9.440030979135372e-09
1815,1.8044426108865252e-06,1.3486118000116676e-08
1816,8.853247095430561e-07,4.6352077731626196e-09
1817,2.1375872645279514e-06,2.1796227045456362e-08
1818,2.3353586389163183e-06,7.152706427149269e-09
1819,2.1944226862302685e-06,0.0
1820,2.090874038351842e-06,2.3732962262101864e-09
1821,1.5926303342794768e-06,8.875339574387908e-09
1822,1.3905529527846738e-06,1.0025615893027862e-09
1823,1.4527549208054324e-06,3.9530747564242574e-09
1824,1.3355884727062062e-06,0.0
1825,1.7919076622519015e-06,6.163809906922779e-09
1826,2.382559845415244e-06,2.642395191543301e-09
1827,1.655422282809127e-06,0.0
1828,1.659269273091013e-06,4.586150570418113e-09
1829,1.5603180827383767e-06,6.858540846366168e-09
1830,1.5999669802368999e-06,2.1917355041978226e-08
1831,1.6729363778722472e-06,1.2472964883158966e-08
1832,1.2176972474797765e-06,1.0823975493678972e-08
1833,1.217439308476287e-06,9.266902800675325e-09
1834,1.150947623429488e-06,1.8669061851994684e-09
1835,1.4755584629710938e-06,4.5378527602224494e-09
1836,1.4758767097333703e-06,6.720750067579218e-10
1837,1.3087792760657635e-06,2.0177884252348122e-08
1838,1.977600348368469e-06,3.787297142565649e-09
1839,1.6723608720070615e-06,1.3283802502428443e-08
1840,1.4968768011769384e-06,4.458782232319436e-09
1841,1.2391658810173567e-06,4.494383976094696e-09
1842,1.3658027562257757e-06,3.3541325272778977e-09
1843,1.2363165096118678e-06,8.860366662588604e-09
1844,1.749753365309914e-06,1.3172547497219966e-08
1845,1.3331164749885716e-06,1.1160455670733427e-08
1846,1.210710886212496e-06,7.025401593807601e-09
1847,1.4669568386693754e-06,4.314578916364553e-09
1848,1.4151545033036506e-06,4.02261068899179e-09
1849,1.0750788799196442e-06,3.3517659758786067e-09
1850,1.0251383892878607e-06,1.0183494048021657e-08
1851,1.0654473285853783e-06,1.0319102017319892e-08
1852,9.726754435224194e-07,2.6042181744401205e-09
1853,1.0026873233925926e-06,1.6124216628554677e-08
1854,1.1212243968827806e-06,5.195664343204953e-09
1855,1.328857084814672e-06,7.960405667972736e-09
1856,1.1374284903942211e-06,3.1063134287023786e-09
1857,1.0924817743784843e-06,1.6597130780837688e-08
1858,1.253759789321407e-06,2.5936483183386372e-08
1859,1.398310843114814e-06,5.601390462572908e-09
1860,1.342030343742806e-06,7.323494033428801e-09
1861,1.0040287010681936e-06,2.263662679524714e-08
1862,1.0992260417452826e-06,3.072230825296174e-08
1863,1.0898262399194891e-06,1.548332484446746e-08
1864,1.0035365356486636e-06,1.3904711160250827e-08
1865,1.19647980056925e-06,2.871175119878444e-08
1866,1.0232384148878282e-06,1.6056523222118813e-08
1867,8.400216522375104e-07,1.7955402498159856e-08
