year,un_DET an_NOUN,un_DET pan_NOUN
1800,2.065401696427216e-05,6.288328737724669e-07
1801,1.8870872679599415e-05,3.690832923730625e-07
1802,2.064631223674951e-05,6.355465700380591e-07
1803,1.965746980658878e-05,4.66131061527264e-07
1804,2.160644874038553e-05,7.687456413663085e-07
1805,1.9544784152003558e-05,7.306195963785456e-07
1806,2.088921922904774e-05,1.0950342854698647e-06
1807,2.2809804022472235e-05,3.387876663651923e-07
1808,2.2792173126617854e-05,4.804076909614707e-07
1809,2.104286875237449e-05,6.460827375320832e-07
1810,2.2191421578554582e-05,5.265285225597438e-07
1811,2.3202996260351938e-05,7.822079459707254e-07
1812,1.9139885921504174e-05,4.640942368183687e-07
1813,2.1648583356181916e-05,4.658701442394886e-07
1814,1.9182143887519487e-05,5.160550609062398e-07
1815,1.9614209008977923e-05,3.047862744409713e-07
1816,1.8413362852243154e-05,3.777694193018988e-07
1817,1.8037934694348223e-05,3.0826093078140104e-07
1818,2.2023183362307464e-05,5.316844911007479e-07
1819,2.257356914014963e-05,4.813238183576374e-07
1820,2.1815338527630956e-05,4.627927534528453e-07
1821,2.1181491547395126e-05,4.832129336662661e-07
1822,1.979156860443254e-05,4.4413478406113427e-07
1823,2.0159692155630182e-05,3.281051974557414e-07
1824,1.9963090494456992e-05,4.3116096914985746e-07
1825,2.186831864037231e-05,6.683331017498517e-07
1826,2.178390661811136e-05,6.051085432723369e-07
1827,2.2704908076320862e-05,5.180107320867933e-07
1828,2.097338466455767e-05,4.870491823183443e-07
1829,2.0859394453509594e-05,3.986526877497454e-07
1830,2.163869237392646e-05,5.416717614448174e-07
1831,2.1741936109265225e-05,4.926821022266381e-07
1832,2.361114900395478e-05,7.630902771893489e-07
1833,2.2751404912924045e-05,6.973344133243131e-07
1834,2.3242048655447434e-05,8.167714806717186e-07
1835,2.2531194360908557e-05,8.447969506164554e-07
1836,2.33613275213429e-05,7.29201377502875e-07
1837,2.430878402037706e-05,8.933932109655984e-07
1838,2.4272787300105847e-05,7.953323883924668e-07
1839,2.1895203417443554e-05,7.487869728706187e-07
1840,2.3132797764446877e-05,7.828347108329581e-07
1841,2.3125531356527063e-05,9.99037352400478e-07
1842,2.389282769854617e-05,7.345550141479862e-07
1843,2.350182637655962e-05,6.869737663173225e-07
1844,2.482750744547957e-05,7.513840305506392e-07
1845,2.3381713617709465e-05,8.342440733777323e-07
