year,en_PRON aient_VERB,en_PRON paient_VERB
1800,1.6632629922241904e-06,1.2576657937302116e-08
1801,1.7335008806185215e-06,4.524246932646747e-08
1802,1.9939154753956245e-06,9.398928568771225e-08
1803,1.796262381503766e-06,2.5354410126965377e-08
1804,1.7920918935487862e-06,4.943701981119375e-08
1805,1.5635827139703906e-06,1.9900143755080535e-08
1806,1.930718326548231e-06,1.4408345627714425e-08
1807,1.7053260989996488e-06,5.693910054560547e-08
1808,1.93975938600488e-06,6.571614363792833e-08
1809,2.044422672042856e-06,2.0331274441787173e-08
1810,1.7129727893916424e-06,3.510190182964834e-08
1811,1.3463002233038424e-06,9.025476543911282e-08
1812,1.8830489807442063e-06,3.467370746079723e-08
1813,1.5327702840295387e-06,1.7254450312975678e-08
1814,1.3813912573823472e-06,3.1466772298927026e-08
1815,1.4888673831592314e-06,9.170560133497929e-08
1816,1.5736530940557714e-06,5.3304887615013286e-08
1817,1.7499256728115142e-06,3.580808893843823e-08
1818,1.8310928453502129e-06,4.2916237674717195e-08
1819,1.5723245496701566e-06,1.0247539705687814e-07
1820,1.6435076304333052e-06,3.9159388620646496e-08
1821,1.9298931874800473e-06,6.114122896860863e-08
1822,1.880805484688608e-06,7.017931125119503e-08
1823,1.4557198255715775e-06,8.20263039713609e-08
1824,1.3970626469017589e-06,9.010590673597108e-08
1825,1.5074919019752997e-06,3.6982861217893515e-08
1826,1.8523190874475404e-06,7.04638765114396e-08
1827,1.73284729498846e-06,1.2627664602860023e-07
1828,1.638172989260056e-06,5.503380862137419e-08
1829,1.7609303313292912e-06,8.230249193275085e-08
1830,1.7857425973488716e-06,1.3880992355552735e-07
1831,1.4172405826684553e-06,6.704218691311326e-08
1832,1.4558247585227946e-06,8.117981309396782e-08
1833,1.5788485825396492e-06,7.18184978154568e-08
1834,1.4757893040950876e-06,7.374279675786966e-08
1835,1.5905173995633959e-06,6.504255622985511e-08
1836,1.752099592522427e-06,4.301280043250699e-08
1837,1.6288422557408921e-06,8.279890550966229e-08
1838,1.5496357264055405e-06,3.7241754569095065e-08
1839,1.5395228274428518e-06,3.8453112694014635e-08
1840,1.5803198039066046e-06,4.2039946634986336e-08
1841,1.726485493236396e-06,5.457466301095337e-08
1842,1.4590476666853647e-06,3.085801836277824e-08
1843,1.6273539813482785e-06,3.721353891705803e-08
1844,1.4336121694213944e-06,3.0187088384536764e-08
1845,1.4374667216543457e-06,2.9017185099178278e-08
1846,1.4876287650622544e-06,3.922516000898213e-08
1847,1.3887550949220895e-06,4.6921044827286096e-08
1848,1.4167635526973754e-06,2.252662056889676e-08
1849,1.3256234296932234e-06,9.217356655710773e-09
1850,1.325211997027509e-06,2.9192683825840504e-08
1851,1.355027052341029e-06,2.96674187438839e-08
1852,1.4453411267822958e-06,4.7526981461487594e-08
1853,1.3108390248817159e-06,4.777545470346922e-08
1854,1.3222966117609758e-06,5.247621004400571e-08
1855,1.3219580523582408e-06,1.5920811335945473e-08
1856,1.3838626955475775e-06,3.054541508618058e-08
1857,1.1617992186074844e-06,1.2691923956253959e-08
1858,1.1426733408370637e-06,2.397901255335455e-08
