year,en_ADP art_NOUN,en_ADP parts_NOUN
1800,3.5529058095562505e-07,6.288328968651058e-09
1801,2.3335590038087162e-07,2.8574191901498125e-08
1802,2.528759353026544e-07,0.0
1803,2.96451567294298e-07,7.801356893821776e-09
1804,3.5347467886026607e-07,2.4718509461507665e-09
1805,4.3780317948716174e-07,2.842877755426798e-08
1806,1.2679343619481642e-07,2.0171682990621775e-08
1807,4.0711458382247656e-07,2.562259560079383e-08
1808,1.994145080175258e-07,2.2660739951163578e-09
1809,3.478907117937524e-07,2.25903047379461e-08
1810,3.1591712490453006e-07,2.3401267590372754e-09
1811,3.133846036007526e-07,5.0141535368197765e-09
1812,2.347143261971496e-07,5.3344164641089264e-09
1813,3.163315744902917e-07,2.8757416004054903e-08
1814,2.1082736223476672e-07,4.090680150170556e-08
1815,3.425474046636623e-07,2.697223555614414e-09
1816,1.9931394135142e-07,9.270415546325239e-09
1817,1.7125607354451233e-07,2.6466848268569265e-08
1818,2.0027577329884139e-07,4.768470951432846e-09
1819,2.856889746993829e-07,6.210630232317271e-09
1820,2.9191542783024715e-07,1.4239777357261119e-08
1821,3.4416593208685953e-07,1.0847637454958203e-08
1822,3.448811725093037e-07,1.1028177482330648e-08
1823,2.5793813007712885e-07,9.882686891060644e-10
1824,2.080014889216386e-07,1.6842225392110777e-09
1825,2.3246369362794894e-07,8.805443041381977e-10
1826,1.98179641364149e-07,1.7615968683770689e-09
1827,2.1199727545662128e-07,1.2904182611350734e-08
1828,1.6601865127086057e-07,1.4675682002973645e-08
1829,1.3974277424111392e-07,2.8291481157793896e-08
1830,1.6281463843803579e-07,3.1310507520032616e-09
1831,2.2451337100548585e-07,7.795603274018958e-09
1832,2.0565553371376666e-07,2.841293600397421e-08
1833,2.3283092964732077e-07,5.444305273272221e-08
1834,2.1936147609480372e-07,1.7735608537350345e-08
1835,2.102538445569735e-07,1.0588323107185715e-08
1836,2.5337227693711384e-07,9.409050427677812e-09
1837,2.5048406193661776e-07,3.270208637218275e-08
1838,1.956770185884693e-07,2.5879863585487328e-08
1839,1.8527408773838516e-07,2.7266752411492234e-08
1840,2.465069468549075e-07,2.1019973317493168e-08
1841,2.3499206980304166e-07,2.8892468861840825e-08
1842,1.6837745286935046e-07,1.8783142152756227e-08
1843,2.72308605886451e-07,1.6539351221922516e-08
1844,1.816713766089606e-07,3.2931367854871496e-08
