year,mon_DET achat_NOUN,mon_DET pacha_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,1.4831105232815389e-08,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.3554183553310395e-08,0.0
1810,0.0,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,9.536941902865692e-09,0.0
1819,2.070210003424222e-09,9.315945348475907e-09
1820,5.933240565525466e-09,0.0
1821,8.875339574387908e-09,0.0
1822,2.0051231786055723e-09,0.0
1823,2.4706716672540097e-08,3.9530747564242574e-09
1824,3.3684450784221553e-09,0.0
1825,8.805443041381977e-10,3.522177216552791e-09
1826,3.5231937367541377e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,1.559291185060374e-08,9.172301251858528e-10
1829,3.429270423183084e-09,0.0
1830,4.174734336004349e-09,4.174734336004349e-09
1831,9.354723218280014e-09,4.677361609140007e-09
1832,1.3529969367098715e-09,2.705993873419743e-09
1833,1.0425265983826648e-08,0.0
1834,1.0267983796552471e-08,3.733812370398937e-09
1835,1.285724948729694e-08,0.0
1836,8.064899859050456e-09,6.720750067579218e-10
1837,4.87052354003481e-09,2.7831563720326358e-09
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,0.0,0.0
1840,4.458782232319436e-09,1.9109065441114126e-09
1841,7.704658244733764e-09,6.420548537278137e-10
1842,2.683306021822318e-09,0.0
1843,5.316219964246471e-09,0.0
1844,1.920996434146005e-08,0.0
1845,1.4508592383055685e-08,0.0
1846,4.6836010625384006e-09,6.439951683034906e-09
1847,2.2651539310913904e-08,0.0
1848,4.82713291560799e-09,0.0
1849,4.1897072478036534e-09,8.379414939696517e-10
1850,4.073397619208663e-09,6.788996032014438e-10
1851,2.579775504329973e-08,1.9348316282474798e-09
1852,1.0416872919805087e-08,0.0
1853,2.030456869306363e-08,5.971931837933653e-10
1854,1.454786069388092e-08,1.558699391779328e-09
1855,4.2455496895854594e-09,6.8990182455763716e-09
1856,1.2425253714809514e-08,5.177189232874468e-10
1857,1.513267733344037e-08,9.763018171682347e-10
1858,5.872411001917044e-09,7.829881520926563e-09
