year,mon_DET été_NOUN
1800,1.8864987794131594e-08
1801,7.143547975374531e-09
1802,2.9091921760482364e-08
1803,1.3652374342143503e-08
1804,2.9662210465630778e-08
1805,1.7057265822018053e-08
1806,2.0171682990621775e-08
1807,3.701041606518629e-08
1808,2.039466551195801e-08
1809,3.6144488291256494e-08
1810,7.488405628919281e-08
1811,1.2535384286138651e-08
1812,0.0
1813,2.300593315851529e-08
1814,1.2586708564299443e-08
1815,0.0
1816,1.1588019432906549e-08
1817,1.0898114077839693e-08
1818,2.384235386898581e-08
1819,3.001804671498576e-08
1820,2.0173018810965004e-08
1821,3.155676253641104e-08
1822,1.2030739071633434e-08
1823,2.668325516097525e-08
1824,3.03160057057994e-08
1825,4.754939197937347e-08
1826,3.523193736754138e-08
1827,2.2121456111356963e-08
1828,1.834460228167245e-08
1829,3.0006116702452346e-08
1830,3.1310506187764986e-08
1831,3.585977381703742e-08
1832,1.8941957335982806e-08
1833,2.0850531967653296e-08
1834,1.0267983796552471e-08
1835,1.739510224751939e-08
1836,1.5457725766054864e-08
1837,3.0614719648269784e-08
1838,2.840472834719776e-08
1839,6.292327769941153e-09
1840,1.4013314952876499e-08
1841,2.3756030032018316e-08
1842,1.475818312002275e-08
1843,1.0632439928492943e-08
1844,8.78169825746511e-09
1845,6.138250796539069e-09
1846,1.1123552079439492e-08
1847,3.775256551818984e-09
1848,1.206783295515379e-08
1849,1.0893239421605472e-08
1850,1.1541293254424545e-08
1851,9.674158585326609e-09
1852,6.510545436100301e-09
1853,2.149895461656115e-08
1854,1.4028293915391288e-08
1855,1.4859423913549108e-08
1856,2.6403665032148638e-08
1857,4.637433642651345e-08
1858,1.9085335867252695e-08
1859,2.5970084749360467e-08
1860,2.7920821377147576e-08
1861,1.5091083938045813e-08
1862,2.936691112509493e-08
1863,2.1476869171976887e-08
1864,1.102787416940032e-08
1865,2.2592853810010638e-08
1866,3.357272970738734e-08
1867,1.844068364675877e-08
1868,1.778354707937524e-08
1869,2.1975836927978776e-08
1870,1.204150201772336e-08
1871,1.5931766128574054e-08
1872,9.675742873582749e-09
1873,3.35216241431624e-08
1874,1.1949218503559678e-08
1875,2.9751941355016243e-08
1876,1.0278225381910033e-08
1877,2.1646856751544874e-08
1878,3.01954443671093e-08
1879,2.1382637882538802e-08
1880,1.5402830788602273e-08
1881,2.091752193678076e-08
1882,1.5307386025398273e-08
1883,1.7694148368718743e-08
1884,1.7164413002035417e-08
1885,1.933690763067375e-08
1886,1.2906927970846027e-08
1887,1.4363633837888301e-08
1888,2.409433519368065e-08
1889,9.397705447167226e-09
1890,1.3764211548306093e-08
1891,1.466070642663908e-08
1892,1.7551833764173352e-08
1893,1.5396041108672875e-08
1894,8.822155450616265e-09
1895,1.444467478961542e-08
1896,2.3588116571104933e-08
1897,2.1558839713442524e-08
1898,1.0185038701315818e-08
1899,1.6582735185011188e-08
1900,1.6611370612373833e-08
1901,1.7325091139497317e-08
1902,1.3257766440233354e-08
1903,3.2401319849384436e-08
1904,2.1498500757388683e-08
1905,1.8062656259587584e-08
1906,2.0062320471581074e-08
1907,3.9085609415678846e-08
1908,3.0450612031884816e-08
1909,3.740668819141035e-08
1910,4.168437595097885e-08
1911,3.511447088655473e-08
1912,1.875391641981139e-08
1913,1.7499865334613673e-08
1914,2.0759905794420774e-08
1915,4.7123048574349014e-08
1916,4.394984820521586e-09
1917,1.864292187292449e-08
1918,1.9526840588923733e-08
1919,1.9336480860943084e-08
1920,1.3630017114962811e-08
1921,4.316465940235048e-08
1922,2.360939421741648e-08
1923,4.0340601970001444e-08
1924,4.640984752057875e-08
1925,3.95934391939079e-08
1926,4.124071306677024e-08
1927,2.341337179689873e-08
1928,4.341895509796245e-08
1929,2.8965056131369238e-08
1930,4.516549445554574e-08
1931,2.8513391647777553e-08
1932,2.4110980323399644e-08
1933,1.1470662641954732e-08
1934,2.995395220750652e-08
1935,4.308582290946106e-08
1936,2.3036958118893835e-08
1937,2.6441348555117372e-08
1938,3.630260181353151e-08
1939,3.211750509990452e-08
1940,1.7750480196809804e-08
1941,5.017554371988808e-08
1942,6.068423541449874e-09
1943,3.774205836748479e-08
1944,3.213186161588055e-08
1945,2.178504132643866e-08
1946,2.7842209426864883e-08
1947,2.145756705651536e-08
1948,2.5005341797168512e-08
1949,3.0432726338958105e-08
1950,2.8715476663165873e-08
1951,2.4521223718210194e-08
1952,3.4797852932477724e-08
1953,2.9089333608567358e-08
1954,2.5408594117592997e-08
1955,2.815682442758316e-08
1956,2.529131082340541e-08
1957,2.2087594420128198e-08
1958,2.068060889204304e-08
1959,3.4878365640089726e-08
1960,3.2527915583280276e-08
1961,2.36237411854745e-08
1962,3.4880759613997725e-08
1963,3.556329142284653e-08
1964,2.6161064203833462e-08
1965,3.611548504700579e-08
1966,2.880318838993645e-08
1967,3.5005382481578806e-08
1968,3.458390238075815e-08
1969,2.134626153615926e-08
1970,2.8052222544872052e-08
1971,3.08303840235169e-08
1972,2.8215808356435446e-08
1973,2.59120573886662e-08
1974,2.0814615142583648e-08
1975,2.9128548906243168e-08
1976,2.7996280793640693e-08
1977,2.0568736769366325e-08
1978,3.326731090602664e-08
1979,2.106710339511153e-08
1980,2.6151692589237996e-08
1981,2.78324177038769e-08
1982,2.3588509479033348e-08
1983,2.084054351314535e-08
1984,2.261613252230177e-08
1985,2.2257564680217e-08
1986,2.3977941521202695e-08
1987,2.810975718858799e-08
1988,2.9383114386050124e-08
1989,1.81108031904742e-08
1990,1.798054749535538e-08
1991,2.8721179212709558e-08
1992,1.4325855279828659e-08
1993,3.212740407043668e-08
1994,2.9012097169101025e-08
1995,2.7112254663563817e-08
1996,2.8291888609643934e-08
1997,2.2056513726553817e-08
1998,2.0502955555556923e-08
1999,2.3765046486268204e-08
2000,2.474097637872319e-08
2001,3.154472549837806e-08
2002,2.3220473988061485e-08
2003,3.083523036906399e-08
2004,3.7000247310459145e-08
2005,2.7472872421441252e-08
2006,2.8001651830589225e-08
2007,3.954534633088258e-08
2008,3.363377520937405e-08
2009,3.194688980023841e-08
2010,4.0624619446205656e-08
2011,4.932923935996314e-08
2012,4.527656072284003e-08
2013,5.4387939041333766e-08
2014,6.561298881990751e-08
2015,4.787802998507118e-08
2016,5.46833773817923e-08
2017,5.131847169437265e-08
2018,6.892516246637115e-08
2019,6.93868704715328e-08
