year,en_ADP hommes_NOUN,en_ADP pommes_NOUN
1800,2.0688603399321437e-06,5.565171052879236e-07
1801,1.9573321878851857e-06,8.596068969968229e-07
1802,1.403125793331128e-06,2.551137754380761e-07
1803,1.410095251230814e-06,3.822664780273044e-07
1804,1.5968157640600111e-06,3.8808059477091206e-07
1805,2.1833300252183108e-06,3.553597025529598e-07
1806,1.829859911595122e-06,4.005520111149963e-07
1807,1.7110199905800982e-06,2.619198733455619e-07
1808,1.7108858401115867e-06,4.3055404974623457e-07
1809,1.8817723912434303e-06,3.9533033402427975e-07
1810,1.247287514161144e-06,4.048419306457163e-07
1811,1.2359888614810188e-06,2.757784307583222e-07
1812,1.2082452940376243e-06,2.2937990840077305e-07
1813,1.3659772548635374e-06,3.2495881896466017e-07
1814,2.6180352961091558e-06,1.667738835919863e-07
1815,1.9959454675699817e-06,3.4794183867425943e-07
1816,1.6988036577458843e-06,1.599146646213967e-07
1817,2.6638103918230627e-06,3.409552850053288e-07
1818,2.2697922759107314e-06,2.2173389635504748e-07
1819,2.1468076738528907e-06,1.2214239086816292e-07
1820,2.417202267679386e-06,1.7918386774340433e-07
1821,1.8312783822693746e-06,1.370746929296729e-07
1822,1.8798029941535788e-06,1.6542266223495972e-07
1823,1.8984641201313934e-06,2.371844832760317e-07
1824,2.365490445299656e-06,2.3158059292427424e-07
1825,2.4267801563837565e-06,1.4528981173711486e-07
1826,2.0381676222314127e-06,1.559013185215008e-07
1827,1.910740593302762e-06,1.935627346183466e-07
1828,1.8069433735945495e-06,2.678311923354215e-07
1829,2.3842003429308534e-06,2.520513801562707e-07
1830,2.355593778702314e-06,2.1395513738475813e-07
1831,1.8600309203975485e-06,2.572548973844846e-07
1832,2.15126510738628e-06,2.6924639506820114e-07
1833,1.98890893443604e-06,2.1429712027121184e-07
1834,1.8585051293484867e-06,3.2297477470244473e-07
1835,1.9701844848896144e-06,1.8529565437575002e-07
1836,1.940952643053606e-06,1.7742779856444457e-07
1837,2.2251335849432508e-06,1.6629359733677518e-07
1838,1.8816554074874148e-06,1.1298769608814041e-07
1839,1.8800076304614777e-06,2.426041851855132e-07
1840,2.287355300722993e-06,1.6815978343132088e-07
1841,1.822793706196535e-06,2.1508837377837153e-07
1842,1.8172689806306153e-06,1.3617778460428553e-07
1843,1.678744069977256e-06,1.7189111040094573e-07
1844,1.8726971120486269e-06,1.4544687743089924e-07
1845,2.19526168621087e-06,2.3660166803551874e-07
1846,1.9114947917842073e-06,3.10288568172723e-07
1847,2.2123003873275593e-06,2.2759403162098124e-07
1848,1.8447693719281233e-06,2.0756672025612488e-07
1849,1.700183247521636e-06,1.2150151507128726e-07
1850,1.524129629615345e-06,2.0706437275919143e-07
1851,1.7619867094254005e-06,1.883236144806233e-07
1852,1.4329710893434822e-06,1.8620159281113047e-07
1853,1.5837563296372537e-06,2.0125410671312238e-07
1854,1.8990153876075055e-06,1.454786109356121e-07
1855,1.607471290299145e-06,1.7725169598747925e-07
1856,1.6561828033445636e-06,1.2891200862341634e-07
1857,1.7876086531032342e-06,1.1325101301196128e-07
1858,1.8121281755156815e-06,7.046893735207505e-08
1859,1.746615453157574e-06,9.624207342184832e-08
1860,1.7979178892346681e-06,1.1031013325002448e-07
1861,1.7406622419002815e-06,1.5091083627183366e-07
1862,1.7041844557752484e-06,1.0436548381065336e-07
1863,1.8589978481031721e-06,1.3535421872212794e-07
