year,en_ADP artisans_NOUN,en_ADP partisans_NOUN
1800,9.432493897065797e-09,9.432493897065797e-09
1801,9.524730337773235e-09,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,4.6808139586573816e-08,1.1702034896643454e-08
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,1.421438877713399e-08,5.685755422035754e-09
1806,0.0,6.339671898558663e-08
1807,3.9857372513552036e-08,2.8469550272802735e-08
1808,1.1330369531492579e-08,3.172503681980743e-08
1809,1.129515236897305e-08,4.292158095609011e-08
1810,1.8721014072298203e-08,2.3401267590372754e-09
1811,2.757784400841956e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,1.1502966579257645e-08,2.0130190847567064e-08
1814,0.0,1.258670891957081e-07
1815,0.0,4.8550024445148665e-08
1816,2.3176038865813098e-09,1.8540831092650478e-08
1817,0.0,9.808302792180257e-08
1818,0.0,5.2453181353939726e-08
1819,1.7596784473994376e-08,2.3807414706311647e-08
1820,3.5599443393152796e-09,3.797273961936298e-08
1821,4.043210211079895e-08,9.2697987952306e-08
1822,5.1130641054442094e-08,8.521773509073682e-08
1823,1.3835761869529506e-08,1.1365089847004128e-07
1824,2.105278085196005e-08,7.579001248814166e-08
1825,1.4969252504215547e-08,1.47050897680856e-07
1826,1.8496766784892316e-08,9.072223861039674e-08
1827,5.069500019772022e-08,3.7790819362726324e-08
1828,1.2841221419535032e-08,7.613009955775851e-08
1829,8.57317605795771e-10,3.772197487705853e-08
1830,1.6698937344017395e-08,6.992679857376061e-08
1831,1.5591206548037917e-08,8.886987501455224e-08
1832,5.411987746839486e-09,5.547287429408243e-08
1833,5.79181431703546e-08,5.90765054653275e-08
1834,2.333632664885954e-08,4.29388435918554e-08
1835,6.050470346963266e-09,4.235329242874286e-08
1836,1.344150035720304e-08,3.763620171071125e-08
1837,3.6876823372722356e-08,3.6876823372722356e-08
1838,2.3354999711955315e-08,5.5547026533986354e-08
1839,1.7478688718597368e-08,3.775396706373613e-08
1840,1.46502836528839e-08,7.45253601053264e-08
1841,2.5682194149112547e-08,3.659712533021775e-08
1842,1.0733224087289273e-08,8.586579269831418e-08
1843,1.594865928211675e-08,4.784597962270709e-08
1844,1.5916826967554698e-08,3.951764071530306e-08
1845,1.3950569588416784e-08,2.0646844234306627e-08
1846,1.1709002656346001e-09,5.854501239355159e-08
1847,9.707802561820245e-09,8.143767615820252e-08
1848,1.287235473768078e-08,5.712107409294731e-08
1849,4.4410899846525353e-08,2.5976186535103807e-08
1850,8.146795238417326e-09,6.245876704724651e-08
1851,2.7087642351375507e-08,7.029888138276874e-08
1852,1.3021090872200602e-08,2.4740073101270355e-08
1853,2.5679307569248522e-08,6.151089593231518e-08
1854,1.9223959313308114e-08,2.338049043260071e-08
1855,1.3798036491152743e-08,4.404757802944914e-08
1856,1.346069211649592e-08,4.0899795550330964e-08
1857,9.274867096564776e-09,8.64027143165913e-08
1858,2.495774786837046e-08,5.2851699905431815e-08
1859,1.2221216039165483e-08,3.8700516569178944e-08
1860,6.408057640072684e-09,4.3483247225140076e-08
1861,2.0278644541349422e-08,5.989274143303192e-08
1862,7.680577063240435e-09,4.066187742068905e-08
1863,1.39849385405455e-08,4.5950510951797696e-08
1864,5.274200631788517e-09,2.0137857603685916e-08
1865,1.9298061815220535e-08,5.742350239756888e-08
1866,1.3137154475373336e-08,5.011581194480641e-08
1867,6.308654931785895e-09,2.9602150064533816e-08
1868,5.433861360870651e-09,7.508608490525148e-08
1869,1.12320943657096e-08,5.1276952461876135e-08
1870,3.4404292748035914e-09,2.981705193860762e-08
1871,2.549082545044712e-08,3.3987767267262825e-08
1872,7.861540751719076e-09,4.475031190054324e-08
1873,1.0176207432266438e-08,6.345164393906089e-08
1874,5.974609251779839e-09,3.345781252050983e-08
1875,9.154443425529735e-09,5.149374260327022e-08
1876,3.02300739996042e-09,3.869449471949338e-08
1877,1.608052180301911e-08,2.783167118991514e-08
1878,2.4156354694326865e-09,2.113680963589104e-08
1879,6.109325489944695e-09,2.2604503158163425e-08
