year,aucun_DET or_NOUN,aucun_DET port_NOUN
1800,0.0,3.9616471170234036e-07
1801,4.7623651688866175e-09,1.8335106233280385e-07
1802,1.3427040812530322e-08,1.4993528907325526e-07
1803,1.950339223455444e-09,2.5159375383054794e-07
1804,2.4718509461507665e-09,2.4224138428508013e-07
1805,1.7057265822018053e-08,1.4498676725871462e-07
1806,2.881669125542885e-09,1.556101381083863e-07
1807,1.4234775136401367e-08,3.6156329841219303e-07
1808,2.2660739951163578e-09,2.515342254483244e-07
1809,4.518061036407062e-09,3.411136013653504e-07
1810,7.020380277111826e-09,2.4103305928946384e-07
1811,1.7549536490690798e-08,1.704812246927645e-07
1812,2.1337665856435706e-08,1.2535878113340004e-07
1813,2.8757416448144113e-09,1.2078115219082974e-07
1814,0.0,1.0384034254684593e-07
1815,8.091670444798638e-09,1.726223075593225e-07
1816,4.6352077731626196e-09,1.7613788827475219e-07
1817,1.5568734412774177e-08,2.428722389868909e-07
1818,4.768470951432846e-09,1.2517236069875537e-07
1819,1.035105001712111e-09,2.8154855158391e-07
1820,1.0679833017945839e-08,3.358214204496335e-07
1821,9.861488403650753e-09,1.3017164390838332e-07
1822,7.017931125119503e-09,1.804610860745015e-07
1823,9.882686891060644e-10,1.1068609495623605e-07
1824,1.51580028528997e-08,2.450543750143197e-07
1825,9.68598712347557e-09,2.615216714296764e-07
1826,3.5231937367541377e-09,2.210804090907459e-07
1827,3.6869092223668076e-09,2.1476246514495756e-07
1828,5.5033806956039655e-09,2.0821123780656592e-07
1829,2.571952817387313e-09,2.906306623140509e-07
1830,2.922314124020886e-08,1.6072727793137176e-07
1831,1.5591206103948707e-09,1.6682589998318065e-07
1832,2.8412935226818092e-08,7.712082483735117e-08
1833,5.791814250422078e-09,1.2278646011054661e-07
1834,1.1201437333241415e-08,2.4549817001506824e-07
1835,6.050470346963266e-09,1.641190081613786e-07
1836,1.2097350121642592e-08,1.6264215324524045e-07
1837,4.174734336004349e-09,1.6142306691335762e-07
1838,1.8936486156917454e-08,1.9188971944750222e-07
1839,5.5931801412612e-09,3.49573758828825e-07
1840,7.64362617644565e-09,1.8408400703773253e-07
1841,4.494383976094696e-09,1.6308193240277546e-07
1842,6.708265054555795e-09,1.7106076155570804e-07
1843,2.953455480181333e-09,1.5298900213345235e-07
1844,3.293136707771538e-09,1.6740112585011957e-07
1845,5.580227946389016e-10,2.187449297252897e-07
1846,7.610851504580296e-09,2.271546459819973e-07
1847,2.7505439703645607e-08,1.5910009221187238e-07
1848,4.34441957963827e-08,2.3170238705461088e-07
1849,6.703531951757213e-09,6.703531996166134e-08
1850,1.0183494048021657e-08,1.262753333008959e-07
1851,1.0319102239364497e-08,1.4575731843713413e-07
1852,2.018269107395554e-08,1.2435141649724812e-07
1853,1.4929829816878737e-08,1.0391161331391174e-07
1854,6.754363734984281e-09,1.2261768311816468e-07
1855,1.0613874223963649e-09,1.3426550538042648e-07
1856,1.1907535180100126e-08,1.5945743075951313e-07
1857,1.2691923956253959e-08,1.0397614058632598e-07
1858,9.787352261980686e-09,1.2919304287484223e-07
1859,4.073738679721828e-09,9.318677007819076e-08
1860,1.0985241161165504e-08,1.327383323257436e-07
1861,4.7159637306393165e-09,1.2874580779254075e-07
1862,7.228778020618165e-09,9.849210180767898e-08
1863,1.1987090431375691e-08,1.0638542402574558e-07
1864,5.274200631788517e-09,1.241834562959454e-07
1865,1.4120533631256649e-09,7.76629320853317e-08
1866,4.379051787850585e-09,9.147352608707138e-08
1867,9.7056229719783e-10,9.317398230734852e-08
1868,9.87974813071446e-10,1.0274937722876132e-07
1869,1.953407657850903e-09,8.008971452699853e-08
1870,1.3188312664169644e-08,7.511604227516955e-08
1871,2.1242354542039266e-09,1.380753076318797e-07
1872,5.442605366390296e-09,2.285894192821658e-07
1873,1.1972008939764578e-09,9.757187124925792e-08
1874,5.377148393215236e-09,1.314413968778183e-07
1875,3.4329162845736505e-09,1.1843561331659203e-07
1876,6.650616279912924e-09,8.041199528463494e-08
1877,7.421779302241305e-09,1.3049962299671591e-07
1878,7.2469061862534545e-09,9.058633132497107e-08
1879,3.6655952717623563e-09,1.3257236197716793e-07
1880,3.8507077526617195e-09,1.6558043824943525e-07
1881,2.7890030285249168e-09,1.3108314078635885e-07
1882,5.989846618703609e-09,1.2245908731500776e-07
1883,2.5277355764075082e-09,9.352621344049794e-08
1884,6.601696966868076e-09,1.260924102908234e-07
1885,3.2228177904158883e-09,1.3987029712225763e-07
1886,3.872078324640427e-09,1.0712749798358345e-07
1887,6.528924512139156e-09,1.4167766604344934e-07
1888,8.87686035788704e-09,1.0842451070303127e-07
1889,4.385595775424633e-09,1.083868657048015e-07
1890,3.277193239004106e-09,7.930807477407598e-08
1891,5.736798147637501e-09,9.625072072694252e-08
1892,6.2685125978845235e-09,9.089343144808026e-08
1893,8.005941742883493e-09,7.94435739415178e-08
1894,3.150769645188234e-09,1.0334524391808486e-07
1895,1.1435367985868083e-08,1.324095142418713e-07
1896,1.7691086373616827e-09,1.226582015956268e-07
1897,5.826713556089658e-09,8.332200440719362e-08
1898,4.52668391659472e-09,1.3183966984797735e-07
1899,4.9748205555033564e-09,1.116570818027185e-07
1900,3.6337372000261325e-09,1.0537838002200317e-07
1901,2.794369458047896e-09,1.2015788586339227e-07
1902,8.838511256215043e-09,1.0753521761941442e-07
1903,3.2401321625741275e-09,1.150246953240952e-07
1904,8.599400302955473e-09,1.3920279418044856e-07
1905,5.676835002077496e-09,1.352118933484192e-07
1906,5.144184633820714e-09,1.5175344508788768e-07
1907,1.028568674676933e-09,1.259996661451268e-07
1908,1.964555629285769e-09,9.822778390677911e-08
1909,2.2003934230241384e-09,1.5457763130610758e-07
1910,2.67207544979442e-09,8.497199566193103e-08
1911,4.788336838146279e-09,1.0747155609891479e-07
1912,9.376958209905695e-09,1.3284024458215526e-07
1913,7.424185766158331e-09,9.174172133086245e-08
1914,1.3393487430235496e-09,1.0647822179521427e-07
1915,1.5314990164938536e-08,1.8142373292562297e-07
1916,1.2086208478478966e-08,1.2525706871713282e-07
1917,7.676497326691845e-09,1.2830716933365238e-07
1918,1.4932289182922887e-08,1.1026920887502456e-07
1919,6.445494027396137e-09,9.76031948596301e-08
1920,6.057785384427916e-09,1.1206902783555961e-07
1921,4.543648624011354e-09,1.1662031029757713e-07
1922,8.853522359686394e-09,1.0919344400894815e-07
1923,7.431163684401554e-09,9.872831974178098e-08
1924,6.4458122173149945e-09,6.57472827292338e-08
1925,2.1996355847875293e-09,6.708888222739517e-08
1926,1.1146138456652466e-09,9.028372449648714e-08
1927,1.1149224876660924e-09,1.103773242805417e-07
1928,7.998228634953364e-09,9.369353781707446e-08
1929,3.342121912552898e-09,1.3479892047030262e-07
1930,3.1510810627466412e-09,7.142450297870084e-08
1931,1.1405356659111021e-09,9.5804996824711e-08
1932,2.1919073223131136e-09,1.0959536833610173e-07
