year,en_ADP or_NOUN,en_ADP porc_NOUN
1800,6.980045327509288e-06,1.5720821977538435e-08
1801,6.350614057737403e-06,7.381665767525192e-08
1802,7.655650733795483e-06,1.5664880947952042e-08
1803,5.9017265812144615e-06,3.1205427575287104e-08
1804,7.0299442995747086e-06,1.730295728918918e-08
1805,6.606847819057293e-06,1.9900143755080535e-08
1806,6.8151475716149434e-06,2.0171682990621775e-08
1807,6.0241568462515716e-06,0.0
1808,6.4809714785951655e-06,1.3596443526608937e-08
1809,7.76654724177206e-06,0.0
1810,5.911160315008601e-06,7.020380277111826e-09
1811,9.31880458665546e-06,0.0
1812,6.8013810050615575e-06,0.0
1813,6.634335932176327e-06,2.8757416448144113e-09
1814,5.903166311327368e-06,0.0
1815,1.0122679668711498e-05,4.315557688983063e-08
1816,5.3258536354405805e-06,6.952811659743929e-09
1817,5.930131010245532e-06,3.425121486433369e-08
1818,5.1046481530647725e-06,1.1921177378582115e-09
1819,7.2146817728935275e-06,0.0
1820,6.727108029735973e-06,7.119888678630559e-09
1821,6.427718290069606e-06,1.577838126820552e-08
1822,8.022498150239699e-06,6.015369535816717e-09
1823,6.740980552422116e-06,1.3835762091574111e-08
1824,6.967628451093333e-06,1.431589158329416e-08
1825,7.2732959779386874e-06,1.7610886082763955e-09
1826,8.379035534744617e-06,1.4973572604048968e-08
1827,7.899203410488553e-06,9.217273055917019e-10
1828,6.4774790189403575e-06,5.503380862137419e-09
1829,6.618492079724092e-06,2.4004892296147773e-08
1830,8.751287168706767e-06,8.036363396968227e-08
1831,6.476586804637918e-06,5.301009919911337e-08
1832,7.179001840995625e-06,3.2471927369215337e-08
1833,7.363712484220741e-06,3.359252431778259e-08
1834,6.873015081509948e-06,1.5868701908061666e-08
1835,7.255270247696899e-06,1.0588323107185715e-08
1836,6.864574061182793e-06,1.68018754465038e-08
1837,7.021207693469478e-06,3.409366655660051e-08
1838,7.056365575408563e-06,3.1560809521380406e-09
1839,7.455709237547126e-06,2.307186808270245e-08
1840,7.969754733494483e-06,1.592422194107712e-08
1841,7.788125003571622e-06,2.247191943638427e-08
1842,7.114786058082245e-06,1.609983613093391e-08
1843,7.359420578723075e-06,6.497602011990011e-09
1844,6.799778475397034e-06,3.841992946007622e-09
1845,7.008766260696575e-06,4.464182357111213e-09
1846,7.009009095781948e-06,1.7563503984519002e-09
1847,8.276440894405823e-06,1.1325769655456952e-08
1848,6.6855791374109685e-06,2.011305383353701e-08
1849,5.945194970990997e-06,2.178647906525555e-08
1850,7.818886842869688e-06,8.146795238417326e-09
1851,7.19241415936267e-06,4.514607354622058e-09
1852,8.220215022447519e-06,2.408901877970493e-08
1853,8.5852489064564e-06,1.4929829816878737e-08
1854,7.341993295995053e-06,1.2469595134234623e-08
1855,7.917419679870363e-06,1.4328730202350926e-08
1856,8.091428753687069e-06,3.1063133731912274e-08
1857,8.515304216416553e-06,1.5620829074691756e-08
1858,8.358888408110943e-06,7.34051397444091e-09
1859,7.205934707599226e-06,1.7313389832906978e-08
1860,8.530039849574678e-06,1.5562426014525954e-08
1861,8.377909580303822e-06,8.488735048217677e-09
1862,9.247414709534496e-06,1.1746764450037972e-08
1863,7.2911475399450865e-06,1.1987090431375691e-08
1864,7.302370704564964e-06,1.0068928801842958e-08
1865,7.4099853009101935e-06,8.47231973466478e-09
1866,8.710906513442751e-06,1.3137154475373336e-08
1867,9.209665222442709e-06,1.261730986357179e-08
1868,8.792975677351933e-06,6.421836395986702e-09
1869,6.798835329391295e-06,6.8369265804335555e-09
1870,7.445089067914523e-06,5.734048791339319e-09
1871,6.073189069866203e-06,2.442870794538976e-08
1872,7.06631590219331e-06,2.116568786902917e-08
1873,8.139169949572533e-06,2.334541804316359e-08
1874,7.414490028168075e-06,2.4495896866483235e-08
1875,7.726350304437801e-06,1.0298749131276708e-08
1876,7.484966317861108e-06,8.464420275799966e-09
1877,9.371233318233863e-06,1.3606595294923807e-08
1878,1.0096752703248058e-05,9.058632954861423e-09
1879,9.032026355271228e-06,2.016077260691418e-08
1880,7.997919965418987e-06,1.4119262203848848e-08
1881,1.044342207023874e-05,2.3009274208174446e-08
1882,7.564510724478168e-06,6.655385131892899e-09
1883,9.607290849089622e-06,1.1374810426900694e-08
1884,7.816409379302058e-06,1.4523733327109767e-08
1885,9.4944216471049e-06,1.160214413431504e-08
1886,9.35300522542093e-06,9.680196200179125e-09
1887,7.971164450282231e-06,1.6322312390570914e-08
1888,8.393071766477078e-06,1.9021844543942734e-08
1889,8.273739695141558e-06,2.0048437576747347e-08
1890,7.080048362695379e-06,1.6385966361553983e-08
1891,8.761365279497113e-06,5.099376032546843e-09
