year,un_DET artisan_NOUN,un_DET partisan_NOUN
1800,4.527596821901625e-07,3.1441644665619606e-07
1801,5.238601801238474e-07,4.214693110071721e-07
1802,7.608656176216755e-07,3.647679420737404e-07
1803,5.2269090566881e-07,3.296073227687657e-07
1804,6.352657209163226e-07,4.2021465773700584e-07
1805,5.799470415013275e-07,4.093743868338606e-07
1806,4.0343367047057654e-07,3.400369514849899e-07
1807,6.918100705632924e-07,3.103180952201967e-07
1808,6.752900425510688e-07,4.3961834705896763e-07
1809,4.879505901556058e-07,4.992457434127573e-07
1810,5.33548899284142e-07,4.773858677253884e-07
1811,6.794178162294884e-07,2.507076670710262e-07
1812,4.720958663995134e-07,3.4140264304483026e-07
1813,5.176334951784156e-07,4.975032972254212e-07
1814,5.947219854363084e-07,4.7200157737847803e-07
1815,6.79700335126654e-07,7.336448177852617e-07
1816,6.234354188450197e-07,5.075552707012321e-07
1817,5.308938462178503e-07,5.013132651221497e-07
1818,5.245317886704015e-07,4.637337926993723e-07
1819,7.018011842774285e-07,5.258333157787121e-07
1820,5.221251626608137e-07,5.909507478918385e-07
1821,6.419828970649633e-07,5.552018009780113e-07
1822,6.075523373283431e-07,4.972705625050367e-07
1823,5.138997281051161e-07,4.4472091431657645e-07
1824,4.5558220307384545e-07,5.018983042504033e-07
1825,5.714732793649091e-07,5.221627814577801e-07
1826,6.790956081914601e-07,5.187902658576604e-07
1827,5.235410842630017e-07,5.364453130596303e-07
1828,5.503380720028872e-07,4.778769024937901e-07
1829,6.532760323807452e-07,5.966930309853069e-07
1830,5.562833464978212e-07,4.7591970542271156e-07
1831,5.020368440966649e-07,5.955840869376061e-07
1832,6.913814125653062e-07,4.058990867861212e-07
1833,5.548557879819782e-07,4.2859424809194024e-07
1834,5.694063780481429e-07,5.283344499673603e-07
1835,6.655517381659593e-07,4.03868895659798e-07
1836,5.336275457068496e-07,5.463969676711145e-07
1837,5.893333785422783e-07,4.6965763189632526e-07
1838,4.999232281477362e-07,4.740433503513941e-07
1839,4.70526270390792e-07,4.2508168185406703e-07
1840,5.541629235494838e-07,5.8282653014885e-07
1841,5.117177224178704e-07,5.2712702647284e-07
1842,5.004365792871113e-07,6.084396630967603e-07
1843,7.46633553205811e-07,5.239430116432686e-07
1844,7.338206629015076e-07,6.652136406160025e-07
1845,6.45632390217088e-07,5.825757831701139e-07
1846,5.397850024735362e-07,7.651833264787911e-07
1847,4.826935189328196e-07,6.288498752837768e-07
1848,5.382253061014808e-07,5.285710535929411e-07
1849,3.6199072717124636e-07,5.48013753487453e-07
1850,4.541838460880854e-07,5.682389918604258e-07
1851,4.972517260171117e-07,5.198247876592177e-07
1852,5.553495192600622e-07,5.175883384112012e-07
1853,5.66736318319272e-07,5.571812273785781e-07
1854,6.276362469748165e-07,5.445056565633877e-07
1855,5.397155149466926e-07,5.455531315590179e-07
1856,5.990007885259274e-07,5.958944946371503e-07
1857,4.852220136797314e-07,6.033545325578871e-07
1858,5.9017731857125e-07,7.296471160600504e-07
1859,5.316228701701675e-07,6.237912160145243e-07
1860,4.307129941594212e-07,6.61403067425681e-07
1861,5.512961607223588e-07,6.946614590219724e-07
