year,un_DET appât_NOUN,un_DET papa_NOUN
1800,5.030663445815264e-07,1.1633408547595536e-07
1801,4.476623136628888e-07,4.524246932646747e-08
1802,5.303680836732383e-07,1.3427040812530322e-08
1803,6.611650025245552e-07,1.3652374342143503e-08
1804,3.732494917585427e-07,4.943701892301533e-09
1805,6.083758099517667e-07,4.5486043376286034e-08
1806,2.305335300434308e-07,3.7461698632057505e-08
1807,2.44838133767189e-07,1.1387820464392462e-08
1808,5.279952453030035e-07,6.798221985349073e-09
1809,4.088845253491513e-07,1.8072244367672852e-08
1810,3.416585028226393e-07,3.042164919975221e-08
1811,3.334412213007454e-07,1.2535384286138651e-08
1812,2.2404549326893175e-07,5.3344166417446104e-08
1813,2.5594101771275746e-07,8.627225156487839e-09
1814,4.5941484927425336e-07,6.293354282149721e-09
1815,3.074834751259914e-07,0.0
1816,3.6154619920125697e-07,4.6352077731626196e-09
1817,4.608345154366589e-07,1.4011860671736542e-08
1818,3.7551708942373807e-07,4.410835785506606e-08
1819,3.29163384549247e-07,2.8982940381006017e-08
1820,3.0734187106418176e-07,1.5426425470366212e-08
1821,3.264152618198679e-07,2.761216755242657e-08
1822,3.0177105259099335e-07,1.9048670196752937e-08
1823,3.0735155442940254e-07,1.4824030003524058e-08
1824,2.947389319274407e-07,1.9368559200927393e-08
1825,3.6102316003372437e-07,2.2013607825499548e-08
1826,4.0428649183965604e-07,6.1655889282974385e-09
1827,3.4472600951573895e-07,1.1060727445055818e-08
1828,3.402923643425204e-07,1.0089531266022078e-08
1829,3.146355709304771e-07,1.4574399687106165e-08
1830,3.8407555824626627e-07,1.0436835840010872e-09
1831,4.1472608813819534e-07,4.677361609140007e-09
1832,3.869571314485398e-07,2.841293600397421e-08
1833,3.347668666719983e-07,5.096796451553587e-08
1834,3.771150431930437e-07,2.333632798112717e-08
1835,3.176496861101441e-07,2.7983425354705105e-08
1836,3.924918123843213e-07,1.747394939854985e-08
1837,3.430240158586173e-07,2.2961040846425362e-08
1838,3.471689069556305e-07,7.574594285131298e-09
1839,3.453788868235108e-07,1.1186360504567006e-08
1840,3.809073717553346e-07,1.4650283985950807e-08
1841,4.969504630025767e-07,2.3113974290112083e-08
1842,3.83712774887357e-07,7.379091560011375e-09
1843,3.987165007046656e-07,6.497602011990011e-09
1844,4.692719812737778e-07,1.4819115046194042e-08
1845,3.989862937814337e-07,6.138250907561371e-09
1846,3.1907030906275224e-07,7.610851726624901e-09
1847,4.217500997327761e-07,6.47186837454683e-09
