year,son_DET or_NOUN,son_DET port_NOUN
1800,1.25452167765161e-06,3.1567411831190384e-06
1801,1.0381955606320048e-06,2.424043965110201e-06
1802,9.95838888684375e-07,3.8535606563527836e-06
1803,1.0044246694373982e-06,4.994818546322222e-06
1804,1.2977217114240602e-06,4.617417648233868e-06
1805,9.950072372699736e-07,6.89397862174701e-06
1806,7.578790048867745e-07,3.5646246825393746e-06
1807,9.394952158459091e-07,2.9181289940005684e-06
1808,1.0741191260876803e-06,3.7730133133351274e-06
1809,9.82678247218871e-07,3.76128573620349e-06
1810,9.407309633502337e-07,2.003148479090555e-06
1811,1.0178731670862362e-06,3.83332041797857e-06
1812,6.107906798114016e-07,2.8859193523800286e-06
1813,8.655982277616658e-07,2.867114379911939e-06
1814,9.471498465529749e-07,1.9383531042471702e-06
1815,1.1220449911419905e-06,4.44502439433947e-06
1816,1.0614625640670283e-06,2.2921102775796953e-06
1817,9.761595762824982e-07,2.9175807079173666e-06
1818,8.750144031566265e-07,2.5940482186737057e-06
1819,1.1613878356797613e-06,2.099192985216547e-06
1820,1.301752971194503e-06,2.497894237230014e-06
1821,8.924646834884697e-07,1.8431121611151013e-06
1822,8.431543250253526e-07,1.8637620513572983e-06
1823,9.872803836685762e-07,2.1346603837901768e-06
1824,1.142745000848322e-06,2.317490284120538e-06
1825,1.0997997854644836e-06,2.5738310736045378e-06
1826,1.026130223347188e-06,2.6520841163168996e-06
1827,6.885303113213226e-07,2.621392525270494e-06
1828,7.989074619629832e-07,2.537975722305408e-06
1829,9.207591245008473e-07,3.2080823757496546e-06
1830,7.723258761416218e-07,1.8118346787332484e-06
1831,6.89131281594868e-07,2.1235223215398946e-06
1832,8.104451931778556e-07,2.314977659456652e-06
1833,1.0911778209887757e-06,4.174739661522153e-06
1834,9.455880087827495e-07,3.2138790335700662e-06
1835,8.417716941266917e-07,2.1063199824311596e-06
1836,8.078341666717392e-07,2.0390755395283122e-06
1837,9.170500074873189e-07,2.202868230938293e-06
1838,9.076888827230789e-07,2.8878141873356356e-06
1839,7.858418245021426e-07,2.4162539222771784e-06
1840,8.917564064958583e-07,2.449782223301611e-06
1841,8.539329705570253e-07,2.276084429819747e-06
1842,1.0042272644561479e-06,2.269406017774145e-06
1843,9.297478165137818e-07,1.9043881445135469e-06
1844,9.270180119091975e-07,1.8880651043162722e-06
1845,8.05226888278554e-07,1.9731685848012326e-06
1846,8.418772874385638e-07,1.8570477999801938e-06
1847,8.612977966393487e-07,1.7732919372903666e-06
1848,8.302668921267298e-07,1.6677744714144183e-06
1849,8.320759299351721e-07,1.5359468159559242e-06
1850,8.106061244461671e-07,1.949799703027111e-06
1851,8.010203007557948e-07,2.0173844736959268e-06
1852,7.747549211067906e-07,1.9570699030246885e-06
1853,8.181546871099954e-07,2.1857270819936048e-06
1854,6.785537687292731e-07,2.7001869209453133e-06
1855,8.761753029773445e-07,2.134450124202658e-06
1856,6.947788167011026e-07,1.4848178426785097e-06
1857,8.630508023799166e-07,1.668011682554038e-06
1858,8.015841483910435e-07,1.7020205280715572e-06
1859,9.57837786197402e-07,1.4930251843736642e-06
1860,9.07655541837471e-07,1.6610600503952355e-06
1861,8.328392091527803e-07,1.5987117558680097e-06
1862,8.588691873256948e-07,1.7855081697604192e-06
1863,8.161210391932627e-07,1.4983862581807728e-06
1864,7.091402398629043e-07,1.4321852583876193e-06
1865,8.458199216576645e-07,1.5876186054697428e-06
1866,8.037992778042735e-07,1.326852606453599e-06
1867,8.201251535666643e-07,1.606280621402334e-06
1868,6.871364561789051e-07,1.3634052633548777e-06
1869,7.676892104235833e-07,1.3112249386271202e-06
1870,7.012741516376764e-07,1.4547282312094012e-06
1871,6.691341827291808e-07,1.1747022172770016e-06
1872,6.839540471759165e-07,1.2784075469340905e-06
1873,5.596914229855088e-07,1.3839641965773808e-06
1874,6.10007602652729e-07,1.2809562122129137e-06
1875,6.60264239726871e-07,1.1500269661013363e-06
1876,6.511557675281665e-07,1.6233549366972966e-06
