year,son_DET paiement_NOUN
1800,3.6157891258881136e-07
1801,2.619300805140057e-07
1802,3.9162202369880106e-07
1803,3.276569771060167e-07
1804,1.0159307066714973e-06
1805,5.287752742333396e-07
1806,7.261806445058028e-07
1807,1.204262037646231e-06
1808,9.358885790788918e-07
1809,4.721373727534228e-07
1810,6.365144682440871e-07
1811,4.512738200901367e-07
1812,3.200649985046766e-07
1813,3.537162218680834e-07
1814,3.209610781595984e-07
1815,2.3735567822313897e-07
1816,2.3639560176036412e-07
1817,2.1796228111270466e-07
1818,2.944530876902718e-07
1819,3.9748032121256216e-07
1820,1.981702411057995e-07
1821,2.5541254522476464e-07
1822,4.7521419332952064e-07
1823,3.231638587841701e-07
1824,4.0758186514722183e-07
1825,4.622857545655279e-07
1826,3.576041649466788e-07
1827,6.599567541343276e-07
1828,6.13626980339177e-07
1829,4.86956423628726e-07
1830,5.38540746219951e-07
1831,5.799928430860746e-07
1832,5.114328587296768e-07
1833,6.266743071137171e-07
1834,6.412822699530807e-07
1835,7.048797812103658e-07
1836,5.813448638036789e-07
1837,3.590271803188827e-07
1838,3.3328213722150224e-07
1839,9.857980254324161e-07
1840,3.9109888516630775e-07
1841,3.030498874068144e-07
1842,3.3205912686185e-07
1843,1.8665838841247506e-07
1844,3.441327907638403e-07
1845,1.9530797212841122e-07
1846,2.0607844208875292e-07
1847,2.971666219764302e-07
1848,1.3757329497821047e-07
1849,9.133562084429059e-08
1850,1.8601849660626613e-07
1851,2.0251237886625972e-07
1852,1.9401424822262925e-07
1853,1.9886532531820933e-07
1854,1.5742862946588332e-07
1855,1.5867742320097022e-07
1856,2.743910272329231e-07
1857,1.6060164398368215e-07
1858,1.2968240786781493e-07
1859,1.7160624565804028e-07
1860,1.1809134292661838e-07
1861,1.1601270699657107e-07
1862,1.3418419800292902e-07
1863,9.98924178929883e-08
1864,1.3617026861645343e-07
1865,2.1745621087143618e-07
1866,1.9267827744418042e-07
1867,8.055667422013357e-08
1868,1.0423134066961381e-07
1869,1.7434163213092546e-07
1870,1.7087465664644697e-07
1871,1.8799484280407341e-07
1872,1.3304146762038727e-07
1873,1.2630469825580803e-07
1874,1.039582023798502e-07
1875,2.0254205423952953e-07
1876,9.129482303471548e-08
1877,1.7564877907716436e-07
1878,1.0991141152771888e-07
1879,1.2646303559904482e-07
1880,3.4463835163478507e-07
1881,3.0121232896807015e-07
1882,1.297800085175993e-07
1883,2.0221884816651325e-07
1884,1.3797546660754278e-07
1885,1.3020183531331497e-07
1886,1.8198768714228208e-07
1887,1.207851059725762e-07
1888,1.4710226192704567e-07
1889,1.3031484513703617e-07
1890,1.2649966257827217e-07
1891,1.1346111372656509e-07
1892,1.611007718338442e-07
1893,1.4533863185173246e-07
1894,1.468258605807904e-07
1895,1.5648398110634787e-07
1896,1.3445226376695985e-07
1897,1.7305339172768441e-07
1898,1.6635564081823873e-07
1899,2.2331416715815067e-07
1900,1.9829822928141283e-07
1901,3.2358797974474385e-07
1902,1.708778727405047e-07
1903,1.4310583185128678e-07
1904,1.5586412871471111e-07
1905,1.635960558132865e-07
1906,1.69758093804262e-07
1907,1.8462807016561555e-07
1908,1.935087317050943e-07
1909,1.7108058503190193e-07
1910,1.405511595997666e-07
1911,1.7238012661735524e-07
1912,1.6097111260604535e-07
1913,1.4583221430441995e-07
1914,1.8282109898182242e-07
1915,1.4372529821837787e-07
1916,1.3294828704601969e-07
1917,1.1076088457517841e-07
1918,1.5391743968251603e-07
1919,1.5469185360439397e-07
1920,1.4084350441478932e-07
1921,2.794343796352905e-07
1922,1.291138745918019e-07
1923,1.7091676873803863e-07
1924,1.9595268674343913e-07
1925,2.716549998282858e-07
1926,1.6161901195133055e-07
1927,2.363635727142821e-07
1928,2.5365810740751726e-07
1929,1.604218522466283e-07
1930,1.722590945441027e-07
1931,2.794312514708963e-07
1932,1.457618435951602e-07
1933,1.8467766849106226e-07
1934,1.2101395618913102e-07
1935,1.4002892978481896e-07
1936,1.0669748995439932e-07
1937,1.4227963496260543e-07
1938,1.1668693034039279e-07
1939,1.0858775745248295e-07
1940,1.7243324457183462e-07
1941,1.534781350898129e-07
1942,1.0923162352405313e-07
1943,9.870999706507178e-08
1944,1.1888788975511488e-07
1945,9.58541801487911e-08
1946,6.542919273044845e-08
1947,1.2278497329987204e-07
1948,8.914947824401054e-08
1949,1.1093219676183708e-07
1950,1.2762433954094377e-07
1951,1.0554788021366335e-07
1952,1.7293477894142484e-07
1953,1.5837525979556233e-07
1954,1.006571208606033e-07
1955,1.1825865975367833e-07
1956,1.491315257950987e-07
1957,9.895242181201525e-08
1958,1.1994753146282733e-07
1959,1.5191465596586795e-07
1960,1.204224995277059e-07
1961,1.215927865061417e-07
1962,1.363520638619775e-07
1963,1.2932106141505528e-07
1964,1.1194501414735214e-07
1965,1.3132904186363703e-07
1966,1.5730972346972294e-07
1967,1.5234737604785664e-07
1968,1.4597102104829673e-07
1969,1.3761525874400604e-07
1970,1.2554519779328643e-07
1971,1.3411216936987103e-07
1972,1.3902698547951786e-07
1973,1.3341953009060603e-07
1974,1.6089135357333362e-07
1975,1.4507160184251688e-07
1976,1.7197716228878335e-07
1977,1.563223936962288e-07
1978,1.2712865693487174e-07
1979,2.370049232425231e-07
1980,9.89216224489553e-08
1981,1.4422252814227932e-07
1982,1.2539154958801646e-07
1983,1.124126285390048e-07
1984,1.5135412567701678e-07
1985,1.624200609562365e-07
1986,1.1449467551827297e-07
1987,1.295493134989556e-07
1988,1.4331763464880964e-07
1989,1.38849491904125e-07
1990,1.61280074628678e-07
1991,1.5591498048195263e-07
1992,1.652983212530046e-07
1993,1.3681841792845262e-07
1994,1.6668768365590836e-07
1995,1.9629271807986015e-07
1996,1.4039181772673714e-07
1997,1.524776473971201e-07
1998,1.5353376303650634e-07
1999,1.9743268397931502e-07
2000,1.4402782078093423e-07
2001,1.292457429968863e-07
2002,1.5378086981598926e-07
2003,1.1542376698869816e-07
2004,1.1936984167792986e-07
2005,1.1124261600770069e-07
2006,9.512325860328019e-08
2007,1.2263052262539986e-07
2008,1.1324789550570813e-07
2009,1.3780075969194172e-07
2010,1.1053675841310451e-07
2011,1.0286484686261588e-07
2012,9.770205178227798e-08
2013,1.640005571346137e-07
2014,1.6457383722467966e-07
2015,1.992701328390467e-07
2016,2.2308332336962167e-07
2017,3.0111868731808045e-07
2018,1.8560745340678864e-07
2019,1.6249792089695347e-07
