year,aucun_DET art_NOUN,aucun_DET part_NOUN
1800,4.653363534501409e-07,0.0
1801,3.262220005240124e-07,0.0
1802,3.6924362234458386e-07,0.0
1803,4.07620897036054e-07,1.755305234496518e-08
1804,4.2763021212977037e-07,0.0
1805,2.9281640467893055e-07,0.0
1806,2.9969358461556794e-07,0.0
1807,3.672572095325677e-07,0.0
1808,2.9232354936681304e-07,0.0
1809,3.3885456618421017e-07,0.0
1810,4.3292344242829017e-07,0.0
1811,4.4876673888083474e-07,2.5070767684098882e-09
1812,2.90725702623007e-07,2.6672082320544632e-09
1813,3.422132679453682e-07,0.0
1814,2.3285410222229075e-07,0.0
1815,1.3486118088934518e-07,2.697223555614414e-09
1816,3.082413133626005e-07,2.3176038865813098e-09
1817,3.3472779537024877e-07,3.113746815941454e-09
1818,3.6359591715218187e-07,0.0
1819,4.3681430617059647e-07,1.035105001712111e-09
1820,4.010870533477373e-07,5.933240565525466e-09
1821,4.3094705048929427e-07,1.97229765852569e-09
1822,3.699452264527281e-07,1.0025615893027862e-09
1823,2.678208073092492e-07,9.882686891060644e-10
1824,2.4673860465895814e-07,0.0
1825,3.592620760883847e-07,0.0
1826,3.223722221390446e-07,8.807984341885344e-10
1827,3.5763018146894865e-07,9.217273055917019e-10
1828,2.9993424277563463e-07,0.0
1829,3.523575387021083e-07,0.0
1830,3.7572610267488926e-07,1.0436835840010872e-09
1831,2.9311467653059253e-07,1.5591206103948707e-09
1832,3.0036533260613396e-07,0.0
1833,1.8881314345353672e-07,0.0
1834,2.389639881528183e-07,9.334530925997342e-10
1835,2.942041064102341e-07,0.0
1836,1.6197008106955124e-07,2.688300027031687e-09
1837,2.824903803100298e-07,4.174734336004349e-09
1838,2.2155688839120558e-07,4.418513555037862e-09
1839,2.0834595781948906e-07,0.0
1840,2.8217719427736654e-07,2.5478754661634184e-09
1841,2.0353138996398457e-07,8.346713542550788e-09
1842,1.9923546545896897e-07,2.683306021822318e-09
1843,2.539971799553342e-07,0.0
1844,1.822202317924848e-07,1.097712254427563e-09
1845,2.2209307015685908e-07,0.0
1846,2.3183824837680334e-07,1.1709002656346001e-09
1847,1.828302798045911e-07,1.0786447290911383e-09
