year,ton_DET air_NOUN,ton_DET père_NOUN
1800,6.288328791015374e-08,2.788873935344327e-06
1801,1.0477203105097033e-07,2.5002417274322397e-06
1802,6.042168365638645e-08,3.0233220513764536e-06
1803,1.1702035429550506e-07,2.4242716172295786e-06
1804,2.447132398941676e-07,3.838784472520729e-06
1805,2.1605870870189392e-07,3.0617792132758836e-06
1806,8.068673817973604e-08,1.5330479303798938e-06
1807,1.1103124819555887e-07,1.5345088186791145e-06
1808,5.4385774994614167e-08,2.0394665760647968e-06
1809,6.325285362152044e-08,2.663396891477987e-06
1810,1.8018976355449468e-07,3.872909811519776e-06
1811,1.328750656170996e-07,2.321553154160938e-06
1812,3.7340914360584065e-08,2.9952748956674213e-06
1813,1.1215392459185125e-07,2.37248696066672e-06
1814,8.496027881221835e-08,1.5638985892962864e-06
1815,1.0788894311275499e-07,1.704645296030094e-06
1816,2.0858434979231788e-08,1.2746821766995708e-06
1817,1.3233423956648949e-07,1.7436981707419363e-06
1818,8.821671215741844e-08,2.129122208316403e-06
1819,8.9019032145643e-08,2.7233612787114225e-06
1820,1.5663755448258598e-07,2.678264777955519e-06
1821,8.185035582641831e-08,4.063919281094286e-06
1822,9.524335098376469e-08,4.377184069426221e-06
1823,9.981513482415494e-08,3.883895921319436e-06
1824,1.6168537086969081e-07,2.5002283887687327e-06
1825,7.748789787598298e-08,2.9084377324295474e-06
1826,9.776862741617265e-08,2.7472103312220497e-06
1827,5.0695001418965546e-08,2.13564220885587e-06
1828,6.87922590003609e-08,2.8360754562584134e-06
1829,4.286588117796697e-08,1.9744024104539903e-06
1830,8.871310530622623e-08,2.9202266453864922e-06
1831,1.0446108422712541e-07,3.0854996033724547e-06
1832,1.1365173968602704e-07,2.9982412357298927e-06
1833,1.0541102213323938e-07,2.634117041822037e-06
1834,4.947301412983052e-08,2.94877827755613e-06
1835,9.983276072489389e-08,3.2559093554596075e-06
1836,6.989580292326991e-08,3.1782427782900413e-06
1837,8.001574336446993e-08,2.8186415228503847e-06
1838,7.19586488173718e-08,2.375266607401727e-06
1839,7.83045219776568e-08,2.4015717201564257e-06
1840,6.624476167615967e-08,2.053587635941767e-06
1841,7.38363050700741e-08,2.190049187333898e-06
1842,1.1806546673653884e-07,3.4976893275029397e-06
1843,9.746403284438543e-08,3.1300720735316645e-06
1844,5.653218004830762e-08,2.4264928626394067e-06
1845,7.756516784418466e-08,2.707526597589549e-06
1846,6.908311700470904e-08,2.3277497156470872e-06
1847,4.0449176452739266e-08,2.0165263308058456e-06
1848,3.378993040925593e-08,1.6388116890198035e-06
1849,5.865590324560799e-08,1.503267061053748e-06
1850,3.666057768469955e-08,2.001396055106852e-06
1851,4.385618201929731e-08,1.9154833701406915e-06
1852,6.770967475588918e-08,2.4368971338617484e-06
1853,4.598387448595531e-08,2.1277993447199606e-06
1854,6.286754050677246e-08,1.954608968901539e-06
1855,3.343370380548549e-08,2.964455148912748e-06
1856,6.678574049345798e-08,2.3840956302478844e-06
1857,6.34596157844669e-08,2.7697683293581576e-06
1858,6.068158131533608e-08,2.9846530580357467e-06
1859,8.096555870196198e-08,3.0990967303523576e-06
1860,8.238931359372259e-08,3.1706152370247764e-06
1861,6.177912603710922e-08,3.3167371853437544e-06
1862,7.228778375889533e-08,2.6624494182669878e-06
1863,5.6938678327789205e-08,3.4572765486018397e-06
1864,6.856460998960756e-08,3.121847477416395e-06
1865,7.76629320853317e-08,3.0034374560727883e-06
