year,en_ADP art_NOUN,en_ADP part_NOUN
1800,3.5529058095562505e-07,1.1570525657589315e-06
1801,2.3335590038087162e-07,1.164398327091476e-06
1802,2.528759353026544e-07,1.2710931969195371e-06
1803,2.96451567294298e-07,1.084388600247621e-06
1804,3.5347467886026607e-07,9.294159326600493e-07
1805,4.3780317948716174e-07,9.665784546086797e-07
1806,1.2679343619481642e-07,6.454938556998968e-07
1807,4.0711458382247656e-07,6.747283691765915e-07
1808,1.994145080175258e-07,6.911525929353957e-07
1809,3.478907117937524e-07,9.804192586670979e-07
1810,3.1591712490453006e-07,1.226226459039026e-06
1811,3.133846036007526e-07,1.0178731599808089e-06
1812,2.347143261971496e-07,1.226915742336132e-06
1813,3.163315744902917e-07,1.1416694860599819e-06
1814,2.1082736223476672e-07,8.024026669772866e-07
1815,3.425474046636623e-07,7.71405950672488e-07
1816,1.9931394135142e-07,9.038654980031424e-07
1817,1.7125607354451233e-07,9.668183338362724e-07
1818,2.0027577329884139e-07,1.3327876331459265e-06
1819,2.856889746993829e-07,9.243487397725403e-07
1820,2.9191542783024715e-07,1.217500994243892e-06
1821,3.4416593208685953e-07,1.1419602969908738e-06
1822,3.448811725093037e-07,1.0617127372825053e-06
1823,2.5793813007712885e-07,1.2274297205294715e-06
1824,2.080014889216386e-07,1.2025349178657052e-06
1825,2.3246369362794894e-07,1.230120346917829e-06
1826,1.98179641364149e-07,1.1054020205847337e-06
1827,2.1199727545662128e-07,1.008369622468308e-06
1828,1.6601865127086057e-07,1.0951728199870558e-06
1829,1.3974277424111392e-07,1.0536433592278627e-06
1830,1.6281463843803579e-07,1.193974071611592e-06
1831,2.2451337100548585e-07,1.0913844334936584e-06
1832,2.0565553371376666e-07,1.1202814675925765e-06
1833,2.3283092964732077e-07,1.3205336699684267e-06
1834,2.1936147609480372e-07,1.2116221341784694e-06
1835,2.102538445569735e-07,1.3273219110487844e-06
1836,2.5337227693711384e-07,1.1015309837603127e-06
1837,2.5048406193661776e-07,1.3964487379780621e-06
1838,1.956770185884693e-07,1.30093656025565e-06
1839,1.8527408773838516e-07,1.6395009652114823e-06
1840,2.465069468549075e-07,1.1873099765580264e-06
1841,2.3499206980304166e-07,1.2385238505885354e-06
1842,1.6837745286935046e-07,1.0994846206813236e-06
1843,2.72308605886451e-07,1.0579277613942395e-06
1844,1.816713766089606e-07,1.186626946036995e-06
1845,2.310214348710815e-07,1.079216076504963e-06
1846,2.3418005912212436e-07,9.78872662926733e-07
1847,2.448523579445805e-07,1.0069148856928223e-06
1848,2.0273959022709676e-07,1.159316411758482e-06
1849,1.458018203948086e-07,9.058147725227172e-07
1850,2.0570657888185906e-07,9.776154001883697e-07
1851,2.2121575149469663e-07,1.0099821565745515e-06
1852,2.500049509635005e-07,9.381695917909383e-07
1853,1.9587936606058065e-07,1.13586145289446e-06
1854,2.51989728639046e-07,1.0786199027279508e-06
1855,3.5874894521725764e-07,1.0767774938358343e-06
1856,2.4746964832900176e-07,1.0809970945047098e-06
1857,1.9965372066721443e-07,1.3004340644329204e-06
1858,2.1630048152587733e-07,1.31248395973671e-06
1859,2.3373075563881685e-07,1.165089315691148e-06
1860,2.0093836816670319e-07,1.0074381862068549e-06
1861,1.876953561463779e-07,1.1318312544972287e-06
1862,2.218331287551223e-07,1.3386793398240115e-06
1863,2.497310411797571e-07,1.210196614920278e-06
1864,3.1213678575170434e-07,1.2403961591189727e-06
1865,2.4051974989447444e-07,1.09763607269997e-06
1866,2.4182096414193666e-07,1.3025245380049455e-06
1867,3.2174139263929646e-07,1.2520254131231923e-06
1868,3.606107963349814e-07,1.3436457493298803e-06
1869,2.6224497418070314e-07,1.1525105492182774e-06
1870,3.314280263566616e-07,1.1491033546917606e-06
1871,2.570324895145859e-07,1.375442479911726e-06
1872,2.9087701491903317e-07,1.2663128927670186e-06
1873,2.9690581726526943e-07,1.1906163308594842e-06
1874,2.8976854693496534e-07,1.1841675586765632e-06
1875,3.684663383296538e-07,1.2060979770467384e-06
1876,4.867041951683859e-07,1.1209311878701556e-06
1877,2.9996358463790784e-07,1.2394370969559532e-06
1878,3.9314468480711184e-07,1.2676047163040494e-06
1879,4.1726692145971356e-07,1.2939550515511655e-06
