year,un_DET if_NOUN,un_DET pif_NOUN
1800,0.0,0.0
1801,9.52473055981784e-09,4.7623651688866175e-09
1802,8.951360541686881e-09,0.0
1803,3.900678446910888e-09,1.950339223455444e-09
1804,9.887403562558461e-09,0.0
1805,1.7057265822018053e-08,0.0
1806,0.0,0.0
1807,4.27043254092041e-08,0.0
1808,2.945896149242344e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,2.574139390532082e-08,0.0
1811,1.504246105454854e-08,0.0
1812,3.7340913472405646e-08,2.6672082320544632e-09
1813,2.8757416004054903e-08,0.0
1814,9.440030979135372e-09,0.0
1815,2.157778822287071e-08,0.0
1816,1.622322720606917e-08,0.0
1817,5.1376822796100896e-08,0.0
1818,3.337929510571769e-08,0.0
1819,2.8982940158961412e-08,1.035105001712111e-09
1820,2.254631326081835e-08,0.0
1821,1.0847637232913598e-08,9.86148829262845e-10
1822,2.2056354964661296e-08,0.0
1823,2.7671523072925197e-08,0.0
1824,3.3684449896043134e-08,0.0
1825,2.8177417954466932e-08,8.805443041381977e-10
1826,1.4973572604048968e-08,8.807984341885344e-10
1827,3.3182183667435083e-08,0.0
1828,2.3847982477676055e-08,0.0
1829,4.458051638955851e-08,1.714635211591542e-09
1830,1.0436835617966267e-08,0.0
1831,2.494592976631793e-08,1.5591206103948707e-09
1832,3.923691083151937e-08,0.0
1833,3.1275796175123105e-08,0.0
1834,8.401078055442213e-09,9.334530925997342e-10
1835,3.479020449503878e-08,0.0
1836,1.8818100411266414e-08,6.720750067579218e-10
1837,5.3575760494695146e-08,6.957890930081589e-10
1838,2.2723783299483102e-08,3.787297142565649e-09
1839,7.690622805256453e-09,0.0
1840,1.5287252852491662e-08,1.2739377330817092e-09
1841,1.6693427085101575e-08,6.420548537278137e-10
1842,2.2137275568212544e-08,1.341653010911159e-09
1843,1.7130041496393744e-08,1.1813822142769936e-09
1844,2.4698525891153622e-08,5.488561272137815e-10
1845,3.403938875212731e-08,2.2320911785556063e-09
1846,2.8101605487051984e-08,0.0
1847,2.0494249852731627e-08,0.0
1848,4.8271330266302925e-09,0.0
1849,1.2569122409544775e-08,8.379414939696517e-10
1850,3.1229382635444836e-08,6.788996032014438e-10
1851,6.191461299209777e-08,0.0
1852,4.296960076644041e-08,6.510545436100301e-10
1853,1.074947708623597e-08,5.971931837933653e-10
1854,1.3508727914057772e-08,0.0
1855,4.086341576226005e-08,5.306937111981824e-10
1856,1.760244289217283e-08,0.0
1857,2.9289055181180856e-08,0.0
1858,1.223419043849816e-08,1.468102750479261e-09
1859,2.4442431856286362e-08,1.018434669930457e-09
1860,1.2816114725033856e-08,0.0
1861,3.3011747058164786e-08,4.715963730639317e-10
1862,4.156547495082208e-08,4.517986262886353e-10
1863,1.9479020452184415e-08,4.994620828036034e-10
1864,2.0617331064620714e-08,1.4384183844029508e-09
1865,3.8125440582348347e-08,0.0
1866,2.919367730891409e-08,5.838735717134114e-09
1867,2.0867089389753346e-08,0.0
1868,3.7049054490978506e-08,9.87974813071446e-10
1869,2.197583670593417e-08,0.0
1870,2.4656409358669862e-08,1.1468097582678638e-09
1871,2.230447182505202e-08,0.0
1872,1.9351485303076288e-08,0.0
1873,2.4542617882428175e-08,0.0
1874,1.7923827200228004e-08,0.0
1875,2.0597497707441903e-08,0.0
1876,2.3579457275602067e-08,1.209202959984168e-09
1877,3.092407918625639e-08,0.0
1878,1.6909448730118015e-08,6.039088673581716e-10
1879,1.7717043832021773e-08,1.832797580370027e-09
1880,1.7969970178555172e-08,1.2835692508872398e-09
1881,1.4642265677711208e-08,1.3945015142624584e-09
1882,2.2628309004346647e-08,0.0
1883,2.0221885499438486e-08,1.2638677882037541e-09
1884,1.5183903023796574e-08,6.601696966868076e-10
1885,8.379326621454908e-09,1.2891271383708158e-09
1886,1.4842966578054728e-08,3.2267319927115068e-09
