year,certain_ADJ air_NOUN,certain_ADJ père_NOUN
1800,4.0245306109909507e-07,2.829748035892976e-08
1801,4.548058663012e-07,2.3811825844433088e-09
1802,5.370816325012129e-07,2.2378401354217203e-09
1803,5.148895745321624e-07,0.0
1804,7.390834433351756e-07,4.943701892301533e-09
1805,4.747605641952646e-07,6.53861884636342e-08
1806,5.993871923237748e-07,9.797675204481493e-08
1807,4.98217161748471e-07,5.4092148538131823e-08
1808,4.804076860764894e-07,2.039466551195801e-08
1809,4.0888451291465344e-07,0.0
1810,6.973577750812865e-07,4.44624070894406e-08
1811,6.86939010563492e-07,1.0529722693775057e-07
1812,6.721364824713305e-07,3.200649700829672e-08
1813,6.873022417863694e-07,5.751483289628823e-09
1814,4.908816322313214e-07,2.8320094713762956e-08
1815,3.668224120012553e-07,1.3486117556027466e-08
1816,3.986278791501263e-07,2.7811246638975717e-08
1817,5.760431385226639e-07,6.227493631882908e-09
1818,5.698322702585301e-07,2.98029441125891e-08
1819,5.682726600397814e-07,1.449147024601416e-08
1820,5.600979307018861e-07,3.322614716694261e-08
1821,5.157558344848212e-07,4.2404399991369246e-08
1822,5.223346022376063e-07,1.9048670196752937e-08
1823,5.208175863913311e-07,4.348382276475604e-08
1824,5.692672075952032e-07,2.0210670470532932e-08
1825,5.90845206538404e-07,6.868245350233337e-08
1826,3.9019371000925673e-07,3.8755132436563144e-08
1827,3.972644548322357e-07,1.3825909972453587e-08
1828,5.622620493639374e-07,2.017906314266682e-08
1829,5.17819831458155e-07,5.401100899860012e-08
1830,5.844628239159988e-07,2.6092090266160994e-08
1831,3.1026501345898794e-07,9.354723662369224e-09
1832,5.398457871841345e-07,9.470978667991403e-09
1833,3.7067610136887197e-07,2.20088942626262e-08
1834,4.72327278622231e-07,2.5203234166326638e-08
1835,5.097521480479372e-07,1.1344631900556124e-08
1836,4.529785648799134e-07,3.6292051308617346e-08
1837,4.7104920808394013e-07,2.7135775404474316e-08
1838,4.740433725558546e-07,3.282324145814641e-08
1839,4.6842882861497515e-07,2.027527834513876e-08
1840,3.904619176875457e-07,2.293087852933695e-08
1841,4.5200661880073767e-07,2.5040138851295524e-08
1842,5.091573451743159e-07,2.5491407651401232e-08
1843,5.038595127793144e-07,2.539971788451112e-08
1844,4.2152149903884606e-07,1.6465684149480353e-08
1845,5.290056295237378e-07,9.48638723130557e-09
1846,4.349894542343691e-07,5.854501239355159e-08
1847,3.446269838391913e-07,2.6966119115456877e-08
1848,4.5053242864190324e-07,2.011305477722658e-08
1849,3.829392674070675e-07,1.6758828991214614e-08
1850,4.72514111393707e-07,7.467895635215882e-09
1851,3.682629550194605e-07,2.902247508984601e-08
1852,4.2904494446105446e-07,7.812654745364966e-09
1853,6.288444069912913e-07,1.1346670270029335e-08
1854,5.497013022548458e-07,3.3771819119010615e-08
1855,5.497986990121717e-07,3.8209947206269135e-08
1856,5.208252407129521e-07,1.4496129630003907e-08
1857,5.696721321335474e-07,3.4658714120894274e-08
1858,5.931135289571898e-07,2.3979013163977214e-08
1859,6.334663549267816e-07,2.4442432078330967e-08
1860,5.323265026557777e-07,3.570203510605552e-08
1861,4.961193851293899e-07,3.7256113749606357e-08
1862,4.960749184768076e-07,1.7168348076523898e-08
1863,5.564007468095156e-07,2.0477945561481192e-08
1864,5.130358768923315e-07,2.9727313055616378e-08
1865,4.979841126129259e-07,2.9653119071326728e-08
1866,4.417976597892448e-07,1.1190909532388105e-08
1867,4.940162234845502e-07,1.3102591012170706e-08
1868,5.364703152821448e-07,2.173544577654951e-08
1869,4.800499455726026e-07,2.9301114423674335e-08
1870,4.696186093333665e-07,2.8096839965741083e-08
1871,4.418409815798441e-07,1.593176635061866e-08
1872,4.928581636143292e-07,3.1446164339143934e-08
1873,4.381755167592871e-07,1.1972008717719973e-08
1874,4.719941233410907e-07,1.6131444180444987e-08
1875,4.582943331499223e-07,2.574687130163511e-08
1876,5.024238056705599e-07,1.6928841439778353e-08
1877,4.075793698099517e-07,2.4120782704528665e-08
1878,4.6621763583054587e-07,1.872117483259217e-08
1879,3.958842726969891e-07,1.221865053580018e-08
1880,4.081750315521049e-07,3.3372799634889816e-08
1881,4.2950645529060694e-07,1.3247763996915296e-08
1882,5.064748265226626e-07,1.1314154502173324e-08
1883,4.2276378664496406e-07,1.7062215640351042e-08
1884,4.700408249291854e-07,2.5086448474098688e-08
1885,3.3775132035618327e-07,1.4180398633101277e-08
1886,4.0527753952801504e-07,2.5168509054651622e-08
1887,2.8270242879990803e-07,1.8280988500762874e-08
