year,son_DET art_NOUN,son_DET part_NOUN
1800,9.429349617562366e-06,1.8864986905953174e-08
1801,7.50072515387501e-06,2.3811825844433088e-08
1802,7.210320831063655e-06,1.7902721083373763e-08
1803,8.257735927941212e-06,2.145373123596528e-08
1804,1.0690754919551182e-05,3.213406074564773e-08
1805,8.852721435914646e-06,1.9900143755080535e-08
1806,1.11376510858463e-05,4.3225035106786436e-08
1807,9.856158271759341e-06,1.9928686256776018e-08
1808,1.0473793537357778e-05,3.172503681980743e-08
1809,6.71383854466967e-06,1.8072244145628247e-08
1810,1.107114007936616e-05,8.190443701039385e-08
1811,1.0111040367632995e-05,5.515568801683912e-08
1812,1.167170358939984e-05,2.1337665856435706e-08
1813,1.2216150807375925e-05,1.4378708002027452e-08
1814,8.367014821430985e-06,1.2586708564299443e-08
1815,6.446364160694884e-06,1.888056444521169e-08
1816,6.21117844445962e-06,1.1588019432906549e-08
1817,7.809276809211951e-06,1.5568733857662664e-08
1818,6.792686932044489e-06,3.337929621594071e-08
1819,6.90000979375327e-06,1.7596784473994376e-08
1820,7.226686776107272e-06,3.085285271708926e-08
1821,8.19785518046956e-06,2.1695274687871802e-08
1822,9.42808900106229e-06,2.7069162911175226e-08
1823,9.079224390973195e-06,1.3835761869529506e-08
1824,7.807213421529013e-06,1.0105335235266466e-08
1825,8.221642104899729e-06,2.9057962036560525e-08
1826,5.538460349896468e-06,1.2331177634550272e-08
1827,6.381118240028627e-06,2.3043182195703338e-08
1828,5.922554905168909e-06,2.4765213268995723e-08
1829,7.336066886409753e-06,4.2865881511033876e-08
1830,6.041884375918016e-06,3.652892388572582e-08
1831,5.023486412625289e-06,4.677361609140007e-09
1832,6.815045551888943e-06,2.705993829010822e-08
1833,5.871741173280043e-06,9.266902467608418e-09
1834,6.677923273912256e-06,1.120143711119681e-08
1835,5.631475460177171e-06,1.5882484660778573e-08
1836,5.702556514108892e-06,2.5538851033957144e-08
1837,5.507170861562827e-06,1.530736071231331e-08
1838,5.211321052911444e-06,4.481634974240478e-08
1839,5.649112125638567e-06,1.5381244722334486e-08
1840,5.762020578004012e-06,1.7835128207632778e-08
1841,6.236920846447447e-06,1.3483152372373297e-08
1842,6.659965528399425e-06,1.0062397137744483e-08
1843,6.385370959094416e-06,1.6539351221922516e-08
1844,5.765184795336609e-06,1.3721403568922597e-08
1845,6.1577816836688726e-06,6.696273757711424e-09
1846,5.876748318200953e-06,1.6978054073746307e-08
1847,6.598069873575696e-06,2.1572894581822766e-08
1848,5.613955785577218e-06,8.84974404868899e-09
1849,5.803582666885632e-06,9.217356655710773e-09
1850,6.237050776292108e-06,2.0366988096043315e-08
1851,6.2759488415053966e-06,1.9348317170653218e-08
1852,7.018367981004303e-06,2.0182691296000144e-08
1853,6.4514780149238504e-06,2.269334054005867e-08
1854,7.134686221377251e-06,9.871762074453727e-09
1855,7.226456276043791e-06,1.6982198758341838e-08
1856,6.2949444412652156e-06,1.346069211649592e-08
1857,5.937867442185052e-06,1.8549734193129552e-08
1858,5.853325752980254e-06,1.7127866180910445e-08
1859,6.4568756812377615e-06,1.9350258062544867e-08
1860,5.873442340487145e-06,1.4189270286513178e-08
1861,6.493881883784525e-06,1.7920662287451705e-08
1862,6.149883049033633e-06,1.626475137905814e-08
1863,5.916128564820156e-06,1.1987089820753027e-08
1864,5.62517487878722e-06,2.06173303984869e-08
1865,5.3799230030904255e-06,2.541695881541628e-08
1866,5.481112914651476e-06,1.654308451337627e-08
1867,5.431266757227604e-06,1.2132028714972876e-08
1868,5.46893436847995e-06,1.6301584082611953e-08
1869,5.303990327831798e-06,2.2952540756904227e-08
1870,6.145180030614483e-06,2.0069170769687616e-08
1871,3.7970707928991487e-06,2.124235387590545e-08
1872,4.80158755777893e-06,1.9956219343697512e-08
1873,4.779824685385847e-06,7.781805422268917e-09
1874,4.348320700842123e-06,1.2546678862523919e-08
1875,4.67391539871187e-06,2.4602566539577708e-08
1876,5.509128506275829e-06,1.4510435297765412e-08
1877,4.843329499237825e-06,2.8450154232473324e-08
1878,5.6568143733670695e-06,2.777980856460971e-08
1879,4.589325207859929e-06,2.321543546290883e-08
1880,6.126475867063164e-06,1.3477477356360623e-08
1881,4.803360489802344e-06,1.045876146799074e-08
1882,5.152599115376688e-06,1.5307385581309063e-08
1883,5.379021359885883e-06,1.3902545781263598e-08
1884,4.862809916517108e-06,1.4523733327109767e-08
1885,5.103654487470521e-06,1.418039830003437e-08
1886,5.762943146692123e-06,1.8715045235762062e-08
1887,5.4046438009436315e-06,1.828098838974057e-08
1888,5.2012063491702065e-06,7.608737861986015e-09
1889,5.148689368184023e-06,8.144677543509005e-09
1890,4.943973564763837e-06,1.5730527991308918e-08
1891,5.016511224198439e-06,1.1473596073230397e-08
1892,4.984093976645454e-06,1.56712811616444e-08
1893,5.550580709723363e-06,1.662772508570498e-08
1894,5.77536093260278e-06,1.1972924207626079e-08
1895,5.7200912664256975e-06,1.38428128959589e-08
1896,5.602177495234173e-06,1.0614651768658945e-08
1897,5.206168452787097e-06,1.0488084178916779e-08
1898,5.8677140941654216e-06,6.224190496340043e-09
1899,5.90621749552156e-06,1.2160672469008205e-08
1900,6.22199631550302e-06,1.1939421895590385e-08
1901,5.706661198701113e-06,1.2854099173953415e-08
1902,5.162672437108995e-06,1.9150106222998176e-08
1903,5.648090365184544e-06,1.0800440986002968e-08
1904,6.030867027106979e-06,1.5586413049106795e-08
1905,6.53403679962139e-06,2.0643036835465978e-08
1906,6.418399237873018e-06,7.716276506641861e-09
1907,6.826096026202322e-06,5.657127544189677e-09
1908,6.951089034146207e-06,2.1118973014822018e-08
1909,7.355915329299023e-06,1.3202360704678284e-08
1910,6.9794606361028855e-06,8.016225794271747e-09
1911,7.4325628531823895e-06,1.0108710979395141e-08
1912,7.536990807466282e-06,1.1981668990301841e-08
1913,7.332974163887229e-06,1.0075680734189518e-08
1914,6.850768940580565e-06,1.2054138354145039e-08
1915,4.376552823259772e-06,1.8849218630379028e-08
