year,on_PRON eut_VERB,on_PRON pue_VERB
1800,5.929894314249395e-06,0.0
1801,6.338708203657006e-06,0.0
1802,6.118254759712727e-06,2.2378401354217203e-09
1803,5.84906729272916e-06,0.0
1804,5.180999664844421e-06,0.0
1805,5.964357342236326e-06,2.842877711017877e-09
1806,6.129310122560128e-06,0.0
1807,5.394980007622507e-06,0.0
1808,5.309411108100903e-06,0.0
1809,6.39757422504772e-06,0.0
1810,5.94626214933669e-06,0.0
1811,5.294946163303393e-06,2.5070767684098882e-09
1812,5.590468617810984e-06,0.0
1813,6.223104946911917e-06,5.751483289628823e-09
1814,6.721302270307206e-06,3.1466771410748606e-09
1815,6.51109769478353e-06,0.0
1816,4.994436494598631e-06,0.0
1817,6.2788705008642864e-06,1.556873407970727e-09
1818,6.5864506950674695e-06,0.0
1819,6.886553592266864e-06,0.0
1820,6.812546871515224e-06,1.1866481131050932e-09
1821,6.403064276128134e-06,9.86148829262845e-10
1822,8.401466288887605e-06,0.0
1823,7.708495559199946e-06,9.882686891060644e-10
1824,7.4358423489684355e-06,0.0
1825,7.584128184134897e-06,0.0
1826,6.572518032044172e-06,0.0
1827,5.951593379904807e-06,0.0
1828,6.473810344687081e-06,0.0
1829,6.829392077634111e-06,8.57317605795771e-10
1830,6.741152219547075e-06,0.0
1831,4.992304184270324e-06,0.0
1832,5.789473789263866e-06,0.0
1833,5.417662919171562e-06,0.0
1834,5.154527798367781e-06,0.0
1835,5.631475232803496e-06,7.563087933704082e-10
1836,5.711293511012627e-06,0.0
1837,6.700448921037605e-06,2.0873671680021744e-09
1838,6.978726105444366e-06,1.8936485712828244e-09
1839,6.307009698502952e-06,0.0
1840,5.6779405213092105e-06,6.369688665408546e-10
1841,5.287963972477883e-06,0.0
1842,6.060917598915694e-06,2.0124795163667386e-09
1843,5.129561486683087e-06,0.0
1844,5.679014179804653e-06,1.6465684371524958e-09
1845,5.694064725503267e-06,0.0
1846,5.426537086350436e-06,0.0
1847,5.063697926743771e-06,5.393223645455691e-10
1848,4.845636908612505e-06,3.2180886289090438e-09
1849,4.795539098267909e-06,0.0
1850,5.515380507858936e-06,6.788996032014438e-10
1851,5.200182386033703e-06,0.0
1852,4.107503059458395e-06,1.9531636308300904e-09
1853,4.636607968677708e-06,0.0
1854,5.385305939853424e-06,0.0
1855,5.199206270845025e-06,5.306937111981824e-10
1856,5.794310254714219e-06,2.070875637638636e-09
1857,7.3940220772783505e-06,0.0
1858,5.994753337290604e-06,9.787352039936081e-10
1859,5.51329605968931e-06,0.0
