year,en_ADP otage_NOUN,en_ADP potage_NOUN
1800,4.307505321321514e-07,3.144164395507687e-08
1801,7.095924274835852e-07,2.3811825400343878e-08
1802,8.817090133561578e-07,7.384872446891677e-08
1803,8.737519578971842e-07,3.705644502360883e-08
1804,2.84262853256223e-07,2.2246658204494452e-07
1805,6.481761261056818e-07,2.103729457303416e-07
1806,3.8326200524352316e-07,6.627838899930794e-08
1807,7.088918323461257e-07,2.2775640928784924e-08
1808,6.684918503196968e-07,5.211970233176544e-08
1809,7.002994379945449e-07,1.1746958961111886e-07
1810,4.001616673576791e-07,2.8081521108447305e-08
1811,9.928023700922495e-07,2.757784400841956e-08
1812,5.387760779740347e-07,2.1337665856435706e-08
1813,8.368407975467562e-07,2.8757416448144113e-09
1814,9.628831776353763e-07,2.2026739543434815e-08
1815,6.230586677702377e-07,6.47333635583891e-08
1816,4.519327490015712e-07,3.9399267848239106e-08
1817,8.251429335359717e-07,3.7364962679475866e-08
1818,1.0228370683762478e-06,3.337929754820834e-08
1819,1.4108480854702066e-06,6.624672010957511e-08
1820,1.0169574125029612e-06,3.441279616822612e-08
1821,8.618940796623065e-07,1.1833785507064931e-08
1822,1.0396563538961345e-06,1.303330066093622e-08
1823,9.675150067778304e-07,1.581229902569703e-08
1824,1.312851509283064e-06,2.7789671008804362e-08
1825,1.3349051641853293e-06,3.3460683113162304e-08
1826,1.5986491916919476e-06,3.170874407487645e-08
1827,8.784061265032506e-07,3.6869092667757286e-08
1828,1.0548146747169085e-06,2.935136400594729e-08
1829,9.241883844879339e-07,1.1145129263923081e-08
1830,6.324722789941006e-07,8.349468672008697e-09
1831,7.374640631496732e-07,1.091384405071949e-08
1832,5.114328587296768e-07,2.0294953273491956e-08
1833,7.471440426343179e-07,3.70676112027013e-08
1834,6.506168119813083e-07,1.4001796166951408e-08
1835,9.400918088431354e-07,2.4958190181223472e-08
1836,1.000047632260248e-06,2.2178475944656384e-08
1837,9.36532103423815e-07,2.0873672568200163e-08
1838,1.1374515906936722e-06,4.1660268124132926e-08
1839,1.1046530516978237e-06,3.4957377437194737e-08
1840,1.1261610097790253e-06,2.6115722917552375e-08
1841,8.834674645186169e-07,2.1829865914924085e-08
1842,7.647421966794354e-07,2.0795621225033756e-08
1843,8.122002554955543e-07,1.594865928211675e-08
1844,9.594004950486124e-07,1.756339607084101e-08
1845,8.057849072429235e-07,1.1160455670733427e-08
1846,8.289973720820853e-07,3.922516000898213e-08
1847,9.35724301598384e-07,1.7258315665458213e-08
1848,6.959116944926791e-07,4.34441957963827e-08
1849,5.815314239043801e-07,1.8434713311421547e-08
1850,7.332115501412773e-07,3.937617609750532e-08
1851,6.178562443892588e-07,3.8696633453128015e-08
1852,6.881646754663961e-07,1.4974254725075298e-08
1853,6.198865207807103e-07,2.269334054005867e-08
1854,6.847885742899962e-07,2.338049043260071e-08
1855,7.594226758556033e-07,3.767925349507095e-08
1856,6.031425527908141e-07,2.3815070804289462e-08
1857,6.575392603735963e-07,1.4156376515472857e-08
1858,7.922861300357908e-07,1.2234189661342043e-08
1859,7.017014809207467e-07,2.4442432078330967e-08
1860,8.307588927891629e-07,1.6935580049448618e-08
1861,5.838363108523481e-07,1.3676294763342867e-08
1862,6.528489961965533e-07,1.8523744316212287e-08
1863,6.577915883099195e-07,1.4983863039219614e-08
1864,4.5166336803958984e-07,1.582260189536555e-08
1865,5.229304065323959e-07,3.153585836912498e-08
1866,4.422842039275565e-07,2.2868380966656332e-08
1867,4.498556336329784e-07,3.2513838732484146e-08
1868,4.361908736427722e-07,2.8157282727647726e-08
1869,4.2974969005626917e-07,5.371870948067681e-09
1870,4.5585687757920823e-07,2.5229814681893004e-08
1871,3.6430637351259065e-07,1.0621176826930423e-08
1872,4.813682039639389e-07,1.5723081503438152e-08
1873,3.4419525718476507e-07,3.831042860724665e-08
1874,3.7580292655547964e-07,5.974608974224083e-09
1875,3.4271948834430077e-07,2.0025344937835143e-08
1876,3.6215629961589e-07,4.232210137899983e-09
1877,3.914988440101297e-07,2.9068635498674666e-08
1878,3.683844056467933e-07,9.058632954861423e-09
1879,4.2276531075913226e-07,1.466238042091561e-08
1880,3.4720548569566745e-07,1.0910338410496934e-08
1881,4.030109437280771e-07,1.3945014920579979e-08
1882,3.5606311143965286e-07,1.8635077481121698e-08
1883,2.818425173245487e-07,2.3381554747903266e-08
1884,3.4724925512819027e-07,2.442627788923346e-08
1885,3.893163977863878e-07,2.3848851782304337e-08
1886,3.93661309772142e-07,1.355227396970804e-08
1887,2.546280484239105e-07,1.1099172247952538e-08
1888,2.980088993354002e-07,1.521747527988282e-08
1889,3.6964306104891875e-07,1.1903759755682586e-08
1890,2.418568669781962e-07,1.1142456735058204e-08
1891,2.8301536758590373e-07,7.649063604731055e-09
1892,2.952469344563724e-07,1.5044429702015805e-08
1893,3.036099371911405e-07,1.4780200174868696e-08
1894,2.835692782809929e-07,1.071261657159539e-08
1895,2.708376598548057e-07,1.685212125401847e-08
1896,3.314130196940823e-07,1.3563166589847242e-08
1897,2.1092702695568732e-07,1.2818770045441852e-08
1898,2.1728082799654658e-07,1.1316709347397591e-08
1899,2.49293776732884e-07,1.2160672469008205e-08
1900,2.829123957326374e-07,5.71015834616162e-09
1901,2.7440708549875126e-07,7.265360812969135e-09
1902,1.9444723875494674e-07,8.347482705062248e-09
1903,2.3220947298341343e-07,1.2420506401156217e-08
1904,2.687312701254996e-07,6.987012746151322e-09
1905,2.0281783008613274e-07,1.5482276793932215e-08
