year,un_DET anneau_NOUN,un_DET panneau_NOUN
1800,3.77614163582507e-06,1.2576657937302116e-07
1801,3.3288931717834203e-06,1.0000967165524344e-07
1802,3.2806736669499514e-06,2.3721105435470236e-07
1803,4.719820763554594e-06,1.7553053055507917e-07
1804,3.2826181026734957e-06,1.60670310833666e-07
1805,4.420674979854766e-06,2.4164460121767206e-07
1806,2.9882909799994195e-06,1.2103009794373065e-07
1807,2.5366369911239417e-06,1.7366426163789583e-07
1808,2.979887398169012e-06,2.900574713748938e-07
1809,3.352401392930915e-06,2.2364402441077402e-07
1810,2.9743011396021757e-06,1.4508785772804345e-07
1811,3.517428716293125e-06,3.484836597067442e-07
1812,3.4913755868615226e-06,1.360276140616179e-07
1813,3.519907721738491e-06,1.7542023478256397e-07
1814,2.665235612653305e-06,4.87734958198871e-07
1815,3.2016043505223024e-06,1.429528548868575e-07
1816,5.045423581151454e-06,1.668674798338543e-07
1817,3.8921835923133585e-06,9.18555316253844e-08
1818,3.624037866245544e-06,1.2994082965178677e-07
1819,3.0473491392513097e-06,6.003609342997152e-08
1820,3.080538533595245e-06,1.0679833017945839e-07
1821,2.6566849342657406e-06,1.4200543718700942e-07
1822,2.840256996705648e-06,1.3935606091308728e-07
1823,3.3492424975634094e-06,1.7492356185755398e-07
1824,3.0417058241027917e-06,9.768490816242092e-08
1825,3.6947639081574835e-06,2.3334424614773752e-07
1826,3.470345784961637e-06,1.9113326032993427e-07
1827,3.4795204975068827e-06,1.5024154675913337e-07
1828,3.939503443461945e-06,2.1830077390205815e-07
1829,2.932026255564324e-06,2.331903878882713e-07
1830,3.1832349343119404e-06,1.9412515128713892e-07
1831,3.4815162166523805e-06,1.1381580744540543e-07
1832,3.819510361324774e-06,3.96428100124524e-07
1833,3.879357116431947e-06,1.4016190386101357e-07
1834,3.734745774863768e-06,2.2122838805316292e-07
1835,3.857174768029381e-06,2.2613633632317942e-07
1836,3.186979704139503e-06,1.4718443352990107e-07
1837,3.745432692880968e-06,1.79513585996105e-07
1838,3.671784469361228e-06,2.0451405102761555e-07
1839,3.3761833364565064e-06,2.740658349154046e-07
1840,3.4746651849104637e-06,2.3886333000433524e-07
1841,3.944143188050475e-06,2.5425373628706893e-07
1842,3.2501543500984553e-06,2.1801860938808204e-07
1843,3.3663486931345687e-06,2.971176380484053e-07
1844,3.518716646055964e-06,2.61255515443537e-07
1845,3.7638637877535075e-06,3.286754139963932e-07
1846,4.143816177304416e-06,2.6462345203981386e-07
1847,3.1021823012622463e-06,3.28986633491013e-07
1848,3.403933327206232e-06,2.7273300950980683e-07
1849,3.231940375769682e-06,2.6981716061413863e-07
1850,3.509911010723954e-06,2.702020349687473e-07
1851,3.1750586337864206e-06,2.6765171412534983e-07
1852,3.927160967975851e-06,3.079487935764291e-07
1853,3.6727380674506094e-06,2.788892210503491e-07
1854,3.3979646474335823e-06,2.369223013332089e-07
1855,3.5938577980232367e-06,3.4972716633774326e-07
1856,2.9308067581723662e-06,3.215034443115883e-07
1857,3.7734065685413043e-06,3.124165726120509e-07
1858,3.940877078889571e-06,3.151527483424843e-07
1859,3.3598160200654092e-06,3.228437837066167e-07
1860,3.5528101349768804e-06,3.7075189238122697e-07
1861,3.5902631410067443e-06,3.187991386432998e-07
1862,3.3315629721641926e-06,3.6414969351028503e-07
1863,3.195058980054455e-06,3.775933468119774e-07
1864,3.675638382105717e-06,3.375488599743903e-07
1865,3.6285062350316366e-06,3.290084205076482e-07
1866,3.835562552012561e-06,4.5639450263479375e-07
1867,4.683448537434742e-06,4.925603747096829e-07
1868,4.282870591509891e-06,5.260965991737976e-07
1869,3.703660851783752e-06,4.1949429174792385e-07
1870,4.1766810454646475e-06,5.0746334601115e-07
1871,4.380173649565222e-06,3.813002553698652e-07
1872,4.221042942731401e-06,3.2957999041016706e-07
1873,4.787606172840242e-06,4.489503488969149e-07
1874,5.169231883428438e-06,4.451083857048843e-07
1875,5.1184782847712995e-06,5.864565366664465e-07
1876,4.6796156141226675e-06,4.407544906825933e-07
1877,4.62933476796934e-06,6.098228446660414e-07
1878,4.4791922988451915e-06,5.676743093374625e-07
1879,4.326013041122678e-06,3.9344056013135287e-07
1880,4.355792157184624e-06,5.32039468481571e-07
1881,4.9177096315133895e-06,5.961494249362431e-07
1882,4.680732381245889e-06,5.776874090202e-07
1883,5.2747521834817235e-06,6.711137885417884e-07
1884,5.014649033796559e-06,6.291417342652039e-07
1885,4.908996132257926e-06,6.1942559881345e-07
1886,5.291195193990461e-06,6.918113406584325e-07
1887,5.076891667954442e-06,5.758511480991046e-07
1888,4.450477341322312e-06,6.651305000104912e-07
1889,5.150568682665835e-06,7.399126253915256e-07
1890,4.77290430467292e-06,6.541277990379513e-07
1891,5.021610640199015e-06,6.100128686625794e-07
1892,4.4318383132235795e-06,6.757456390005245e-07
1893,4.731511367594976e-06,5.67190173939025e-07
1894,4.117425675076447e-06,6.320444185803353e-07
1895,4.057148018432599e-06,6.433899173430291e-07
1896,3.952778619975561e-06,5.979587349713711e-07
1897,4.822770762302753e-06,6.741507743157626e-07
1898,4.74056992061378e-06,6.767392193296473e-07
1899,4.543669660961314e-06,6.61098354726164e-07
1900,4.140903044458355e-06,7.843681189001472e-07
1901,4.3977788735105605e-06,7.734814744253526e-07
1902,1.0659735266926873e-05,1.414161744150988e-06
1903,4.114967850910034e-06,8.829360069739778e-07
1904,3.837482495328004e-06,7.261118497581265e-07
1905,3.871601371940869e-06,8.412037324490029e-07
1906,4.078309316923878e-06,8.240983788709855e-07
1907,3.7830755701406815e-06,8.429120370578858e-07
1908,3.717921480017594e-06,9.346373417429277e-07
1909,3.6614546417013116e-06,7.981927261369037e-07
1910,3.446977167698151e-06,6.963428162976015e-07
1911,3.685955270782415e-06,8.065687282510225e-07
1912,3.667953592412232e-06,7.939157988801071e-07
1913,3.965045621612262e-06,7.827212797906213e-07
1914,3.6791909749922524e-06,8.056182885241014e-07
1915,3.639077306161198e-06,5.124631385911016e-07
1916,3.3555708398580464e-06,5.328919243652308e-07
1917,2.884169610695153e-06,6.17409707359684e-07
1918,3.258685005391726e-06,6.317506997532973e-07
1919,3.196044104925022e-06,7.642514034955639e-07
1920,3.1614067168561633e-06,9.472861819403988e-07
1921,3.447871961270721e-06,7.822648093736007e-07
1922,3.3761433755330472e-06,8.381334559715015e-07
1923,3.2930671238773357e-06,8.025656583754426e-07
1924,3.4098346617383868e-06,8.108831508479852e-07
1925,3.0497948202423686e-06,7.071828314053619e-07
1926,2.921402860067701e-06,8.448773023417289e-07
1927,3.2499991107215465e-06,7.938247996719383e-07
1928,3.5809214224968855e-06,9.56359649251226e-07
1929,3.005681655565695e-06,9.480485729795873e-07
1930,3.1846925239165103e-06,9.379718122204395e-07
1931,2.886695870785161e-06,8.793530241746339e-07
1932,2.9985291050138585e-06,8.712831380819352e-07
1933,3.326492048927321e-06,7.570637023945892e-07
1934,3.2074689713113003e-06,8.458995850446627e-07
1935,3.415748231816451e-06,9.957612547850658e-07
1936,3.4931301797769265e-06,9.80889417689923e-07
1937,3.102451522352112e-06,1.0777996877209262e-06
1938,3.343728806726176e-06,8.881171993380121e-07
1939,3.9672765410614375e-06,9.81878017114468e-07
1940,1.2869098327428219e-05,7.404485877771094e-07
1941,3.916643954937626e-06,7.260696648359044e-07
1942,4.924525853766681e-06,6.948345081525531e-07
1943,3.225494246805738e-06,6.851635170335157e-07
1944,3.4477487957929043e-06,8.000833702226373e-07
1945,2.895231766331108e-06,8.692231290297059e-07
1946,2.7702997797973694e-06,9.911826310826655e-07
1947,3.863554255190138e-06,8.583027160113943e-07
1948,4.472694797641452e-06,8.838844784975208e-07
1949,2.870493190698653e-06,7.392207308498655e-07
1950,3.278882047652587e-06,8.667819670904464e-07
1951,3.1440474117516715e-06,9.136821361721559e-07
1952,4.10509224479938e-06,1.223197301669643e-06
1953,3.2526184767789346e-06,1.143103069978224e-06
1954,5.217557216496971e-06,1.1414322358405116e-06
1955,3.4370096386737714e-06,1.1018703105492023e-06
1956,3.6846822695224546e-06,1.0814215087862067e-06
1957,3.99167007003598e-06,1.349110270609799e-06
1958,3.7936508050506745e-06,1.3161139804651611e-06
1959,4.053640950019144e-06,1.1889646813756372e-06
1960,3.5171673999911945e-06,1.187615026765343e-06
1961,3.922930744693076e-06,1.150615148048928e-06
1962,3.404362246328674e-06,1.1180869208260447e-06
1963,3.877692208220651e-06,1.3714499189632079e-06
1964,3.99351701219075e-06,1.1516952369561295e-06
1965,3.140405638646371e-06,1.207132726221971e-06
1966,4.159844962714487e-06,1.1842542306794712e-06
1967,3.737687421789815e-06,1.088125095805026e-06
1968,3.894955796113209e-06,1.0680587365641259e-06
1969,3.6206893128110096e-06,1.0777591370469963e-06
1970,4.089645969429512e-06,9.776889555723756e-07
1971,4.293131098620506e-06,1.1679577553991294e-06
