year,un_DET or_NOUN,un_DET porc_NOUN
1800,4.4961552170263985e-07,3.3013728106823237e-07
1801,5.762461718905598e-07,4.809988898291095e-07
1802,6.019789964284428e-07,4.31903146136392e-07
1803,3.335080056565687e-07,5.636480309156866e-07
1804,6.67399774556543e-07,4.0538355250419045e-07
1805,4.264316615376629e-07,4.520175485023259e-07
1806,4.2072369854651015e-07,5.849788315970272e-07
1807,4.128084847287994e-07,2.5053206309522125e-07
1808,5.053345026873046e-07,5.98243512506258e-07
1809,2.6430655797327063e-07,3.749990797885516e-07
1810,3.5803939590906e-07,7.113985081019791e-07
1811,7.420947225611485e-07,5.69106452630308e-07
1812,4.4275655497472144e-07,2.1337665678800022e-07
1813,4.486157074712338e-07,2.9620139230246423e-07
1814,2.5488085952929396e-07,8.810696243699567e-07
1815,2.8051123601713357e-07,1.7531953755423046e-07
1816,3.3373494900956757e-07,2.897004840463069e-07
1817,3.596377702308473e-07,4.390383063768155e-07
1818,4.1128063266171466e-07,3.9697520293202615e-07
1819,4.3370898339389896e-07,2.4221457373130306e-07
1820,5.339916668845035e-07,3.6311432793922904e-07
1821,3.9939027973723285e-07,3.3035985480545094e-07
1822,4.210758675071702e-07,3.5991961055970023e-07
1823,3.3996441639594366e-07,4.931460648727182e-07
1824,3.9747652991195537e-07,3.4021294759156717e-07
1825,3.971254782797473e-07,4.0152819824612607e-07
1826,3.1796822663743285e-07,3.3558420398094313e-07
1827,3.659257501453794e-07,4.166207308031744e-07
1828,3.3754069272973197e-07,2.999342463283483e-07
1829,2.700550321144135e-07,4.1665635103216303e-07
1830,2.661393030400916e-07,3.8825028036981735e-07
1831,3.3677005895071943e-07,3.9757574277210495e-07
1832,3.084832966848694e-07,3.301312645476173e-07
1833,3.312917766784551e-07,5.328469280252435e-07
1834,4.2005388944943434e-07,4.5645857249532185e-07
1835,4.00843653380889e-07,4.6512990792280107e-07
1836,3.803944532698722e-07,4.2139103334504213e-07
1837,3.0266826422931103e-07,4.453050088670807e-07
1838,4.336455154962948e-07,4.847740395774736e-07
1839,2.712692359629898e-07,3.5586607638471435e-07
1840,3.044711236466213e-07,5.452453351040276e-07
1841,3.890852333654493e-07,5.040130837130619e-07
1842,3.0790937222135994e-07,5.695316991349841e-07
1843,3.142476772133307e-07,4.731435894189673e-07
1844,2.969311720946166e-07,5.537958085444217e-07
1845,2.818015216732306e-07,6.819038436134406e-07
1846,2.359364073001302e-07,5.093416437507159e-07
1847,2.389198110464008e-07,4.2983991832556967e-07
1848,2.622742316660265e-07,4.931720807288542e-07
1849,2.1702684072089085e-07,4.290260422479264e-07
1850,2.4033045598059743e-07,5.879270350561683e-07
1851,2.8313036226634836e-07,4.856427262556196e-07
1852,2.994851013848887e-07,6.152465568121102e-07
1853,3.039713381003395e-07,5.53598053620874e-07
1854,3.0342679568917674e-07,4.99303356882308e-07
1855,3.157627688210596e-07,6.601829731778253e-07
1856,3.05454175508757e-07,4.788900100360927e-07
1857,4.0760602182388084e-07,5.423356511102817e-07
1858,2.8089699988242955e-07,5.201977399393876e-07
1859,2.8261562801112916e-07,5.596298606747041e-07
1860,2.3984443742186556e-07,6.055614543143406e-07
1861,2.801282459330423e-07,6.121321106111743e-07
1862,3.203252283423552e-07,5.159540172883226e-07
1863,3.156600310028068e-07,6.303211677050058e-07
1864,3.04944698381604e-07,7.000303043902534e-07
1865,2.7676245673013966e-07,6.203620657174724e-07
1866,3.4643163537850796e-07,7.215703847762711e-07
1867,2.9747733343299387e-07,6.35233043055905e-07
1868,2.657652117266096e-07,6.253880817652657e-07
1869,2.1878165790134574e-07,5.757669248040997e-07
1870,2.6204603731372345e-07,5.739783057734371e-07
1871,1.6993883589222492e-07,6.351464163500964e-07
1872,2.666876723900202e-07,5.309564183875182e-07
1873,2.3405277038701655e-07,5.986004443236936e-07
1874,1.8162811832311831e-07,7.462286939485807e-07
