year,son_DET otage_NOUN,son_DET potage_NOUN
1800,0.0,8.489244152087849e-08
1801,6.905429472681135e-08,3.333655662629553e-08
1802,2.2378401354217203e-09,8.951360541686881e-09
1803,1.755305234496518e-08,1.3652374342143503e-08
1804,0.0,2.4718509905596875e-08
1805,0.0,1.421438877713399e-08
1806,0.0,2.0171682990621775e-08
1807,2.8469551160981155e-09,1.7081731584767113e-08
1808,0.0,1.5862517965814504e-08
1809,4.518061036407062e-09,6.7770917766551975e-09
1810,1.4040760554223652e-08,1.4040760554223652e-08
1811,0.0,1.2535384286138651e-08
1812,0.0,4.800974906515876e-08
1813,1.4378708002027452e-08,5.751483289628823e-09
1814,1.5733386149463513e-08,1.2586708564299443e-08
1815,0.0,8.091670444798638e-09
1816,6.952811659743929e-09,4.6352077731626196e-09
1817,2.9580593974287694e-08,4.0478710161551135e-08
1818,1.1921176934492905e-08,3.457141417584353e-08
1819,2.2772310259711048e-08,4.140420029052905e-08
1820,1.1866481131050932e-08,3.678609061807947e-08
1821,2.070912508145284e-08,3.0570614484304315e-08
1822,3.308453244699194e-08,3.408709403629473e-08
1823,4.941343334508019e-09,2.3718449426723964e-08
1824,5.3053010873327366e-08,2.6947560627377243e-08
1825,3.434122675116669e-08,5.987701001686219e-08
1826,1.9377566218281572e-08,5.2847905607222856e-08
1827,8.295545583791863e-09,1.1982455028203276e-08
1828,1.3758452155343548e-08,9.906085551847355e-08
1829,1.5431716349212365e-08,6.258418494553553e-08
1830,1.5655253093882493e-08,3.757260813586072e-08
1831,3.1182412207897414e-09,4.053713453799901e-08
1832,6.764984572527055e-09,7.306183669175681e-08
1833,0.0,1.9692167896323554e-08
1834,1.8669061851994684e-09,5.2273371409228275e-08
1835,3.025235173481633e-09,5.218530674255817e-08
1836,1.008112526790228e-08,2.2850549896702432e-08
1837,2.1569462660409044e-08,7.723258788061571e-08
1838,9.468243078458727e-09,3.3454458758797045e-08
1839,1.7478688718597368e-08,4.4046291947097416e-08
1840,1.0191501864653674e-08,4.968357103507515e-08
1841,8.346713542550788e-09,3.980740004294603e-08
1842,1.475818312002275e-08,5.567860084099152e-08
1843,4.7255288571079745e-09,3.4260084658122025e-08
1844,1.0428266250528395e-08,2.305195678786731e-08
1845,3.9061593959388574e-09,3.5155435007538927e-08
1846,9.367202125076801e-09,2.985795788390533e-08
1847,3.235934187273415e-09,1.5101026207275936e-08
1848,8.045221711050488e-10,2.815827571112095e-08
1849,1.256912263158938e-08,3.603148357456121e-08
1850,4.073397619208663e-09,2.7834882843080777e-08
1851,7.739326512989919e-09,2.6442698919382224e-08
1852,2.148479971708639e-08,4.231854533465196e-08
1853,1.791579506971175e-08,5.4941772020811186e-08
1854,1.7145692865483397e-08,6.026970789108077e-08
1855,1.751289246954002e-08,2.653468555990912e-08
1856,2.3815070804289462e-08,6.005539504583268e-08
1857,2.39193944651106e-08,2.2064421001388723e-07
1858,5.872411001917044e-09,5.334106845111819e-08
1859,6.110608019582742e-09,4.277425702525761e-08
1860,6.865775947773045e-09,5.2179895959625355e-08
1861,5.187560159214399e-09,5.470517816519305e-08
1862,2.5300723294208183e-08,7.364317877733839e-08
1863,3.995696662428827e-09,2.8968800691586694e-08
1864,1.4384183621984903e-08,3.8837296045812764e-08
1865,7.530950973944073e-09,5.17752880568878e-08
1866,1.4596839292835284e-09,2.870711546254512e-08
1867,1.455843445796745e-09,5.968958127766655e-08
1868,1.877152122631287e-08,6.570032373698353e-08
1869,7.325278605918584e-09,6.39741019048401e-08
1870,1.2614907340946502e-08,3.899153044883974e-08
1871,4.248470908407853e-09,3.3987767267262825e-08
1872,1.8746751706544273e-08,4.414557774889971e-08
1873,1.1972008939764578e-09,5.267683889087493e-08
1874,2.0313670745508716e-08,4.301718448118663e-08
1875,1.4303817685856757e-08,4.63443683429432e-08
1876,0.0,3.869449383131496e-08
1877,1.5462040536817767e-08,6.061119639522161e-08
1878,2.4156354694326865e-09,3.381889779330294e-08
1879,1.0385853066452455e-08,5.376206146934237e-08
1880,4.492492600149944e-09,6.161132315440909e-08
1881,1.5339516323820135e-08,5.0899305881202395e-08
1882,5.324308105514319e-09,5.457415852561098e-08
1883,1.1374810426900694e-08,5.245051326596695e-08
1884,4.621187876807653e-09,4.951272547515373e-08
1885,8.379326565943757e-09,5.1565084646654213e-08
1886,7.744156427236248e-09,5.679048342699389e-08
1887,4.570247291724172e-09,5.8760320276185496e-08
1888,6.340614699951175e-09,7.101488330718553e-08
1889,5.6386229019267375e-09,5.0121093497779157e-08
1890,7.865263995654459e-09,5.1779652843197965e-08
1891,1.5935549768641977e-08,5.864282570655632e-08
1892,1.2537024751679837e-08,5.829716442917743e-08
1893,6.15841644346915e-09,4.865149000332636e-08
1894,1.8904617871129403e-09,6.175508815431385e-08
1895,1.1435367319734269e-08,4.273216447359118e-08
1896,1.2973464080801023e-08,6.427761434224522e-08
1897,1.0488084178916779e-08,6.059781798573027e-08
1898,1.6975064687230201e-09,4.639851169940812e-08
1899,7.738609753005221e-09,3.040168117252051e-08
1900,9.863001082521805e-09,5.9178007605353855e-08
1901,4.470991132876634e-09,4.806315367922309e-08
1902,5.892340837476695e-09,3.289890315727462e-08
1903,5.400220270956879e-09,2.7001101798873606e-08
1904,9.674325340824907e-09,4.2997003291134206e-08
1905,6.192911072844254e-09,5.728442431518488e-08
1906,4.629765903985117e-09,3.600929332492342e-08
