year,en_ADP âges_NOUN,en_ADP ages_NOUN,en_ADP page_NOUN
1800,1.2576657937302116e-08,3.144164484325529e-09,5.0306631749208464e-08
1801,2.8574191901498125e-08,0.0,6.667310969987739e-08
1802,1.1189200677108602e-08,0.0,5.818384352096473e-08
1803,3.900678446910888e-09,0.0,7.801356893821776e-09
1804,7.4155526164076946e-09,0.0,5.9324420931261557e-08
1805,0.0,2.842877711017877e-09,6.538618890772341e-08
1806,2.305335300434308e-08,0.0,9.797675204481493e-08
1807,5.693910232196231e-09,0.0,5.124519120158766e-08
1808,3.3991110370834576e-08,0.0,2.7192888385485503e-08
1809,0.0,0.0,8.132509976555014e-08
1810,0.0,0.0,1.4274773407763064e-07
1811,5.0141535368197765e-09,0.0,2.757784400841956e-08
1812,5.067695596494559e-08,0.0,1.5736529235255148e-07
1813,2.8757416448144113e-09,0.0,7.189353823378042e-08
1814,0.0,0.0,1.447471538185141e-07
1815,0.0,0.0,6.203614333344376e-08
1816,6.952811659743929e-09,0.0,1.0660977523002657e-07
1817,1.8682481339737933e-08,0.0,1.0742426648224779e-07
1818,2.384235475716423e-09,0.0,7.86797682561513e-08
1819,1.035105001712111e-09,0.0,3.9333988954837196e-08
1820,1.779972080839798e-08,3.5599443393152796e-09,6.882559233645225e-08
1821,1.8736827200882544e-08,0.0,8.38226491550742e-08
1822,1.2030739071633434e-08,0.0,6.817418807258946e-08
1823,4.941343334508019e-09,0.0,3.162459771832715e-08
1824,1.0105335235266466e-08,8.421112696055388e-10,5.978989925381484e-08
1825,2.641632912414593e-09,8.805443041381977e-10,1.5233416084114992e-07
1826,1.6735169694470642e-08,0.0,5.460950180946611e-08
1827,1.6591091167583727e-08,0.0,5.438191175155538e-08
1828,5.503380862137419e-09,9.172301251858528e-10,7.613009955775851e-08
1829,1.457439946506156e-08,8.57317605795771e-10,5.915491546604201e-08
1830,1.2524203008013046e-08,0.0,1.0123730476152559e-07
1831,1.5591206548037917e-08,0.0,9.822459645647541e-08
1832,1.2176972319366541e-08,0.0,1.2988770947686135e-07
1833,1.9692167896323554e-08,0.0,6.950177322551099e-08
1834,2.5203233278148218e-08,9.334530925997342e-10,7.747660535351031e-08
1835,1.663879345414898e-08,0.0,7.941242330389287e-08
1836,1.8818100855355624e-08,0.0,1.1694105450654746e-07
