year,on_PRON eut_VERB,on_PRON put_VERB
1800,5.929894314249395e-06,1.392864817262307e-06
1801,6.338708203657006e-06,1.5382439073619025e-06
1802,6.118254759712727e-06,1.199482312586042e-06
1803,5.84906729272916e-06,1.6811924012927193e-06
1804,5.180999664844421e-06,1.3669335601207422e-06
1805,5.964357342236326e-06,1.4072244312046678e-06
1806,6.129310122560128e-06,1.685776396698202e-06
1807,5.394980007622507e-06,1.2725889320108763e-06
1808,5.309411108100903e-06,1.4820123794834217e-06
1809,6.39757422504772e-06,1.865959177393961e-06
1810,5.94626214933669e-06,1.3291920453184503e-06
1811,5.294946163303393e-06,1.2961587430027066e-06
1812,5.590468617810984e-06,2.021743881641669e-06
1813,6.223104946911917e-06,1.6190425782269813e-06
1814,6.721302270307206e-06,2.4292348541621323e-06
1815,6.51109769478353e-06,2.095742729579797e-06
1816,4.994436494598631e-06,1.7590613197171479e-06
1817,6.2788705008642864e-06,1.6783095873051934e-06
1818,6.5864506950674695e-06,2.0885902358713793e-06
1819,6.886553592266864e-06,1.8683645777173297e-06
1820,6.812546871515224e-06,2.2285252043729997e-06
1821,6.403064276128134e-06,1.808596920227501e-06
1822,8.401466288887605e-06,2.126433145122064e-06
1823,7.708495559199946e-06,2.365915179325384e-06
1824,7.4358423489684355e-06,2.43201728267195e-06
1825,7.584128184134897e-06,2.437346637407245e-06
1826,6.572518032044172e-06,2.2116848299447156e-06
1827,5.951593379904807e-06,1.9282534822195885e-06
1828,6.473810344687081e-06,2.2178624590196705e-06
1829,6.829392077634111e-06,2.1492951987056585e-06
1830,6.741152219547075e-06,2.632169895377956e-06
1831,4.992304184270324e-06,2.5803445851124707e-06
1832,5.789473789263866e-06,2.8602354404938524e-06
1833,5.417662919171562e-06,2.364218545380936e-06
1834,5.154527798367781e-06,2.4755175900281756e-06
1835,5.631475232803496e-06,2.572962557678693e-06
1836,5.711293511012627e-06,2.5975697894864425e-06
1837,6.700448921037605e-06,2.857605892359061e-06
1838,6.978726105444366e-06,2.7539963127765077e-06
1839,6.307009698502952e-06,2.965783778563491e-06
1840,5.6779405213092105e-06,3.0727378543815576e-06
1841,5.287963972477883e-06,2.9296962509306468e-06
1842,6.060917598915694e-06,3.3226036748601473e-06
1843,5.129561486683087e-06,2.9634971667746868e-06
