year,en_ADP actes_NOUN,en_ADP pacte_NOUN
1800,2.3581233676850388e-07,6.288328968651058e-09
1801,1.73826322225068e-07,4.7623651688866175e-09
1802,1.4098392853156838e-07,3.1329761895904085e-08
1803,4.095712213825209e-08,1.5602713565598947e-08
1804,1.9527622896475805e-07,2.4718509461507665e-09
1805,7.107194477384837e-08,7.391482181873243e-08
1806,8.356840108802999e-08,8.645007376628655e-09
1807,1.0533733885154106e-07,2.8469552049159574e-08
1808,3.104521510977065e-07,9.064295980465431e-09
1809,1.9653565375143955e-07,4.292158095609011e-08
1810,9.59451975646175e-08,1.8721014072298203e-08
1811,1.3287507272252697e-07,2.0056614147279106e-08
1812,1.7336854085669984e-07,8.00162469616339e-09
1813,3.0195287559209305e-07,2.8757416448144113e-09
1814,1.9824065766727017e-07,0.0
1815,2.1038343334112142e-07,0.0
1816,7.416332437060191e-08,4.6352077731626196e-09
1817,2.086210315610515e-07,1.2454987263765815e-08
1818,1.3351719019283337e-07,7.152706205104664e-09
1819,1.5009023057732662e-07,2.173720448084282e-08
1820,2.0529012090264587e-07,9.493184904840746e-09
1821,1.8342367980039853e-07,2.070912596963126e-08
1822,2.536480820936049e-07,2.2056354964661296e-08
1823,1.4725203811849497e-07,1.3835761425440296e-08
1824,1.810539203006556e-07,1.7684336661716316e-08
1825,1.673034191185252e-07,3.522177216552791e-09
1826,1.4357014777033328e-07,2.554315381431138e-08
1827,1.1705936442396592e-07,1.3825909972453587e-08
1828,2.806724239690084e-07,2.7516904310687096e-09
1829,1.8518060773686784e-07,1.457439946506156e-08
1830,1.6803305413759517e-07,9.393152256009785e-09
1831,1.808579952466971e-07,9.35472388441383e-09
1832,2.638343998828674e-07,2.3000948701223933e-08
1833,2.59473290853407e-07,8.108540061613212e-09
1834,2.781690091602229e-07,3.267085890712451e-08
1835,2.677333128531245e-07,1.0588323107185715e-08
1836,3.1453111004609013e-07,5.3765999430410716e-09
1837,3.311956136009542e-07,2.7831563720326358e-09
1838,2.392309284005023e-07,3.787297142565649e-09
1839,2.0485022578231593e-07,7.690622805256453e-09
