year,mon_DET air_NOUN,mon_DET père_NOUN
1800,2.5467732811534916e-07,2.7869874344332857e-05
1801,2.857419119095539e-07,2.9957658824741884e-05
1802,2.6854081625060644e-07,2.5164512805986305e-05
1803,2.1843799924425866e-07,3.405682281254485e-05
1804,4.4740502147533334e-07,4.386793980870607e-05
1805,2.3595885600968813e-07,3.8748423548895516e-05
1806,1.786634866718373e-07,2.1255191370528337e-05
1807,1.6512339939822596e-07,2.5001959556902875e-05
1808,1.31432294381284e-07,2.582191245892318e-05
1809,2.82378817217932e-07,2.4960028270015755e-05
1810,5.101476219238066e-07,4.525805209709688e-05
1811,3.083704456230407e-07,2.129260377614628e-05
1812,1.7870294755084615e-07,2.8123043207983756e-05
1813,2.7894694198948855e-07,2.893283706839611e-05
1814,2.1397405092216104e-07,1.8140593283533235e-05
1815,2.1577787912008262e-07,2.169916336924871e-05
1816,1.46009039525552e-07,2.9547132953666733e-05
1817,3.6430836658496446e-07,2.4640635103878594e-05
1818,3.4929049164134085e-07,3.68972360860198e-05
1819,2.3703904972194323e-07,3.30446920884242e-05
1820,3.453146142362584e-07,3.521140845919035e-05
1821,3.5304127266044816e-07,5.2983802930839374e-05
1822,2.2156611123591574e-07,4.2836449210881256e-05
1823,3.449057608406747e-07,3.720337522850059e-05
1824,3.107390718071201e-07,3.603899395443477e-05
1825,3.4693444384004124e-07,3.6919461848583524e-05
1826,2.0434524117263209e-07,2.7187606235656858e-05
1827,2.1291900154096766e-07,2.2020065159722435e-05
1828,2.825068889933391e-07,2.7477462595015822e-05
1829,2.6062456370823384e-07,2.8564108902173757e-05
1830,2.170861836958693e-07,3.499366718529018e-05
1831,2.60373150595683e-07,3.3329321979636006e-05
1832,2.814233717174375e-07,2.6644568720257666e-05
1833,2.5947328552433646e-07,2.472409649101337e-05
1834,2.0162587244243468e-07,3.125667694803269e-05
1835,2.6243913708867694e-07,3.8044602206355194e-05
1836,3.098265786150023e-07,3.439142204797463e-05
1837,1.7325148338187546e-07,2.9180003792816933e-05
1838,2.1713836595438352e-07,2.6420815459005098e-05
1839,1.475201329981246e-07,2.4468065930705052e-05
1840,1.6561191085173732e-07,2.579150600467983e-05
1841,1.373997422504658e-07,2.5630829782130604e-05
1842,1.8514812083481047e-07,3.1347052072305814e-05
1843,1.7366318783018642e-07,2.959894021614673e-05
1844,1.0812466033627288e-07,2.8363238698148052e-05
1845,1.858215874506186e-07,3.183240988846592e-05
1846,1.6041333328331575e-07,2.725914345091951e-05
1847,8.35949656163848e-08,1.9522930415405426e-05
1848,1.0619692769608946e-07,2.329091788055848e-05
1849,1.0641857173254721e-07,2.114293914701193e-05
1850,9.911934029105396e-08,2.0101538211747538e-05
1851,6.191460899529488e-08,2.0424727438239643e-05
1852,1.3281512689644615e-07,2.4566891710264827e-05
1853,1.481039095807546e-07,2.3617199389036614e-05
1854,1.4028293637835532e-07,2.9446947735323192e-05
1855,1.9582598653755667e-07,2.7967558708041906e-05
1856,1.4651444857349816e-07,2.8801222299534857e-05
1857,2.030707815237065e-07,3.153406146338966e-05
1858,1.8987463690223194e-07,3.0788073445364716e-05
1859,1.899380608350043e-07,2.917407900326907e-05
1860,2.0917730836345072e-07,3.3239052015687776e-05
1861,1.2780261826605965e-07,2.7140843428696826e-05
1862,1.7846046151959172e-07,2.723713140539985e-05
1863,1.8030581472316953e-07,3.373217049329469e-05
1864,1.706923171695962e-07,3.234763181581002e-05
1865,1.925099297750421e-07,3.424605864665864e-05
1866,1.552130566295773e-07,3.196707757524564e-05
1867,1.3684928390489404e-07,2.7580954792938428e-05
1868,1.724016076565249e-07,2.4925122090735385e-05
1869,2.0852626825274e-07,3.3239673825846694e-05
1870,1.6342038833272454e-07,2.7843968325669266e-05
1871,1.5188284052669587e-07,2.2489281491289148e-05
1872,2.3161310114261369e-07,2.300045059655531e-05
1873,1.5803051933716006e-07,2.4157717177786253e-05
1874,1.6728906082619233e-07,2.8976853968742944e-05
1875,1.624913661402161e-07,3.041907191914106e-05
1876,2.569556318832156e-07,2.23110037893548e-05
1877,1.7131939955561393e-07,2.6838389516115058e-05
1878,1.358794881056724e-07,2.170690004277276e-05
1879,1.3868168480257737e-07,2.5659776952124957e-05
1880,1.854757591956968e-07,2.160118756933116e-05
1881,1.3875289717191208e-07,2.4382858981653044e-05
1882,1.6239140165907884e-07,2.182567021691284e-05
1883,1.6809441660825541e-07,2.276731507322438e-05
1884,1.0760765789541438e-07,2.0873904816198774e-05
1885,1.1150949896787665e-07,1.8629820857540835e-05
1886,1.1358096596580936e-07,1.9386205849514226e-05
1887,1.3776030716172727e-07,1.860939343600876e-05
1888,1.2871447729878582e-07,1.7676999917171088e-05
1889,1.1089292373256399e-07,1.9219559959537946e-05
1890,1.0749193646297783e-07,1.746350784515016e-05
1891,1.332212002935762e-07,1.931643669195182e-05
1892,1.2537025106951205e-07,1.7583804208243237e-05
1893,1.4287526561851394e-07,1.834777063436377e-05
1894,1.1216739892461192e-07,1.97288592573841e-05
1895,1.0472389000426574e-07,1.825686547363148e-05
1896,1.4624632260762382e-07,1.9751508716581156e-05
1897,1.1478626049665763e-07,1.4565035456826081e-05
1898,9.902120945426418e-08,1.6911125044316577e-05
1899,9.452159055456377e-08,1.7143784504014548e-05
1900,1.1627959217719308e-07,1.6962804437525847e-05
1901,9.109644327764954e-08,1.4308288996289775e-05
1902,1.0016979423710382e-07,1.2548230472475552e-05
1903,1.1988489134751035e-07,1.4439108880992535e-05
1904,1.0158041874319679e-07,1.364187329500055e-05
1905,8.566860154601841e-08,1.4342265743039206e-05
1906,7.098974830199722e-08,1.38430007154966e-05
1907,1.1777111375010918e-07,1.7062411927781795e-05
1908,1.1738220173640457e-07,1.5284733677844997e-05
1909,1.1827114576590247e-07,1.7756624458797887e-05
1910,1.3093168682587475e-07,1.6330120701013584e-05
1911,1.5961122468155509e-07,1.5188071898819544e-05
1912,1.3023552636326485e-07,1.6793611365528704e-05
1913,1.5961999189073595e-07,1.6897446556640716e-05
1914,1.4732836106645664e-07,1.6676900798984207e-05
1915,8.482148650124088e-08,1.2292047102846482e-05
1916,1.1317085935047544e-07,1.2283982556482442e-05
1917,9.979446535801628e-08,1.248746727355865e-05
1918,1.0108011139209339e-07,1.4090337515426654e-05
1919,1.519294960949935e-07,1.628223833449738e-05
1920,1.1055458104536342e-07,1.6324974211556764e-05
