year,un_DET athée_NOUN,un_DET pâté_NOUN
1800,8.206269654920106e-07,3.0812812923386446e-07
1801,3.3098437524081703e-07,1.5239568540437176e-07
1802,6.154060372409731e-07,2.998705781465105e-07
1803,3.569120750057664e-07,1.3847407842604298e-07
1804,7.267242025932319e-07,1.4583921270627798e-07
1805,4.0937439615973403e-07,2.217444565744131e-07
1806,5.331088095417158e-07,2.651135728726217e-07
1807,2.2490945106312665e-07,1.7935817675507337e-07
1808,2.5153421034929124e-07,3.9203079893468384e-07
1809,2.3268014248678526e-07,2.326801400442946e-07
1810,2.3401267590372754e-07,2.035910213749048e-07
1811,2.1059444277327088e-07,4.688233730121283e-07
1812,4.0541565793361656e-07,2.187110808016257e-07
1813,2.415622994966782e-07,2.3293507922517165e-07
1814,1.6048053330663947e-07,3.4613448463005625e-07
1815,2.778140275605523e-07,2.3735567822313897e-07
1816,7.485860802347588e-07,1.1356258866612734e-07
1817,5.355644603355358e-07,1.650285783583172e-07
1818,4.4108355456984327e-07,1.7404918750685283e-07
1819,5.682726715861008e-07,1.1800197141642599e-07
1820,6.716428160302712e-07,1.5782420259569108e-07
1821,9.427582590149086e-07,2.948585002826576e-07
1822,4.792244254758771e-07,2.2858404236103524e-07
1823,3.794951766167287e-07,2.757269741415769e-07
1824,3.461077380251254e-07,2.5263338088166165e-07
1825,4.314667005900219e-07,1.9812247220585277e-07
1826,3.8667051960317167e-07,2.113916170998209e-07
1827,4.673157523171767e-07,1.5208500947494485e-07
1828,3.522163645186538e-07,2.8067241442109037e-07
1829,4.1151245044890317e-07,2.3576233521005463e-07
1830,5.875938562382998e-07,3.0684297058769516e-07
1831,5.831111111742615e-07,2.3542720573033193e-07
1832,4.004870933771443e-07,3.4907319523824754e-07
1833,5.258967448185103e-07,2.606316460429525e-07
1834,4.19120445682708e-07,3.565790684945114e-07
1835,2.6848961454106757e-07,3.237001635625347e-07
1836,3.165473181354628e-07,2.506839802407512e-07
1837,2.3448092800748555e-07,2.609209142079294e-07
1838,3.2570756580696525e-07,2.2218809991869648e-07
1839,2.4749822324920956e-07,2.9713769933437106e-07
1840,2.3440453755796398e-07,1.987342841403006e-07
1841,2.4141262899846083e-07,2.6131633745762883e-07
1842,3.7499202720781e-07,2.1533530869533024e-07
1843,5.333940791274472e-07,2.498623381530507e-07
1844,3.578542016047237e-07,1.9045307153575664e-07
1845,2.823595275924795e-07,2.873817308568505e-07
1846,2.903832552192398e-07,2.7340521757679426e-07
1847,3.41930377345534e-07,1.742011264127541e-07
1848,2.992822378811155e-07,2.4618378624552406e-07
1849,2.279200934651726e-07,2.790345030589947e-07
1850,3.496332841024241e-07,2.640919518626106e-07
1851,3.656831737419708e-07,2.734561981299066e-07
1852,3.7761164706218153e-07,2.1094166591240082e-07
1853,3.624962694459555e-07,2.932218610141035e-07
1854,3.2317033138440365e-07,2.893985069363225e-07
1855,4.601114547142515e-07,2.998419574851141e-07
1856,2.9820609803721254e-07,2.588594565366975e-07
1857,3.9344963043141945e-07,3.070469354327088e-07
1858,3.655575855354698e-07,3.5381278440382857e-07
1859,3.859867268030115e-07,3.1622395368913203e-07
1860,3.107907922128561e-07,3.0392502115006437e-07
1861,2.971057100897845e-07,2.4900288231322065e-07
1862,2.435194597083523e-07,2.7062736851490854e-07
1863,4.065621285187504e-07,2.9618100505501843e-07
1864,3.140546860347371e-07,2.7857370188399955e-07
1865,3.1159309732409213e-07,3.6289769145270157e-07
1866,4.0871148154764114e-07,2.593371801751232e-07
1867,2.960215059744087e-07,2.8243361605007067e-07
1868,4.0408169788008763e-07,2.711990934045616e-07
1869,3.647988746635633e-07,2.632216782316732e-07
1870,3.5551103216846514e-07,2.603258035804856e-07
1871,2.59156714754738e-07,3.133247226116964e-07
1872,2.709208068996105e-07,2.558024547738569e-07
