year,prochain_ADJ paiement_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,0.0
1807,5.693910232196231e-09
1808,6.798221985349073e-09
1809,2.259030518203531e-09
1810,1.1700633351097167e-08
1811,2.5070767684098882e-09
1812,2.6672082320544632e-09
1813,5.751483289628823e-09
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,1.0898113522728181e-08
1818,0.0
1819,1.035105001712111e-09
1820,1.1866481131050932e-09
1821,6.903041693817613e-09
1822,1.604098542884458e-08
1823,8.894418535021487e-09
1824,0.0
1825,1.7610886082763955e-09
1826,1.3211976401805714e-08
1827,0.0
1828,1.0089530988466322e-08
1829,1.2859763920403111e-08
1830,1.2524203008013046e-08
1831,0.0
1832,5.411987746839486e-09
1833,2.3167257001688313e-09
1834,9.334530925997342e-10
1835,1.5126175867408165e-09
1836,8.064899859050456e-09
1837,1.1132625488130543e-08
1838,7.574594285131298e-09
1839,2.0974426639952526e-09
1840,8.280594876453051e-09
1841,1.4125206782011901e-08
1842,9.391571076378114e-09
1843,2.953455480181333e-09
1844,0.0
1845,0.0
1846,1.1709002656346001e-09
1847,1.0786447290911383e-09
1848,1.6090443422100975e-09
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,1.7915795513800958e-09
1854,5.195664454227256e-10
1855,0.0
1856,1.0354378465748937e-09
1857,0.0
1858,4.893676019968041e-10
1859,5.601390462572908e-09
1860,1.8308735638683515e-09
1861,4.715963730639317e-10
1862,5.421583626485926e-09
1863,4.994620828036034e-10
1864,3.3563094525845827e-09
1865,0.0
1866,9.731225825149181e-10
1867,1.94112459439566e-09
1868,4.93987406535723e-10
1869,1.4650557433881772e-09
1870,0.0
1871,0.0
1872,1.8142017887967654e-09
1873,5.986004469882289e-10
1874,0.0
1875,1.716458086775674e-09
1876,0.0
1877,7.421779191219002e-09
1878,1.2078177347163432e-09
1879,0.0
1880,6.417846254436199e-10
1881,0.0
1882,1.9966155395678697e-09
1883,0.0
1884,0.0
1885,6.445635691854079e-10
1886,0.0
1887,3.264462256069578e-09
1888,0.0
1889,0.0
1890,1.3108772956016423e-09
1891,6.374220040683554e-10
1892,6.268512375839919e-09
1893,1.2316833108982905e-09
1894,6.301539290376468e-09
1895,5.416753268150387e-09
1896,2.948514543632541e-09
1897,2.330685422435863e-09
1898,5.6583546736987955e-09
1899,6.633094074004475e-09
1900,3.633737311048435e-09
1901,2.235495566438317e-09
1902,2.455141867585553e-09
1903,7.560307935250421e-09
1904,0.0
1905,1.0321518084666081e-09
1906,2.572092316910357e-09
1907,5.65712765521198e-09
1908,1.4734167219643268e-09
1909,1.6502950117569526e-09
1910,5.34415089958884e-09
1911,8.51259862599818e-09
1912,8.856016364688912e-09
1913,2.6514948014977335e-09
1914,4.018046340092951e-09
1915,1.5314990164938536e-08
1916,2.197492410260793e-09
1917,2.1932848870420685e-09
