year,son_DET pâté_NOUN
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.106114038724627e-08
1811,7.521229861140455e-09
1812,5.3344164641089264e-09
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,0.0
1819,9.315945348475907e-09
1820,4.746592452420373e-09
1821,7.88919063410276e-09
1822,1.0025615893027862e-09
1823,9.882686891060644e-10
1824,9.263223965660927e-09
1825,4.226612659863349e-08
1826,6.1655889282974385e-09
1827,5.530363722527909e-09
1828,8.255071293206129e-09
1829,2.571952872898464e-09
1830,3.1310507520032616e-09
1831,3.1182412207897414e-09
1832,4.058990921151917e-09
1833,3.4750886612755494e-09
1834,1.0267983796552471e-08
1835,6.806779140333674e-09
1836,4.704525213838906e-09
1837,4.87052354003481e-09
1838,3.787297142565649e-09
1839,9.788065469251706e-09
1840,1.2739377330817092e-09
1841,1.7977535904378783e-08
1842,2.683306021822318e-09
1843,4.134837805480629e-09
1844,3.2931368743049916e-09
1845,1.0602432709561072e-08
1846,1.1709002656346001e-09
1847,3.235934187273415e-09
1848,3.2180886289090438e-09
1849,2.1786478399121734e-08
1850,3.394498016007219e-09
1851,7.094382858952031e-09
1852,3.906327261660181e-09
1853,3.5831591027601917e-09
1854,3.63696517347023e-09
1855,2.653468555990912e-09
1856,6.73034605824796e-09
1857,7.810414537345878e-09
1858,1.761723389392955e-08
1859,7.638259802433822e-09
1860,6.865776031039772e-09
1861,1.131831339762357e-08
1862,4.066187830886747e-09
1863,2.4973103585068657e-09
1864,5.274200631788517e-09
1865,1.0355057256106193e-08
1866,7.298419202328432e-09
1867,9.220341823379385e-09
1868,7.903798504571569e-09
1869,6.348574999037737e-09
1870,3.4404292748035914e-09
1871,3.18635318130589e-09
1872,1.6327815544059376e-08
1873,3.5916026819293734e-09
1874,6.572069999322139e-09
1875,5.149374260327022e-09
1876,4.836811839936672e-09
1877,9.27722432209066e-09
1878,5.435179861734696e-09
1879,6.109325489944695e-09
1880,1.9253538763308597e-09
1881,8.367009307619355e-09
1882,4.6587693702804245e-09
1883,3.159669414998234e-09
1884,1.3203393933736152e-09
1885,1.0313017106966527e-08
1886,5.80811748696064e-09
1887,3.9173548849191775e-09
1888,5.07249175996094e-09
1889,1.1277245803853475e-08
1890,1.1142456735058204e-08
1891,1.529812720946211e-08
1892,3.761107425503951e-09
1893,7.390100087434348e-09
1894,3.780923574225881e-09
1895,6.018614495673091e-10
1896,2.4177818858106548e-08
1897,1.7480140668268973e-09
1898,2.26334195829736e-09
1899,8.844125432005967e-09
1900,1.5573159428683425e-09
