year,en_ADP aire_NOUN,en_ADP paire_NOUN
1800,4.7162466820793725e-08,3.144164484325529e-09
1801,1.619204113012529e-07,0.0
1802,3.3567602031325805e-08,0.0
1803,2.9255089017965474e-08,1.3652374786232713e-08
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,3.695740935505398e-08,0.0
1806,4.8988376022407465e-08,2.0171682990621775e-08
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,4.5321479014148736e-08,0.0
1809,7.00299480627109e-08,2.259030518203531e-09
1810,5.3822916346035754e-08,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,3.200649700829672e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,4.090680150170556e-08,0.0
1815,8.091670444798638e-09,5.394447111228828e-09
1816,7.184571870766376e-08,6.952811659743929e-09
1817,1.2454987263765815e-08,1.0898113522728181e-08
1818,7.152706427149269e-09,1.1921177378582115e-09
1819,2.484252026313527e-08,0.0
1820,1.7799721696576398e-08,2.3732962262101864e-09
1821,3.7473656067099625e-08,1.97229765852569e-09
1822,3.0076847679083585e-08,2.0051231786055723e-09
1823,3.2612866407433216e-08,1.9765373782121287e-09
1824,1.431589158329416e-08,1.6842225392110777e-09
1825,1.3208164117983756e-08,1.7610886082763955e-09
1826,2.466235649034587e-08,1.3211976401805714e-08
1827,2.027800155568471e-08,9.217273055917019e-10
1828,2.384798225563145e-08,2.7516904310687096e-09
1829,4.800978425922864e-08,4.286588028978855e-09
1830,1.6698937788106605e-08,3.1310507520032616e-09
1831,1.4032085493553836e-08,0.0
1832,9.470978445946798e-09,0.0
1833,1.2741991461950875e-08,6.950177322551099e-09
1834,2.1469421573883096e-08,2.8003592777992026e-09
1835,2.571449897459388e-08,1.3613558280667348e-08
1836,2.9571301130015826e-08,6.720750067579218e-10
1837,1.8786305289175687e-08,6.957891041103892e-09
1838,3.8504186727905676e-08,9.468242634369517e-09
1839,2.6567605448946097e-08,4.894032845648155e-09
1840,5.860113566624747e-08,5.732719632334238e-09
1841,4.173356549230789e-08,1.2841097074556274e-09
1842,3.287049921141261e-08,7.379091560011375e-09
1843,3.0125246297529884e-08,1.7720733214154905e-09
1844,5.488561261035585e-08,2.195424508855126e-09
1845,2.7343117381395388e-08,8.37034175305007e-09
1846,1.3465352832753297e-08,1.4050803409659807e-08
1847,2.480882788091776e-08,1.6179670936367074e-09
1848,2.0113054055581614e-08,8.045221711050488e-10
1849,2.3462362719328667e-08,8.379414939696517e-10
1850,2.1724787302446202e-08,1.0183494048021657e-08
1851,2.1283148576856092e-08,1.483370937194195e-08
1852,1.9531636752390114e-08,1.9531636308300904e-09
1853,2.26933418723263e-08,4.180352286553557e-09
1854,2.1821789930598356e-08,4.1565315633818045e-09
1855,1.1144567935161831e-08,2.1227748447927297e-09
1856,2.0191037064520856e-08,3.106313539724681e-09
1857,1.2691923956253959e-08,7.322263684272912e-09
1858,4.502181916166137e-08,8.319249178434518e-09
1859,2.6479301196147276e-08,2.5460866748261424e-09
1860,1.373155189554609e-08,3.661747127736703e-09
1861,1.3204698334767784e-08,3.301174722469824e-09
1862,3.6143891435358455e-08,2.7107918409985388e-09
1863,1.947902072974017e-08,1.4484400345793347e-08
1864,2.5412057458318316e-08,4.7947278369875335e-09
1865,2.9653119293371333e-08,3.765475486972036e-09
1866,1.8489329622894957e-08,1.4596839292835284e-09
1867,2.8631587767335986e-08,1.94112459439566e-09
1868,3.112120594561674e-08,3.951899141263482e-09
1869,3.174287332985415e-08,1.953407657850903e-09
1870,4.0711745086241535e-08,1.1468097582678638e-09
1871,3.929835434846041e-08,2.8677177965619194e-08
1872,2.0560953717385644e-08,3.0236697590169115e-09
1873,3.8909028887701425e-08,2.3944017324417644e-09
1874,5.616132481289782e-08,2.9873046258899194e-09
1875,2.4030413270370587e-08,6.293679799540541e-09
1876,3.748529087133079e-08,3.627608879952504e-09
1877,5.999271590617639e-08,1.8554447978047506e-09
1878,2.2344627481629686e-08,1.0266450800600069e-08
1879,1.8327976358811782e-08,4.887460214320072e-09
1880,4.492492533536563e-08,4.492492600149944e-09
1881,6.83305714233029e-08,2.0917522713936876e-09
1882,6.25606177973026e-08,3.3276925659464496e-09
1883,3.475636339844712e-08,9.479008689083912e-09
1884,3.6969503902639644e-08,1.9144920315739e-08
1885,3.287274280561192e-08,1.353583467533781e-08
1886,5.0982363997142954e-08,7.744156427236248e-09
1887,3.199173115309151e-08,9.140494583448344e-09
