year,en_ADP île_NOUN,en_ADP ile_NOUN,en_ADP pile_NOUN
1800,3.144164395507687e-08,1.2576657937302116e-08,1.2576657582030748e-07
1801,1.0715321963061797e-07,3.095537381980762e-08,2.7145480885337747e-07
1802,6.937304419807333e-08,2.2378401354217203e-08,1.991677720525331e-07
1803,3.705644502360883e-08,1.1702035340732664e-08,8.776526305709353e-08
1804,1.557266102736321e-07,4.943701892301533e-09,2.175228814849106e-07
1805,6.254330742194725e-08,1.9900143755080535e-08,1.7341554325867037e-07
1806,5.187004603612877e-08,5.76333825108577e-09,8.645007198992971e-08
1807,6.832692633906845e-08,5.693910232196231e-09,1.7935816742919997e-07
1808,7.47804418388398e-08,2.2660739951163578e-08,6.571614541428517e-08
1809,7.454800710071652e-08,6.7770917766551975e-09,9.713831161661801e-08
1810,8.424456154898508e-08,4.680253518074551e-08,8.424455977262824e-08
1811,6.267691787797958e-08,1.0028307073639553e-08,1.8301660986708157e-07
1812,9.868670503010435e-08,8.00162469616339e-09,9.068507988985175e-08
1813,9.777521370324394e-08,2.5881675469463516e-08,7.764502640839055e-08
1814,9.125363931161701e-08,2.5173416684509675e-08,5.349351139827263e-08
1815,6.74305908887618e-08,5.394447111228828e-09,5.1247247778718474e-08
1816,6.025770460382773e-08,6.952811659743929e-09,9.733936678912869e-08
1817,9.49692804397273e-08,1.0898113522728181e-08,6.694555310104988e-08
1818,1.1801965627000754e-07,7.152706427149269e-09,7.033494608954527e-08
1819,4.5544620519422097e-08,7.24573512300708e-09,1.148966586317357e-07
1820,1.2222476186707354e-07,3.5599443393152796e-09,1.115449199673435e-07
1821,3.550135829755163e-08,1.0847637010868993e-08,2.2681423739179252e-08
1822,5.714601059025881e-08,7.017931125119503e-09,7.118187284049782e-08
1823,7.313188632451784e-08,6.917880934764753e-09,3.261286618538861e-08
1824,4.6316120716483056e-08,1.0947446504872005e-08,4.884245363712125e-08
1825,9.862096272961196e-08,1.4969253392393966e-08,6.956299758442697e-08
1826,1.3476216054186807e-07,8.807984452907647e-09,6.341748548521764e-08
1827,4.2399456390285195e-08,8.295545805836468e-09,4.885154680778214e-08
1828,9.630916508740484e-08,8.255071293206129e-09,1.0639869429951432e-07
1829,1.0287811136322489e-07,1.971830476676928e-08,7.630126735991283e-08
1830,6.575206867864836e-08,8.349468672008697e-09,5.114049428378564e-08
1831,5.456922025359745e-08,1.2472964883158966e-08,7.951515357262906e-08
