year,en_ADP arts_NOUN,en_ADP parts_NOUN
1800,5.345079756580162e-08,6.288328968651058e-09
1801,6.42919282256571e-08,2.8574191901498125e-08
1802,9.398928568771225e-08,0.0
1803,7.80135707145746e-08,7.801356893821776e-09
1804,6.921182560404304e-08,2.4718509461507665e-09
1805,2.558589917711629e-08,2.842877755426798e-08
1806,4.8988375134229045e-08,2.0171682990621775e-08
1807,4.27043254092041e-08,2.562259560079383e-08
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,1.581321384946932e-08,2.25903047379461e-08
1810,5.616304221689461e-08,2.3401267590372754e-09
1811,3.7606150637969904e-08,5.0141535368197765e-09
1812,5.06769564090348e-08,5.3344164641089264e-09
1813,4.3136123117903935e-08,2.8757416004054903e-08
1814,9.440030979135372e-09,4.090680150170556e-08
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,8.57513455798653e-08,9.270415546325239e-09
1817,2.1796228488746294e-08,2.6466848268569265e-08
1818,4.4108355412575406e-08,4.768470951432846e-09
1819,9.212434237682032e-08,6.210630232317271e-09
1820,3.44127952800477e-08,1.4239777357261119e-08
1821,7.001656854299654e-08,1.0847637454958203e-08
1822,3.308453244699194e-08,1.1028177482330648e-08
1823,6.32491954366543e-08,9.882686891060644e-10
1824,3.1158117863583357e-08,1.6842225392110777e-09
1825,4.3146671568905504e-08,8.805443041381977e-10
1826,8.807984186454121e-08,1.7615968683770689e-09
1827,3.686909327837995e-08,1.2904182611350734e-08
1828,3.3937512911030865e-08,1.4675682002973645e-08
1829,3.686465693819585e-08,2.8291481157793896e-08
1830,3.131050774207722e-08,3.1310507520032616e-09
1831,3.741889442743229e-08,7.795603274018958e-09
1832,5.276688019861808e-08,2.841293600397421e-08
1833,4.51761508202253e-08,5.444305273272221e-08
1834,2.4269779741459274e-08,1.7735608537350345e-08
1835,3.932805725526123e-08,1.0588323107185715e-08
1836,6.922372786100084e-08,9.409050427677812e-09
1837,3.89641890974346e-08,3.270208637218275e-08
1838,4.102905393210676e-08,2.5879863585487328e-08
1839,2.8665047335785232e-08,2.7266752411492234e-08
1840,5.8601136720959346e-08,2.1019973317493168e-08
1841,3.2102741354123054e-08,2.8892468861840825e-08
1842,4.9641161403712886e-08,1.8783142152756227e-08
1843,4.075768533784441e-08,1.6539351221922516e-08
1844,5.1592476069117765e-08,3.2931367854871496e-08
1845,1.3392547348889394e-08,3.1807299905040054e-08
1846,3.981060747726417e-08,3.219975752699611e-08
1847,1.5101026207275936e-08,3.55952778363644e-08
1848,2.735375304041554e-08,5.309846429213394e-08
1849,3.26797175986826e-08,1.8434713311421547e-08
1850,3.6660578572877967e-08,2.1724787302446202e-08
1851,2.3217978650791338e-08,4.5791015423901626e-08
1852,4.9480144648228475e-08,4.166749079104193e-08
1853,2.926246556178569e-08,3.881755716861335e-08
1854,4.0006617019194834e-08,3.636965217879151e-08
1855,1.0083180512765466e-08,3.555647865027822e-08
1856,2.0708756043319454e-08,6.678573782892272e-08
1857,1.3668224996266076e-08,3.612316845647001e-08
1858,4.8447393652395476e-08,3.229826006645453e-08
1859,3.5645212559387573e-08,4.4811123700583266e-08
1860,3.249800525906288e-08,2.8836257826014844e-08
1861,3.301174633651982e-08,5.046081241744105e-08
1862,5.0149648683772696e-08,4.382446761042047e-08
1863,3.9457503930862003e-08,7.891500786172401e-08
1864,1.726102105692462e-08,6.041356925834407e-08
1865,3.4830647810402127e-08,1.0072646716707823e-07
1866,2.7733993435141713e-08,1.4158933936414542e-07
1867,1.5043715606566366e-08,9.220342178650753e-08
1868,1.778354707937524e-08,8.644779825317528e-08
1869,1.12320943657096e-08,9.376356757684334e-08
1870,2.5803219116937726e-08,5.160643823387545e-08
1871,1.1683294776076991e-08,1.2957836759142083e-07
1872,1.8746751706544273e-08,9.61526964715631e-08
1873,5.566984079274917e-08,8.61984617017697e-08
1874,2.031367180022059e-08,6.870800461911131e-08
1875,1.3731665304828056e-08,1.1557484924651362e-07
1876,6.16693476285235e-08,5.501873445723504e-08
