year,un_DET acte_NOUN,un_DET pacte_NOUN
1800,1.852541743119218e-05,1.1570525551007904e-06
1801,1.8701808897958472e-05,1.1143934841584269e-06
1802,2.3781528057043033e-05,1.2017201242997544e-06
1803,2.0172359114667415e-05,9.849212574408739e-07
1804,2.8979979902032937e-05,1.4806386854360198e-06
1805,2.4488548547196842e-05,1.1172509957191323e-06
1806,2.8416139571163512e-05,9.912941525413999e-07
1807,5.808927369344019e-05,1.5515904858709462e-06
1808,4.382813619940862e-05,8.769706560940449e-07
1809,4.399236098606707e-05,9.352386227678977e-07
1810,4.523465099737223e-05,1.684891202557992e-06
1811,3.834323217688507e-05,9.702387337995333e-07
1812,4.235259950746695e-05,9.575277459816789e-07
1813,3.641264100906483e-05,1.2739535044659078e-06
1814,3.251461441777792e-05,2.0862469991556054e-06
1815,3.289803521511203e-05,2.179356705322988e-06
1816,2.3857414021222212e-05,1.847130308263445e-06
1817,2.4270099800105527e-05,1.6253758179374245e-06
1818,2.5561387758443743e-05,1.9705707214878743e-06
1819,3.0175380175023747e-05,1.8590485826308623e-06
1820,2.9446673522670608e-05,1.927116526800887e-06
1821,2.8447436079659383e-05,1.7523864599411354e-06
1822,3.0435764188041503e-05,1.3975708128555198e-06
1823,3.0264740075836016e-05,1.1681336339330883e-06
1824,3.0025477542494627e-05,1.3473780233752564e-06
1825,2.9700759853312775e-05,1.2248371241696532e-06
1826,3.588196608461658e-05,1.5369932917508322e-06
1827,4.535543644124118e-05,1.4378946353588162e-06
1828,4.299974682453467e-05,1.2290884102705846e-06
1829,4.288902749749468e-05,1.5243107363005493e-06
1830,3.9529516641323426e-05,1.6688500439343557e-06
1831,3.670793444143783e-05,1.9987926194175998e-06
1832,3.927885336452164e-05,1.744013040649861e-06
1833,3.407556147294599e-05,1.5209303896313031e-06
1834,3.8048480632824067e-05,1.6158073496974623e-06
1835,3.425625186537218e-05,1.3832887830744767e-06
1836,3.3685743517253286e-05,1.3992601353152168e-06
1837,3.239176612623851e-05,1.1188288535635138e-06
1838,3.2593477556019934e-05,1.2618012092957542e-06
1839,3.609418973837819e-05,1.3269820362538098e-06
1840,3.7211722883512266e-05,1.6522971963972566e-06
1841,3.884881266458251e-05,1.5011242604501263e-06
1842,3.866107488192938e-05,1.4657558669028958e-06
1843,3.526721366142738e-05,1.6409398586603174e-06
1844,4.115981687391468e-05,1.5691796193539886e-06
1845,4.321719040945027e-05,1.6366809121315384e-06
1846,4.007581696896523e-05,1.6152569561889152e-06
1847,4.291387926969037e-05,1.6093379038295552e-06
1848,4.269116448085697e-05,1.5591639410672542e-06
1849,5.199175586767524e-05,1.5845474010678373e-06
1850,4.6563006662836415e-05,1.8350656221244321e-06
1851,4.3922613713220926e-05,1.5465754357180117e-06
1852,4.5896091705799336e-05,1.548207656743017e-06
1853,3.6189310151257814e-05,1.3890713956854484e-06
1854,3.652500237194545e-05,1.3389226860560655e-06
1855,3.956534021654079e-05,1.6069405006646775e-06
1856,4.247728350037505e-05,1.4744635462582423e-06
1857,3.65366311143589e-05,1.472751333386757e-06
1858,3.750170913008333e-05,1.5919127656083276e-06
1859,3.749570873878838e-05,1.623894089419764e-06
1860,3.545852791830839e-05,1.8011219121427668e-06
1861,3.7506531953113154e-05,1.8406406070425874e-06
1862,3.639328190274682e-05,1.5270793217170286e-06
1863,4.0908443338594225e-05,1.685185043953652e-06
1864,3.673288972549926e-05,1.4657483831115314e-06
1865,3.607607936828572e-05,1.5471396924149339e-06
1866,4.0076107552522444e-05,1.7414028303797124e-06
1867,3.6458688043694565e-05,1.2893920171563877e-06
1868,3.387024611356537e-05,1.2823913134729636e-06
1869,3.9197078649522155e-05,1.35712999127513e-06
1870,3.517380037010298e-05,1.4398196572784627e-06
1871,3.6504985985175153e-05,1.7418730404727967e-06
1872,3.867575924232369e-05,1.278407523619407e-06
1873,3.4754144849102886e-05,1.2247365530626553e-06
1874,3.233279244341247e-05,1.1118747664795592e-06
1875,3.320545579299505e-05,1.2730397349614009e-06
1876,3.526398745634651e-05,1.3264956773006986e-06
1877,3.2419568924524356e-05,1.0606959690573348e-06
1878,3.9515569710601994e-05,1.4735376936414468e-06
1879,3.682273711547168e-05,1.4582959949605012e-06
1880,4.002939158453955e-05,1.230942880070529e-06
1881,3.605902156778029e-05,1.236225593004292e-06
1882,3.480100974684319e-05,1.2152732846715253e-06
1883,3.6106808238400845e-05,1.4294344832244121e-06
1884,3.401722472062829e-05,1.2695063427159425e-06
1885,3.636820929386886e-05,1.2517425038716112e-06
1886,3.643948195986013e-05,1.2577800568847053e-06
1887,4.3013859681195754e-05,1.5675948006332874e-06
1888,3.7272669374033285e-05,1.2205683530552847e-06
1889,3.479970246189623e-05,1.1728335820304636e-06
1890,3.958062848141708e-05,1.2197713394890286e-06
1891,3.872785055136774e-05,1.4195388606808024e-06
1892,3.572487923975132e-05,1.024274977723394e-06
1893,3.913981697678537e-05,1.346229854926051e-06
1894,3.584441640214209e-05,1.1071804930651297e-06
1895,3.640720046860224e-05,1.2061303062971263e-06
1896,3.665770111638267e-05,1.31503748196371e-06
1897,3.473187405234057e-05,1.1175636127624955e-06
1898,3.779498013045668e-05,1.3053824872155673e-06
1899,3.709889517722331e-05,1.0054665526837425e-06
1900,3.430611127441807e-05,1.0470354745439892e-06
1901,3.59311185320621e-05,1.0819798579309037e-06
1902,3.1982153416265646e-05,1.0203569738020946e-06
1903,3.762279607144592e-05,1.167527617695896e-06
1904,3.463569868245031e-05,1.1501697461113736e-06
1905,3.643908871708845e-05,1.1136918451892797e-06
1906,3.406581794251906e-05,1.0998266279926838e-06
1907,3.6347559216665104e-05,1.1633111696163212e-06
1908,3.322996633414732e-05,1.0480904637510946e-06
1909,3.284197202901851e-05,9.549707638001337e-07
1910,3.23721924360143e-05,9.84392513281307e-07
1911,3.172272948859245e-05,1.0012944562376447e-06
1912,3.236300790376845e-05,1.0470936806505904e-06
1913,3.1481199869176635e-05,1.1184004895525845e-06
1914,3.198900367351598e-05,1.0641126042543192e-06
1915,2.9098481888922834e-05,1.2841030523347285e-06
1916,3.102309932501157e-05,1.4305675666292927e-06
1917,2.9961368340991612e-05,1.6416736876578852e-06
1918,2.7150347648330353e-05,1.4495806635039798e-06
1919,2.9805805183968914e-05,1.5036416538549702e-06
1920,3.0048129701754078e-05,1.1555225967185834e-06
1921,3.0459104266356007e-05,1.3062988823975274e-06
1922,2.9673318294953788e-05,1.6415906536337843e-06
1923,3.3421129387534165e-05,1.5923921807825536e-06
1924,2.951150588614837e-05,1.6230555139884473e-06
1925,2.8988996746193152e-05,3.062992480096227e-06
1926,3.0097917147031694e-05,1.9951587404420934e-06
1927,2.919647573662587e-05,1.8652652755690724e-06
1928,3.2377973923303216e-05,2.5285828186838444e-06
1929,2.8402465545696032e-05,1.8838427564560334e-06
1930,2.866958516278828e-05,1.9085047213707185e-06
1931,2.6896112331087352e-05,1.85565154708911e-06
1932,2.5954374336834007e-05,3.735010004390915e-06
1933,2.5394899012098904e-05,2.5946638402274402e-06
1934,2.6865099471251597e-05,2.507744675028789e-06
1935,2.955926828462907e-05,2.503764946482079e-06
1936,2.5551623252795252e-05,2.4855665543555006e-06
1937,2.6392242943984456e-05,2.2852878700518886e-06
1938,2.638161851109544e-05,2.083509940575823e-06
1939,2.4078952435502288e-05,2.9272812724912e-06
1940,2.471374085644129e-05,2.5763555520086356e-06
1941,2.2986302667504788e-05,1.8594466340005056e-06
1942,2.3779117441335984e-05,1.878177059211339e-06
1943,2.5083951641136082e-05,1.93355462485556e-06
1944,2.509819665874602e-05,2.139981983617645e-06
1945,2.7967635219283693e-05,3.1697233069394315e-06
1946,2.4466340960316302e-05,2.4542907013369586e-06
1947,2.6730168315225455e-05,2.534377237850549e-06
1948,2.388010170761845e-05,2.4222564931619672e-06
1949,2.3779739706242253e-05,2.9107430492558706e-06
