year,en_ADP homme_NOUN,en_ADP pomme_NOUN
1800,3.0183979831122087e-06,3.458580977167003e-08
1801,4.1908812704605225e-06,9.762848662830947e-08
1802,3.4059926861118583e-06,1.5664880947952042e-07
1803,2.603702782266737e-06,1.0336797973131695e-07
1804,4.4913530956591785e-06,5.6852570651244605e-08
1805,4.778877240596557e-06,8.244345273134002e-08
1806,3.4349495479091274e-06,3.1698359492793315e-08
1807,2.835567205039524e-06,1.9928686256776018e-08
1808,3.716361280936553e-06,2.4926814390369145e-08
1809,3.445021434345108e-06,1.400598961254218e-07
1810,4.2566906159891005e-06,7.020380277111826e-09
1811,3.6277401704865042e-06,1.2284675676710322e-07
1812,3.846114353223129e-06,5.867858021701977e-08
1813,4.655825605937025e-06,1.4378708002027452e-08
1814,3.62497203809653e-06,3.4613449884091096e-08
1815,2.6918291453625898e-06,0.0
1816,2.706961439002953e-06,1.1588019432906549e-08
1817,4.1334988267749395e-06,6.227493543065066e-08
1818,4.675485790528455e-06,2.1458118837358597e-08
1819,4.798746836343071e-06,3.105315171669787e-08
1820,4.204294484111415e-06,1.779972080839798e-08
1821,4.780849693020173e-06,7.198886464721e-08
1822,4.31101462083916e-06,2.90742860897808e-08
1823,3.911567389991433e-06,2.8659792428165076e-08
1824,4.6812967298137664e-06,2.77896727851612e-08
1825,5.301757042275312e-06,2.289415235168235e-08
1826,3.521432027753235e-06,3.5231937367541377e-09
1827,3.7541952622177632e-06,1.8434546333878643e-08
1828,3.3671517769562342e-06,3.0268594741755805e-08
1829,4.512919986154884e-06,2.914879893012312e-08
1830,4.250923158366504e-06,1.669893667788358e-08
1831,3.5703861840374884e-06,5.9246584527272717e-08
1832,4.514950603606849e-06,1.8941957335982806e-08
1833,3.624517376010772e-06,3.1275796175123105e-08
1834,3.4080372870448628e-06,1.3068342852307069e-08
1835,3.988016217704171e-06,4.764745398233572e-08
1836,3.824106805438987e-06,2.016225053580456e-08
1837,3.378751728178031e-06,1.7394726437025554e-08
1838,3.5139804168693445e-06,2.714229663247636e-08
1839,3.6894014030508515e-06,2.23727205650448e-08
1840,3.656838316601352e-06,2.7389662093924017e-08
1841,3.2173369675092545e-06,1.8619591202195807e-08
1842,3.519826691444905e-06,1.542901006956754e-08
1843,3.760339609470975e-06,1.2404512972352677e-08
1844,3.2596566086340317e-06,2.9638231424655714e-08
1845,3.413425460507824e-06,2.1204866751389773e-08
1846,3.468206600132362e-06,2.1076203893244383e-08
1847,3.1275303769007223e-06,1.941560512364049e-08
1848,3.0571842586368803e-06,1.850401076808339e-08
1849,3.1070870107896553e-06,2.262441967104678e-08
1850,3.1765711270281827e-06,3.055048303224339e-08
1851,3.271800324000651e-06,3.869663189881578e-08
1852,3.293033927320721e-06,8.073076274150992e-08
1853,3.5431471019364835e-06,3.1651239407182175e-08
1854,3.640082411493495e-06,1.454786069388092e-08
1855,4.029557430840214e-06,4.7231740296638236e-08
1856,3.584685927648934e-06,4.55592642500946e-08
1857,3.993562557980113e-06,2.2454941128735584e-08
1858,4.115581347718944e-06,3.52344677878591e-08
1859,4.049296379093903e-06,4.073738679721828e-08
1860,3.8123365300180012e-06,4.531412045594152e-08
1861,3.5544218519589776e-06,2.6409397335669382e-08
1862,3.4549041458831198e-06,2.891511208247266e-08
1863,3.886813914277809e-06,3.446288232566985e-08
1864,3.7629024944862977e-06,2.924784003877079e-08
1865,3.517424701726668e-06,2.4946275378745497e-08
1866,3.598120827064122e-06,1.6056523222118813e-08
1867,3.4192910476349425e-06,6.599823798580928e-08
1868,3.4875511829568495e-06,5.3350639794835786e-08
1869,3.6992657044265798e-06,3.516133817438316e-08
1870,3.911194738748236e-06,4.529898411931299e-08
1871,2.8794012649768774e-06,2.3366590662377007e-08
1872,3.2202080859633497e-06,5.261185054283857e-08
1873,3.140856648542467e-06,6.105724703608928e-08
1874,3.3607176135319605e-06,4.062734149101743e-08
1875,3.5811039111877108e-06,2.9179789251543298e-08
1876,3.3325632955438778e-06,5.98555458530825e-08
1877,3.350314756289663e-06,5.2570936714957384e-08
1878,3.400007031473251e-06,3.563062378475479e-08
1879,3.842154725930413e-06,4.093248007208672e-08
1880,3.4983678887101632e-06,3.9148861707971605e-08
1881,3.1264724213997397e-06,4.9504804311428785e-08
1882,3.14533509992998e-06,6.522277273823818e-08
1883,2.848126015919661e-06,5.245051487579033e-08
1884,3.1523104127018087e-06,4.7532219049628566e-08
1885,2.684607366632008e-06,2.0626034213933053e-08
1886,2.8414600592441275e-06,3.549404986591398e-08
1887,2.902107070212878e-06,3.068594511823619e-08
1888,3.0301797266929498e-06,8.369611093073104e-08
1889,2.9402287253788018e-06,5.262714708464955e-08
1890,2.5195061965632704e-06,7.144281255477836e-08
1891,2.761312146049022e-06,4.8444073086351125e-08
1892,2.819576906176735e-06,4.576014145385443e-08
1893,2.5834556396375774e-06,8.005941509736658e-08
1894,2.700209634554085e-06,4.2220312801433124e-08
1895,2.5621240951068103e-06,3.4907962520591695e-08
1896,2.605897194030149e-06,3.597187830939319e-08
1897,2.3079611679577283e-06,2.738555449077751e-08
1898,2.6243450719221073e-06,4.9793523082541924e-08
1899,2.518917369798146e-06,5.969784666604028e-08
1900,2.697271142437785e-06,3.06272133210328e-08
1901,2.4897830996906123e-06,4.5827658112784775e-08
1902,2.0083061258446833e-06,3.0443761289689064e-08
1903,2.456560309838096e-06,5.670231462140407e-08
1904,2.1708110864437913e-06,5.8045952044949445e-08
1905,2.4214281069134813e-06,5.7284423649051064e-08
1906,2.3375174578177393e-06,3.446603685786087e-08
1907,2.137365655130452e-06,4.7828441707142844e-08
1908,2.3898818710677006e-06,3.781769430943882e-08
1909,2.4314348081588832e-06,5.3359539897712693e-08
1910,2.362648999110206e-06,4.595969449461279e-08
1911,2.478762283431024e-06,4.8415405795587674e-08
1912,2.2301531430457544e-06,5.157327020999247e-08
1913,2.257482748291295e-06,5.3560195389934506e-08
