year,bon_ADJ artisan_NOUN,bon_ADJ partisan_NOUN
1800,2.2009151834367913e-08,0.0
1801,3.5717739876872656e-08,0.0
1802,8.951360541686881e-08,6.713520406265161e-09
1803,3.900678446910888e-09,3.900678446910888e-09
1804,1.730295728918918e-08,0.0
1805,3.4114531644036106e-08,0.0
1806,2.0171682990621775e-08,2.5935023018064385e-08
1807,3.4163463169534225e-08,1.9928686256776018e-08
1808,1.3596443970698147e-08,9.064295980465431e-09
1809,2.0331274441787173e-08,1.8072244145628247e-08
1810,1.6380887757350138e-08,2.8081521108447305e-08
1811,0.0,2.2563691359778204e-08
1812,0.0,0.0
1813,2.0130190847567064e-08,5.751483289628823e-09
1814,2.2026739543434815e-08,6.293354282149721e-09
1815,0.0,0.0
1816,3.0128852301913867e-08,0.0
1817,6.85024303948012e-08,0.0
1818,8.344824387052086e-09,5.960588467246453e-09
1819,3.001804671498576e-08,9.315945348475907e-09
1820,7.119888678630559e-09,2.1359666035891678e-08
1821,1.676452932031225e-08,9.861488514673056e-09
1822,6.015369535816717e-08,5.6143449000956025e-08
1823,3.162459805139406e-08,1.9765373338032077e-08
1824,3.621078548121659e-08,4.210556348027694e-09
1825,2.993850500843109e-08,1.7610886082763955e-09
1826,2.290075862276808e-08,0.0
1827,6.452091305675367e-09,4.608636583469661e-09
1828,2.93513644500365e-08,9.722639049414283e-08
1829,8.573175946935407e-09,1.0287811491593857e-08
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,2.6505049710578987e-08,1.5591206103948707e-09
1832,3.5177919244233635e-08,6.764984572527055e-09
1833,4.170106393530659e-08,3.1275796175123105e-08
1834,6.534171426153534e-09,0.0
1835,7.563087933704082e-09,1.1344631900556124e-08
1836,2.2850549452613222e-08,6.72075017860152e-09
1837,1.2524203452102256e-08,0.0
1838,2.651107955387033e-08,2.1461350030449466e-08
1839,3.0762491443070417e-08,2.307186797168015e-08
1840,7.0066574764382494e-09,1.1465439264668476e-08
1841,2.8892468861840825e-08,7.704658244733764e-09
1842,2.5491406319133603e-08,7.379091560011375e-09
1843,4.7255287682901326e-08,5.906911071384968e-10
1844,1.0428266250528395e-08,0.0
1845,1.1160455670733427e-08,5.022205318283568e-09
1846,1.7563504428608212e-08,5.854501328173001e-10
1847,1.6179670936367074e-08,5.393223645455691e-10
1848,2.091757700384278e-08,2.413566591030758e-08
1849,4.1897072478036534e-09,0.0
1850,1.0862393651223101e-08,5.431196825611551e-09
1851,7.094382636907426e-09,5.8044946626978344e-09
1852,2.2135854038651814e-08,0.0
1853,1.3735442783158192e-08,7.763511611358354e-09
1854,1.9223959313308114e-08,9.352196350675968e-09
1855,8.491099379170919e-09,5.306937111981824e-10
1856,6.212626857404757e-09,1.501384794266869e-08
1857,2.4407545373694717e-08,4.881508974818871e-09
1858,2.936205589776364e-08,1.2234189661342043e-08
1859,3.411756210880412e-08,1.323965115318515e-08
1860,3.661747127736703e-09,4.577183909670879e-10
1861,2.0750240914413354e-08,3.3011746669586728e-09
1862,1.8071945717679228e-08,7.228778020618165e-09
1863,2.3474717281146695e-08,2.4973103585068657e-09
1864,9.109982990196386e-09,4.794727948009836e-10
1865,1.97687466396701e-08,3.765475486972036e-09
1866,1.1677471434268227e-08,1.0704348518686402e-08
1867,6.79393608038481e-09,0.0
1868,9.385760613156435e-09,4.93987406535723e-10
1869,1.0255390314739543e-08,7.325278605918584e-09
1870,5.160643912205387e-09,0.0
1871,5.3105884134652115e-09,1.0621177271019633e-09
1872,1.69325495846806e-08,6.047339295989218e-10
