year,en_ADP épée_NOUN
1800,5.345079756580162e-08
1801,9.762848884875552e-08
1802,1.4098392853156838e-07
1803,1.2482171030114841e-07
1804,8.898663672596285e-08
1805,2.2743021688143017e-08
1806,6.339671898558663e-08
1807,3.9857372513552036e-08
1808,1.8128591960930862e-08
1809,2.7108365552308555e-08
1810,5.148278869882006e-08
1811,6.267691787797958e-08
1812,4.5342538612658245e-08
1813,7.764502640839055e-08
1814,3.776012391654149e-08
1815,8.361393355471591e-08
1816,3.7081662185300956e-08
1817,4.203558034987509e-08
1818,3.457141417584353e-08
1819,4.6579724966022695e-08
1820,4.034603495739475e-08
1821,3.4515210245444905e-08
1822,4.3110148340019805e-08
1823,3.4589405117912975e-08
1824,2.189489300974401e-08
1825,2.7296874094417944e-08
1826,3.963592831723872e-08
1827,1.1060727445055818e-08
1828,2.935136400594729e-08
1829,4.372319911682965e-08
1830,3.5485243188304594e-08
1831,4.989185953263586e-08
1832,1.7588959622116818e-08
1833,3.70676112027013e-08
1834,1.6802156110884425e-08
1835,1.8151411040889798e-08
1836,2.6210924986003192e-08
1837,1.6698937344017395e-08
1838,2.7773513266993177e-08
1839,1.5381244722334486e-08
1840,2.7389662093924017e-08
1841,1.2841097074556274e-08
1842,1.8783142152756227e-08
1843,1.6539351221922516e-08
1844,2.5796238034558883e-08
1845,1.0602432709561072e-08
1846,3.0443406018321184e-08
1847,5.9325458323655766e-08
1848,3.781254065415851e-08
1849,5.027649052635752e-08
1850,1.9009188889640427e-08
1851,3.4826967976187007e-08
1852,5.2735419586724674e-08
1853,2.329053394589664e-08
1854,1.6626126253527218e-08
1855,2.0166361025530932e-08
1856,2.329735160344626e-08
1857,7.175818694804548e-08
1858,2.0064071293290908e-08
1859,1.9350258284589472e-08
1860,1.9681891672007623e-08
1861,2.7352589526685733e-08
1862,2.1234535907410645e-08
1863,1.5982786649715308e-08
1864,2.4932585773740357e-08
1865,1.1296426905005319e-08
1866,2.8707116683790446e-08
1867,2.620518202434141e-08
1868,1.1361710683388537e-08
1869,1.2697149998075474e-08
1870,2.1789386295267832e-08
1871,2.549082545044712e-08
1872,1.0280476914203973e-08
1873,2.0352414864532875e-08
1874,1.7923827755339516e-08
1875,2.6319025181464895e-08
1876,1.0278225381910033e-08
1877,8.040260901509555e-09
1878,1.6305540029293297e-08
1879,2.1382637882538802e-08
1880,1.2193908105473383e-08
1881,1.8128519130300447e-08
1882,1.9966154951589488e-08
1883,1.64302811356265e-08
1884,5.281357573494461e-09
1885,4.18966337178972e-08
1886,1.2261581083805595e-08
1887,1.1752064210668323e-08
1888,1.9021843655764314e-08
1889,2.6313573542324775e-08
1890,2.5562107097698572e-08
1891,1.9760081571007504e-08
