year,en_ADP airs_NOUN,en_ADP pair_NOUN
1800,0.0,1.8236154364359436e-07
1801,2.3811825844433088e-09,1.0239085423968675e-07
1802,0.0,1.7231369042747247e-07
1803,7.801356671777171e-09,1.521264585413462e-07
1804,2.4718509905596875e-08,1.1864884186252311e-07
1805,3.1271653710973624e-08,1.3645813323748257e-07
1806,4.3225035994964855e-08,8.933174200365102e-08
1807,1.4234775136401367e-08,8.54086508184082e-08
1808,2.2660739951163578e-09,1.3143228727585665e-07
1809,2.259030518203531e-09,1.0165637065462363e-07
1810,9.360507036149102e-09,9.360506680877734e-08
1811,1.2535384286138651e-08,1.7549538000594112e-07
1812,2.9339290108509886e-08,1.0135391459442644e-07
1813,4.3136125782439194e-08,8.339650925393016e-08
1814,0.0,6.608022040666128e-08
1815,3.506390555685357e-08,7.012781066961793e-08
1816,1.228330006597389e-07,7.648093003354006e-08
1817,6.227493631882908e-09,8.874178480944295e-08
1818,5.960588467246453e-09,1.0729059352065917e-07
1819,0.0,8.487860836403627e-08
1820,2.0173018810965004e-08,8.899860848288199e-08
1821,1.676452932031225e-08,7.396116230573568e-08
1822,1.0025615893027862e-09,6.917674966189225e-08
1823,1.2847492847356534e-08,6.028439125671525e-08
1824,1.7684335773537896e-08,7.24215674097195e-08
1825,4.4027217427355936e-09,6.692136622632461e-08
1826,7.0463874735082754e-09,6.253669049272048e-08
1827,5.530363722527909e-09,6.083400272416384e-08
1828,1.0089530988466322e-08,4.035812628533364e-08
1829,1.7146351893870815e-08,5.57256459865485e-08
1830,1.982998831806526e-08,6.679575093038181e-08
1831,0.0,1.0134284167406804e-07
1832,2.976593194148336e-08,7.982682070917235e-08
1833,2.085053074640797e-08,5.9076506575550525e-08
1834,1.8669061851994684e-09,4.0138482759743965e-08
1835,6.050470346963266e-09,7.714349692378164e-08
1836,1.1425274948351216e-08,6.115882555945973e-08
1837,2.5048407792382932e-08,5.4967340012979093e-08
1838,2.1461350030449466e-08,4.986607993195946e-08
1839,5.2436064379435265e-08,3.8453112694014635e-08
1840,7.0066574764382494e-09,2.6115724249820005e-08
1841,1.733548060656176e-08,3.2102743130479894e-08
1842,6.708265054555795e-09,2.683306021822318e-08
1843,1.3585895075607368e-08,3.1306629288962995e-08
1844,1.0977122322231025e-08,3.3480223482484917e-08
1845,5.580227835366713e-09,3.738752818449598e-08
1846,9.952652035849496e-09,2.9272507529043423e-08
1847,9.168480197274675e-09,3.128069803182143e-08
1848,2.735375304041554e-08,3.539897530657754e-08
1849,6.703531951757213e-09,2.0948537127196687e-08
1850,2.0366988096043315e-09,3.394497927189377e-08
1851,3.8696632564949596e-09,1.999326104673571e-08
1852,5.859490670445666e-09,3.515694646516465e-08
1853,1.1943863675867306e-09,2.209614757830991e-08
1854,7.27393034694046e-09,2.7537021995982514e-08
1855,1.2736649068756378e-08,2.3350523292720027e-08
1856,1.0872097000458325e-08,3.209857357688861e-08
1857,7.322263684272912e-09,2.880090343992947e-08
1858,2.4468379322684086e-08,3.425573247284319e-08
1859,1.3748867822016564e-08,4.073738590903986e-08
1860,1.373155189554609e-08,2.242820151820979e-08
1861,1.2733101684148096e-08,2.5466203812385402e-08
1862,1.0843167252971853e-08,2.846331392802881e-08
1863,9.489779628779615e-09,2.3974179974572962e-08
1864,1.3904711160250827e-08,5.274200587379596e-08
1865,7.530950973944073e-09,1.6473955533058415e-08
1866,1.0704348518686402e-08,5.449486306652318e-08
1867,2.426405742994575e-08,3.202855580752839e-08
1868,1.1855697756857353e-08,4.6928803509871386e-08
1869,1.5627261262807224e-08,4.8835189669915735e-08
1870,8.027668307875047e-09,2.465641024684828e-08
1871,6.37270636261178e-09,2.0180236592892697e-08
1872,1.269941263259966e-08,2.781776020643889e-08
1873,1.496501056408306e-08,1.4965011230216874e-08
1874,3.5847653734322193e-09,1.2546678807012768e-08
1875,6.293679799540541e-09,1.8881039842710834e-08
1876,2.0556450763820067e-08,1.209203004393089e-08
1877,7.421779191219002e-09,1.7935966711846163e-08
1878,2.8383716710322915e-08,2.536417165188709e-08
1879,5.498392852132383e-09,2.1993570742395718e-08
1880,1.2193908105473383e-08,3.144744686878198e-08
1881,2.022027217885025e-08,1.3247763996915296e-08
1882,9.983077475794744e-09,3.261138736831981e-08
1883,7.583206784733676e-09,2.9068958795619437e-08
1884,1.9805090900604227e-08,4.2250861476134105e-08
1885,1.6114089618213256e-08,2.3204288490674685e-08
1886,1.5488312854472497e-08,3.4203357923701105e-08
1887,1.8933882017790893e-08,2.2198344051815866e-08
1888,6.974675947901687e-09,3.106901225180536e-08
1889,8.771191772893872e-09,1.5036328071538207e-08
1890,1.1797895993481688e-08,2.3595791098784957e-08
1891,1.1473596073230397e-08,1.7847816335958555e-08
1892,1.0656471260972467e-08,2.570090096298827e-08
1893,2.3401982574000613e-08,2.155445821827584e-08
1894,9.452309157609307e-09,1.07126170156846e-08
1895,9.027921299420427e-09,1.6852120587884656e-08
1896,1.4152869098893461e-08,1.4152869098893461e-08
1897,1.6897470089816125e-08,1.7480140779291276e-08
1898,5.6583546736987955e-09,1.867257104493092e-08
1899,1.1055156790007459e-08,1.4371703827009696e-08
1900,6.748368974740515e-09,1.2977632302124675e-08
1901,2.235495566438317e-09,1.5648468743023614e-08
1902,8.838511256215043e-09,1.5712908751908117e-08
1903,1.1880484596105134e-08,2.3220947387159185e-08
1904,1.2361637935498493e-08,1.1286712897629059e-08
1905,4.644683138099737e-09,1.3417973176998998e-08
1906,2.0576738091193647e-09,2.31488301860594e-08
1907,8.742833790265081e-09,2.828563872014911e-08
1908,2.1118972570732808e-08,1.7681000663571922e-08
